,Date,Open,High,Low,Close
274,2020-12-14,12.5,12.71,12.15,12.45
273,2020-12-11,12.7,12.7,12.39,12.39
272,2020-12-10,12.6,12.9999,12.6,12.64
271,2020-12-09,12.99,12.99,12.5,12.5
270,2020-12-08,12.7,12.9404,12.7,12.9404
269,2020-12-07,13.0,13.1,12.71,13.0
268,2020-12-04,13.0135,13.8016,12.82,12.83
267,2020-12-03,13.32,13.32,13.32,13.32
266,2020-12-02,14.0,14.0,12.01,12.8
265,2020-12-01,14.32,14.5,13.125,13.2708
264,2020-11-30,14.0,14.0,13.194,13.7063
263,2020-11-27,13.95,14.04,13.94,13.99
262,2020-11-25,13.0,13.5,13.0,13.48
261,2020-11-24,12.4516,13.0,12.29,12.75
260,2020-11-23,13.0,13.46,12.55,12.88
259,2020-11-20,14.005,14.005,12.6201,13.25
258,2020-11-19,14.0,14.499,13.5,13.5
257,2020-11-18,13.0,14.1,13.0,14.05
256,2020-11-17,12.58,13.18,12.02,13.18
255,2020-11-16,12.3,12.51,12.05,12.1
254,2020-11-13,14.18,14.18,12.0,12.2
253,2020-11-12,12.0,15.35,12.0,12.15
252,2020-11-11,11.46,11.6,11.46,11.59
251,2020-11-10,11.57,11.57,11.18,11.21
250,2020-11-09,11.58,12.5167,11.1,11.18
249,2020-11-06,12.0,12.0,11.1,11.29
248,2020-11-05,11.55,11.55,10.5,11.03
247,2020-11-04,10.99,11.21,10.02,10.15
246,2020-11-03,11.02,12.53,9.87,10.19
245,2020-11-02,14.56,15.9999,10.34,10.4
244,2020-10-30,16.0,16.0,11.66,13.7494
243,2020-10-29,15.81,18.2,15.81,17.2
242,2020-10-28,15.99,16.31,15.95,16.12
241,2020-10-27,15.5,15.5,14.26,15.14
240,2020-10-26,16.0,16.0,15.23,15.23
239,2020-10-23,17.28,17.645,15.2843,15.64
238,2020-10-22,17.0,18.93,16.9,17.66
237,2020-10-21,17.0,17.085,16.8047,16.8047
236,2020-10-20,16.32,17.26,15.5,16.97
235,2020-10-19,14.58,16.82,14.58,15.25
234,2020-10-16,14.5,15.53,14.1,14.1
233,2020-10-15,15.51,15.5225,14.43,14.43
