,Date,Open,High,Low,Close
2305,2020-12-14,2.05,2.12,2.05,2.0966
2304,2020-12-11,2.0,2.08,1.989,2.0
2303,2020-12-10,2.05,2.05,1.96,2.0
2302,2020-12-09,2.09,2.1199,2.0,2.02
2301,2020-12-08,2.1,2.2,1.94,2.099
2300,2020-12-07,2.48,2.48,2.07,2.08
2299,2020-12-04,2.43,2.67,2.31,2.41
2298,2020-12-03,2.23,2.45,2.145,2.32
2297,2020-12-02,2.06,2.59,2.01,2.24
2296,2020-12-01,2.09,2.09,2.0,2.02
2295,2020-11-30,2.12,2.15,2.0434,2.12
2294,2020-11-27,2.23,2.23,2.1,2.15
2293,2020-11-25,2.04,2.2453,2.04,2.23
2292,2020-11-24,2.02,2.07,1.9,2.04
2291,2020-11-23,2.03,2.12,2.0001,2.05
2290,2020-11-20,2.07,2.07,1.96,1.98
2289,2020-11-19,2.27,2.27,2.0109,2.09
2288,2020-11-18,2.1,2.235,2.1,2.1825
2287,2020-11-17,2.02,2.12,1.99,2.12
2286,2020-11-16,1.95,2.03,1.88,1.98
2285,2020-11-13,1.8716,2.0,1.8,1.94
2284,2020-11-12,1.86,1.95,1.86,1.9
2283,2020-11-11,1.98,1.98,1.85,1.91
2282,2020-11-10,2.03,2.12,1.95,1.98
2281,2020-11-09,2.05,2.2,2.01,2.0388
2280,2020-11-06,1.96,2.05,1.96,2.0
2279,2020-11-05,2.0,2.07,1.95,2.0
2278,2020-11-04,1.9729,1.9729,1.91,1.95
2277,2020-11-03,1.97,1.99,1.8301,1.98
2276,2020-11-02,1.85,2.03,1.85,1.94
2275,2020-10-30,2.0,2.04,1.85,1.91
2274,2020-10-29,1.93,2.085,1.89,1.94
2273,2020-10-28,2.1,2.1,1.8673,1.9
2272,2020-10-27,2.17,2.28,2.1105,2.1797
2271,2020-10-26,2.21,2.34,2.16,2.2
2270,2020-10-23,2.4,2.6,2.09,2.39
2269,2020-10-22,2.14,3.08,2.11,2.5
2268,2020-10-21,2.12,2.23,2.0,2.11
2267,2020-10-20,2.075,2.35,2.0014,2.16
2266,2020-10-19,2.01,2.33,2.01,2.02
2265,2020-10-16,1.8299,2.2699,1.79,2.03
2264,2020-10-15,1.72,1.83,1.72,1.83
2263,2020-10-14,1.78,1.83,1.713,1.81
2262,2020-10-13,1.87,1.87,1.7717,1.8199
2261,2020-10-12,1.73,1.8266,1.73,1.77
2260,2020-10-09,1.76,1.93,1.7,1.7
2259,2020-10-08,1.87,1.87,1.76,1.8
2258,2020-10-07,1.69,1.87,1.69,1.814
2257,2020-10-06,1.62,1.7,1.6,1.69
2256,2020-10-05,1.68,1.68,1.6,1.62
2255,2020-10-02,1.6449,1.66,1.62,1.66
2254,2020-10-01,1.62,1.67,1.61,1.62
2253,2020-09-30,1.6117,1.68,1.61,1.65
2252,2020-09-29,1.64,1.65,1.5815,1.61
2251,2020-09-28,1.64,1.64,1.59,1.6213
2250,2020-09-25,1.55,1.59,1.55,1.59
2249,2020-09-24,1.55,1.61,1.55,1.58
2248,2020-09-23,1.56,1.58,1.55,1.55
2247,2020-09-22,1.58,1.61,1.55,1.59
2246,2020-09-21,1.63,1.6499,1.55,1.55
2245,2020-09-18,1.6,1.66,1.55,1.66
2244,2020-09-17,1.56,1.65,1.56,1.59
2243,2020-09-16,1.6,1.6,1.56,1.56
2242,2020-09-15,1.54,1.6028,1.5,1.5101
2241,2020-09-14,1.57,1.57,1.51,1.52
2240,2020-09-11,1.55,1.55,1.51,1.51
2239,2020-09-10,1.57,1.59,1.52,1.53
2238,2020-09-09,1.55,1.6,1.53,1.6
2237,2020-09-08,1.64,1.64,1.55,1.5699
2236,2020-09-04,1.63,1.63,1.53,1.575
2235,2020-09-03,1.545,1.6,1.53,1.56
2234,2020-09-02,1.58,1.59,1.45,1.55
2233,2020-09-01,1.65,1.65,1.52,1.5276
2232,2020-08-31,1.65,1.65,1.61,1.62
2231,2020-08-28,1.6101,1.68,1.6,1.62
2230,2020-08-27,1.62,1.6273,1.58,1.5979
2229,2020-08-26,1.6604,1.71,1.64,1.64
2228,2020-08-25,1.72,1.73,1.6196,1.655
2227,2020-08-24,1.68,1.72,1.58,1.63
2226,2020-08-21,1.69,1.79,1.66,1.68
2225,2020-08-20,1.72,1.73,1.69,1.72
2224,2020-08-19,1.85,1.85,1.7,1.75
2223,2020-08-18,1.7,1.775,1.6395,1.7507
2222,2020-08-17,1.61,1.73,1.47,1.7
2221,2020-08-14,1.68,1.71,1.57,1.62
2220,2020-08-13,1.67,1.735,1.67,1.7
2219,2020-08-12,1.72,1.782,1.66,1.69
2218,2020-08-11,1.82,1.82,1.68,1.8
2217,2020-08-10,1.85,1.91,1.68,1.85
2216,2020-08-07,1.95,2.16,1.76,1.82
2215,2020-08-06,1.59,2.58,1.56,2.38
2214,2020-08-05,1.58,1.6,1.5742,1.6
2213,2020-08-04,1.65,1.655,1.54,1.55
