,Date,Open,High,Low,Close
5314,2020-12-14,27.88,28.365,26.8,26.93
5313,2020-12-11,28.06,28.75,27.6496,27.82
5312,2020-12-10,27.58,29.18,27.54,28.09
5311,2020-12-09,27.89,28.225,27.3,27.55
5310,2020-12-08,28.6,28.67,27.51,27.74
5309,2020-12-07,29.48,29.48,28.75,28.75
5308,2020-12-04,28.89,29.72,28.67,29.27
5307,2020-12-03,29.3,29.57,28.2601,28.53
5306,2020-12-02,28.82,30.15,28.82,29.17
5305,2020-12-01,29.17,30.04,29.0001,29.18
5304,2020-11-30,29.0,30.26,28.365,28.78
5303,2020-11-27,29.29,29.36,28.6,29.01
5302,2020-11-25,29.9,30.005,28.51,29.22
5301,2020-11-24,29.32,30.48,29.31,30.25
5300,2020-11-23,29.5,29.7,28.7,29.0
5299,2020-11-20,28.19,29.44,27.3583,29.01
5298,2020-11-19,27.7,28.49,27.3699,28.49
5297,2020-11-18,28.3,28.73,27.67,27.91
5296,2020-11-17,28.21,28.88,28.15,28.27
5295,2020-11-16,27.99,28.96,27.61,28.54
5294,2020-11-13,27.34,28.302,26.88,27.82
5293,2020-11-12,27.84,29.1,27.02,27.16
5292,2020-11-11,28.61,28.68,27.89,28.15
5291,2020-11-10,27.26,29.0,27.26,28.64
5290,2020-11-09,28.88,29.1799,26.6001,26.79
5289,2020-11-06,27.13,27.22,26.135,26.52
5288,2020-11-05,27.24,28.7,26.59,27.28
5287,2020-11-04,27.45,28.19,25.735,26.86
5286,2020-11-03,27.65,28.24,27.5,28.13
5285,2020-11-02,27.27,27.56,26.95,27.06
5284,2020-10-30,27.58,27.725,26.625,26.8
5283,2020-10-29,26.8,27.86,26.36,27.57
5282,2020-10-28,28.63,29.52,26.77,26.87
5281,2020-10-27,30.05,30.41,29.16,29.28
5280,2020-10-26,30.08,30.5,29.88,30.22
5279,2020-10-23,29.65,31.45,29.65,30.5
5278,2020-10-22,29.94,30.33,29.2,29.3
5277,2020-10-21,29.62,30.81,29.62,29.87
5276,2020-10-20,30.3,30.3,29.65,29.91
5275,2020-10-19,30.52,31.29,29.8,29.97
5274,2020-10-16,29.72,31.495,29.35,30.62
5273,2020-10-15,29.14,30.63,28.64,30.0
5272,2020-10-14,30.35,30.35,29.31,29.31
5271,2020-10-13,31.07,31.315,30.145,30.35
5270,2020-10-12,28.57,31.35,28.485,30.77
5269,2020-10-09,28.91,28.98,27.9,28.37
5268,2020-10-08,28.24,28.94,27.905,28.55
5267,2020-10-07,27.55,28.37,27.55,28.24
5266,2020-10-06,27.84,28.13,26.94,26.94
5265,2020-10-05,26.5,28.37,26.5,27.45
5264,2020-10-02,26.75,27.855,26.75,27.55
5263,2020-10-01,26.85,27.52,26.85,27.03
5262,2020-09-30,27.93,28.085,26.1,26.46
5261,2020-09-29,28.93,28.93,26.87,27.64
5260,2020-09-28,25.75,29.29,25.75,29.01
5259,2020-09-25,25.03,25.74,25.03,25.4
5258,2020-09-24,24.6,25.38,24.31,25.24
5257,2020-09-23,25.14,25.465,24.46,24.59
5256,2020-09-22,25.62,25.62,24.53,25.22
5255,2020-09-21,26.1,26.1,25.0801,25.39
5254,2020-09-18,26.94,27.41,26.02,26.57
5253,2020-09-17,26.37,26.9,26.37,26.76
5252,2020-09-16,26.9,27.09,26.29,26.52
5251,2020-09-15,26.68,27.09,26.58,26.66
5250,2020-09-14,26.96,27.2,25.5091,26.58
5249,2020-09-11,27.59,27.87,26.79,27.05
5248,2020-09-10,27.4,27.4,26.59,27.02
5247,2020-09-09,27.22,27.51,26.65,27.18
5246,2020-09-08,27.17,27.38,26.67,26.85
5245,2020-09-04,27.99,27.99,26.78,27.29
5244,2020-09-03,28.55,29.43,27.41,27.41
5243,2020-09-02,28.4,28.71,28.0,28.63
5242,2020-09-01,28.25,28.56,27.96,28.54
5241,2020-08-31,28.45,28.58,28.13,28.33
5240,2020-08-28,28.24,28.53,27.97,28.45
5239,2020-08-27,28.02,28.29,27.71,28.01
5238,2020-08-26,27.69,28.08,27.46,28.02
5237,2020-08-25,27.87,27.88,27.475,27.84
5236,2020-08-24,28.2,28.2,27.495,27.69
5235,2020-08-21,27.56,27.9,27.19,27.72
5234,2020-08-20,26.88,27.74,24.78,27.64
5233,2020-08-19,27.62,28.0,27.33,27.41
5232,2020-08-18,27.75,27.81,27.1,27.57
5231,2020-08-17,28.57,28.57,27.59,27.78
5230,2020-08-14,28.18,28.575,28.02,28.37
5229,2020-08-13,28.19,28.43,27.585,28.4
5228,2020-08-12,29.74,29.81,28.03,28.25
5227,2020-08-11,29.16,29.78,29.14,29.19
5226,2020-08-10,28.22,29.45,28.22,28.79
5225,2020-08-07,27.64,28.36,27.44,28.09
5224,2020-08-06,27.13,27.98,27.13,27.88
5223,2020-08-05,25.96,27.29,25.96,26.97
5222,2020-08-04,25.35,25.7699,25.14,25.51
5221,2020-08-03,25.05,25.36,24.74,25.33
5220,2020-07-31,25.28,25.28,24.0401,24.85
5219,2020-07-30,25.29,25.78,25.15,25.44
5218,2020-07-29,25.69,26.44,25.46,25.7
5217,2020-07-28,25.82,26.19,25.56,25.68
5216,2020-07-27,25.16,25.99,24.98,25.91
5215,2020-07-24,25.37,25.88,25.15,25.23
5214,2020-07-23,25.37,25.975,25.37,25.62
5213,2020-07-22,25.29,26.12,25.29,25.34
5212,2020-07-21,25.22,25.85,25.22,25.43
5211,2020-07-20,25.43,25.5,24.61,24.99
5210,2020-07-17,25.47,26.14,25.36,25.61
5209,2020-07-16,25.39,25.61,24.99,25.48
5208,2020-07-15,25.25,25.89,25.16,25.43
5207,2020-07-14,24.19,24.5,23.99,24.5
5206,2020-07-13,24.37,24.72,24.01,24.11
5205,2020-07-10,24.16,24.46,23.2,23.94
5204,2020-07-09,23.67,23.69,22.69,22.88
5203,2020-07-08,24.03,24.45,23.5,23.79
5202,2020-07-07,24.27,25.05,24.09,24.2
5201,2020-07-06,25.22,25.22,24.46,24.71
5200,2020-07-02,26.07,26.27,24.27,24.58
5199,2020-07-01,25.13,25.63,24.87,25.54
5198,2020-06-30,24.2,25.4,24.2,25.07
5197,2020-06-29,23.23,24.97,23.23,24.33
5196,2020-06-26,23.6,23.6,22.48,22.75
5195,2020-06-25,23.61,23.92,23.07,23.82
5194,2020-06-24,24.81,25.0,23.69,23.78
5193,2020-06-23,25.49,25.55,24.95,25.13
5192,2020-06-22,24.3,25.43,24.3,25.13
5191,2020-06-19,24.93,25.39,24.54,24.6
5190,2020-06-18,24.84,25.49,24.35,24.5
5189,2020-06-17,25.75,25.83,25.05,25.07
5188,2020-06-16,26.18,26.565,25.37,25.72
5187,2020-06-15,22.88,25.47,22.88,25.04
5186,2020-06-12,23.96,24.5,22.88,23.72
5185,2020-06-11,24.33,24.98,22.82,22.89
5184,2020-06-10,26.22,26.26,25.27,25.46
5183,2020-06-09,26.61,27.18,25.435,26.37
5182,2020-06-08,26.95,27.565,26.67,26.92
5181,2020-06-05,26.64,27.37,26.13,26.84
5180,2020-06-04,24.77,25.56,24.77,25.37
5179,2020-06-03,24.67,25.52,24.6,24.87
5178,2020-06-02,24.78,25.08,23.66,24.21
5177,2020-06-01,25.3,25.5,24.5,24.5
5176,2020-05-29,24.85,25.31,23.67,25.09
5175,2020-05-28,25.97,26.07,24.73,24.91
5174,2020-05-27,25.37,25.86,24.465,25.73
5173,2020-05-26,24.22,24.75,23.73,24.75
5172,2020-05-22,22.71,23.74,22.63,23.26
5171,2020-05-21,23.22,23.435,22.64,22.64
5170,2020-05-20,22.44,23.41,22.44,23.18
5169,2020-05-19,22.32,23.14,22.17,22.18
5168,2020-05-18,21.3,22.82,20.88,22.36
5167,2020-05-15,20.15,20.77,20.15,20.28
5166,2020-05-14,20.0,20.4227,19.33,20.23
5165,2020-05-13,20.65,20.65,19.6024,20.29
5164,2020-05-12,21.06,22.17,20.79,20.84
5163,2020-05-11,22.25,22.47,20.15,21.05
5162,2020-05-08,22.48,23.41,22.14,22.52
5161,2020-05-07,22.45,23.125,22.29,22.65
5160,2020-05-06,23.1,23.38,22.22,22.25
5159,2020-05-05,24.56,24.56,22.71,22.81
5158,2020-05-04,23.43,24.13,23.1625,23.93
5157,2020-05-01,23.69,24.0,23.02,24.0
5156,2020-04-30,24.99,25.17,24.21,24.32
5155,2020-04-29,24.7,25.87,24.69,25.64
5154,2020-04-28,24.44,24.89,23.84,24.55
5153,2020-04-27,23.1,23.77,23.08,23.39
5152,2020-04-24,22.92,23.01,22.18,22.99
5151,2020-04-23,22.95,23.49,22.51,22.85
5150,2020-04-22,23.56,23.565,22.63,22.8
5149,2020-04-21,22.64,23.43,22.48,22.94
5148,2020-04-20,23.5,24.0,23.22,23.47
5147,2020-04-17,23.98,24.48,23.53,23.8
5146,2020-04-16,24.5,24.675,22.79,23.13
5145,2020-04-15,25.49,25.49,24.5,24.51
5144,2020-04-14,25.53,26.4611,25.12,25.63
5143,2020-04-13,26.21,26.77,24.72,24.78
5142,2020-04-09,25.6,26.44,25.385,26.29
5141,2020-04-08,24.41,25.4103,24.15,24.77
5140,2020-04-07,25.24,26.285,23.65,23.8
5139,2020-04-06,23.33,25.14,23.33,24.77
5138,2020-04-03,21.34,22.62,21.34,22.25
5137,2020-04-02,20.2,21.72,19.41,21.63
5136,2020-04-01,21.91,21.91,20.025,20.11
5135,2020-03-31,22.14,23.17,20.14,22.25
5134,2020-03-30,21.74,23.54,21.25,22.17
5133,2020-03-27,25.71,25.71,21.03,21.6
5132,2020-03-26,23.4,26.9,23.215,26.65
5131,2020-03-25,22.46,23.73,21.5,22.86
5130,2020-03-24,21.84,22.8,21.4733,22.43
5129,2020-03-23,22.28,22.28,18.52,21.12
5128,2020-03-20,22.7,23.93,18.9,22.12
5127,2020-03-19,19.66,23.53,19.66,21.95
5126,2020-03-18,21.13,22.36,19.05,19.67
5125,2020-03-17,20.07,23.162,19.24,22.72
5124,2020-03-16,21.16,23.625,19.09,19.33
5123,2020-03-13,22.93,23.71,21.87,23.71
5122,2020-03-12,23.24,24.11,21.2,21.775
5121,2020-03-11,24.48,25.25,24.4726,24.81
5120,2020-03-10,26.85,27.24,24.93,25.31
5119,2020-03-09,28.55,28.55,26.04,26.35
5118,2020-03-06,29.88,30.4,28.62,30.28
5117,2020-03-05,31.57,31.85,30.1,30.34
5116,2020-03-04,32.38,32.74,31.655,32.25
5115,2020-03-03,33.43,35.52,31.54,31.6
5114,2020-03-02,32.0,33.22,31.26,33.11
5113,2020-02-28,31.9,32.08,30.9327,31.55
5112,2020-02-27,32.29,33.85,32.04,32.59
5111,2020-02-26,32.36,32.97,31.9978,32.7
5110,2020-02-25,33.72,33.72,32.05,32.21
5109,2020-02-24,33.22,33.77,32.46,33.74
5108,2020-02-21,34.6,34.6,33.81,33.87
