,Date,Open,High,Low,Close
1245,2020-12-14,2.68,2.73,2.52,2.55
1244,2020-12-11,2.56,2.62,2.445,2.55
1243,2020-12-10,2.28,2.59,2.25,2.53
1242,2020-12-09,2.37,2.4,2.17,2.22
1241,2020-12-08,2.55,2.55,2.23,2.36
1240,2020-12-07,2.31,2.51,2.2,2.48
1239,2020-12-04,1.89,2.22,1.89,2.17
1238,2020-12-03,1.92,1.97,1.86,1.88
1237,2020-12-02,1.82,1.92,1.8,1.92
1236,2020-12-01,1.8,1.865,1.79,1.81
1235,2020-11-30,1.87,1.87,1.72,1.79
1234,2020-11-27,1.9,1.92,1.825,1.85
1233,2020-11-25,1.85,1.89,1.8126,1.88
1232,2020-11-24,1.71,1.8399,1.71,1.81
1231,2020-11-23,1.7,1.73,1.68,1.7114
1230,2020-11-20,1.74,1.7471,1.68,1.7
1229,2020-11-19,1.74,1.74,1.7,1.74
1228,2020-11-18,1.73,1.79,1.72,1.73
1227,2020-11-17,1.76,1.7754,1.72,1.72
1226,2020-11-16,1.87,1.87,1.745,1.76
1225,2020-11-13,1.8,1.83,1.76,1.83
1224,2020-11-12,1.93,1.93,1.78,1.78
1223,2020-11-11,1.87,1.94,1.825,1.92
1222,2020-11-10,1.71,1.86,1.71,1.86
1221,2020-11-09,1.75,1.79,1.7,1.71
1220,2020-11-06,1.79,1.79,1.69,1.71
1219,2020-11-05,1.7,1.78,1.69,1.76
1218,2020-11-04,1.67,1.7,1.645,1.68
1217,2020-11-03,1.7,1.74,1.66,1.69
1216,2020-11-02,1.67,1.7,1.66,1.68
1215,2020-10-30,1.64,1.6889,1.64,1.67
1214,2020-10-29,1.66,1.67,1.615,1.67
1213,2020-10-28,1.65,1.67,1.63,1.66
1212,2020-10-27,1.63,1.7236,1.63,1.69
1211,2020-10-26,1.76,1.78,1.71,1.72
1210,2020-10-23,1.81,1.85,1.75,1.79
1209,2020-10-22,1.78,1.81,1.735,1.8
1208,2020-10-21,1.75,1.8293,1.733,1.79
1207,2020-10-20,1.67,1.785,1.67,1.75
1206,2020-10-19,1.66,1.7,1.61,1.675
1205,2020-10-16,1.7,1.7,1.65,1.67
1204,2020-10-15,1.68,1.7,1.6546,1.68
1203,2020-10-14,1.7,1.71,1.65,1.7
1202,2020-10-13,1.72,1.73,1.69,1.71
1201,2020-10-12,1.75,1.76,1.71,1.715
1200,2020-10-09,1.74,1.78,1.71,1.73
1199,2020-10-08,1.775,1.8,1.72,1.74
1198,2020-10-07,1.7,1.775,1.69,1.76
1197,2020-10-06,1.77,1.78,1.675,1.69
1196,2020-10-05,1.73,1.74,1.69,1.74
1195,2020-10-02,1.65,1.71,1.64,1.71
1194,2020-10-01,1.74,1.7559,1.6936,1.71
1193,2020-09-30,1.73,1.77,1.7,1.73
1192,2020-09-29,1.78,1.78,1.71,1.73
1191,2020-09-28,1.72,1.78,1.7,1.76
1190,2020-09-25,1.65,1.72,1.64,1.72
1189,2020-09-24,1.62,1.68,1.58,1.68
1188,2020-09-23,1.72,1.72,1.59,1.62
1187,2020-09-22,1.66,1.75,1.65,1.72
1186,2020-09-21,1.75,1.77,1.66,1.66
1185,2020-09-18,1.78,1.8,1.75,1.79
1184,2020-09-17,1.79,1.795,1.745,1.79
1183,2020-09-16,1.81,1.84,1.79,1.79
1182,2020-09-15,1.81,1.81,1.75,1.785
1181,2020-09-14,1.78,1.81,1.75,1.79
1180,2020-09-11,1.76,1.7875,1.72,1.7427
1179,2020-09-10,1.76,1.85,1.75,1.76
1178,2020-09-09,1.72,1.78,1.69,1.76
