,Date,Open,High,Low,Close
5018,2020-12-14,17.79,18.06,17.64,17.74
5017,2020-12-11,17.65,17.93,17.46,17.55
5016,2020-12-10,17.71,17.94,17.55,17.75
5015,2020-12-09,17.85,18.0,17.62,17.75
5014,2020-12-08,17.5,17.78,17.33,17.72
5013,2020-12-07,17.78,17.99,17.58,17.7
5012,2020-12-04,17.29,17.86,17.2301,17.77
5011,2020-12-03,17.66,17.66,17.22,17.3
5010,2020-12-02,17.47,17.85,17.3,17.68
5009,2020-12-01,17.84,18.05,17.39,17.64
5008,2020-11-30,18.05,18.2,17.58,17.74
5007,2020-11-27,17.7,18.18,17.67,18.0
5006,2020-11-25,17.77,18.74,17.2601,17.85
5005,2020-11-24,16.84,17.26,16.31,17.13
5004,2020-11-23,16.48,16.98,16.27,16.52
5003,2020-11-20,15.77,16.29,15.66,16.26
5002,2020-11-19,15.68,16.03,15.59,15.97
5001,2020-11-18,16.01,16.2,15.74,15.79
5000,2020-11-17,15.6,15.99,15.32,15.9
4999,2020-11-16,15.98,16.09,15.565,15.8
4998,2020-11-13,15.5,15.815,15.38,15.65
4997,2020-11-12,15.84,15.95,15.31,15.43
4996,2020-11-11,15.91,16.0,15.37,15.93
4995,2020-11-10,15.56,15.99,15.45,15.77
4994,2020-11-09,16.0,16.36,15.28,15.35
4993,2020-11-06,14.83,14.92,14.505,14.75
4992,2020-11-05,14.57,15.15,14.46,14.79
4991,2020-11-04,14.4,14.63,14.04,14.4
4990,2020-11-03,14.19,14.59,14.11,14.5
4989,2020-11-02,13.84,14.1,13.45,13.9
4988,2020-10-30,13.89,13.89,13.45,13.6
4987,2020-10-29,13.62,14.02,13.39,13.88
4986,2020-10-28,13.48,14.09,13.48,13.73
4985,2020-10-27,14.33,14.55,14.07,14.13
4984,2020-10-26,15.04,15.04,13.92,14.26
4983,2020-10-23,14.4,15.5545,13.94,15.01
4982,2020-10-22,14.08,14.31,13.73,13.89
4981,2020-10-21,13.57,14.1,13.34,13.95
4980,2020-10-20,13.63,13.99,13.48,13.6
4979,2020-10-19,14.05,14.29,13.45,13.5
4978,2020-10-16,14.26,14.37,13.93,13.96
4977,2020-10-15,13.85,14.46,13.75,14.35
4976,2020-10-14,13.94,14.39,13.8,14.12
4975,2020-10-13,13.5,13.77,13.4,13.55
4974,2020-10-12,13.68,14.065,13.47,13.59
4973,2020-10-09,13.57,13.87,13.43,13.82
4972,2020-10-08,13.1,13.52,12.97,13.4
4971,2020-10-07,13.23,13.35,12.92,13.05
4970,2020-10-06,13.1,13.53,12.86,13.07
4969,2020-10-05,12.78,13.08,12.78,12.97
4968,2020-10-02,12.45,12.8899,12.12,12.68
4967,2020-10-01,12.74,12.94,12.46,12.74
4966,2020-09-30,12.72,13.11,12.61,12.74
4965,2020-09-29,12.79,12.84,12.42,12.67
4964,2020-09-28,12.29,12.85,12.29,12.78
4963,2020-09-25,11.83,12.31,11.8,12.23
