,Date,Open,High,Low,Close
2607,2020-12-14,159.67,159.74,155.52,158.46
2606,2020-12-11,157.5,158.7,154.57,157.1
2605,2020-12-10,156.5,160.36,156.5,158.27
2604,2020-12-09,163.96,164.91,155.885,157.32
2603,2020-12-08,164.92,167.11,163.81,166.37
2602,2020-12-07,165.61,167.27,164.3,165.09
2601,2020-12-04,159.62,164.17,159.09,163.99
2600,2020-12-03,161.1131,162.15,158.75,158.79
2599,2020-12-02,159.09,160.83,157.47,160.54
2598,2020-12-01,160.4,161.77,158.65,159.08
2597,2020-11-30,159.0,160.92,156.85,158.42
2596,2020-11-27,158.45,161.84,158.17,158.94
2595,2020-11-25,159.0,159.28,156.655,157.67
2594,2020-11-24,158.37,158.62,154.74,158.47
2593,2020-11-23,152.52,156.35,151.28,155.91
2592,2020-11-20,151.93,153.03,150.55,150.57
2591,2020-11-19,148.0,151.83,147.07,151.35
2590,2020-11-18,149.49,150.61,147.82,148.15
2589,2020-11-17,150.75,151.55,147.92,149.39
2588,2020-11-16,149.39,151.22,148.3,149.99
2587,2020-11-13,146.01,147.58,145.66,146.49
2586,2020-11-12,146.0,146.59,143.63,144.3
2585,2020-11-11,143.31,145.94,142.7,145.07
2584,2020-11-10,142.78,144.49,139.94,140.24
2583,2020-11-09,149.74,152.48,144.55,144.86
2582,2020-11-06,144.28,147.47,143.615,146.72
2581,2020-11-05,142.0,145.24,141.08,144.38
2580,2020-11-04,141.05,141.49,136.7,139.38
2579,2020-11-03,137.65,141.49,137.0,138.88
2578,2020-11-02,137.09,138.335,136.015,137.31
2577,2020-10-30,133.52,135.79,132.98,135.12
2576,2020-10-29,128.7858,137.5142,128.7858,136.17
2575,2020-10-28,130.065,130.91,126.8,129.77
2574,2020-10-27,136.38,136.57,131.65,133.23
2573,2020-10-26,135.19,136.1,132.71,134.89
2572,2020-10-23,135.51,137.75,134.3601,137.18
2571,2020-10-22,136.06,136.43,133.32,134.89
2570,2020-10-21,137.93,138.12,135.27,135.86
2569,2020-10-20,137.67,137.8,134.89,135.21
2568,2020-10-19,137.63,138.85,135.53,136.33
2567,2020-10-16,139.33,139.67,136.96,137.23
2566,2020-10-15,134.59,137.59,133.69,136.87
2565,2020-10-14,136.8,138.1,135.835,137.11
2564,2020-10-13,141.0,141.99,136.58,136.84
2563,2020-10-12,143.0,143.25,140.41,142.08
2562,2020-10-09,142.4807,145.15,138.8,141.53
2561,2020-10-08,135.07,135.92,134.13,134.83
2560,2020-10-07,133.33,134.91,133.005,133.6
2559,2020-10-06,131.7,135.01,130.39,130.9
2558,2020-10-05,129.48,132.07,129.0,132.0
2557,2020-10-02,127.17,130.48,126.64,127.39
2556,2020-10-01,129.63,132.18,128.0,130.99
2555,2020-09-30,123.87,126.77,123.22,124.81
2554,2020-09-29,126.1,126.14,123.16,123.29
2553,2020-09-28,122.46,124.17,121.905,124.0
2552,2020-09-25,118.56,120.17,117.25,119.83
2551,2020-09-24,118.64,121.22,118.15,119.16
2550,2020-09-23,123.17,124.0,119.43,119.94
2549,2020-09-22,122.79,123.48,120.69,122.63
2548,2020-09-21,122.95,123.51,119.28,121.35
2547,2020-09-18,128.68,128.99,123.39,126.09
2546,2020-09-17,123.62,128.14,122.86,127.76
2545,2020-09-16,129.0,131.31,128.36,128.59
2544,2020-09-15,127.39,128.8,126.82,127.41
2543,2020-09-14,126.17,127.62,124.48,125.7
2542,2020-09-11,124.47,126.65,123.155,124.75
2541,2020-09-10,125.2,127.77,122.55,123.1
2540,2020-09-09,122.17,125.63,121.395,124.24
2539,2020-09-08,121.02,122.65,119.21,119.72
2538,2020-09-04,126.37,127.08,122.32,126.33
2537,2020-09-03,130.99,130.99,125.05,126.1
2536,2020-09-02,129.68,132.945,128.7,132.1
2535,2020-09-01,126.0,129.02,125.95,128.2
2534,2020-08-31,126.96,127.71,124.85,125.76
2533,2020-08-28,125.93,127.45,125.26,127.23
2532,2020-08-27,128.14,128.35,125.44,126.05
2531,2020-08-26,127.2,128.422,126.1137,127.53
2530,2020-08-25,125.92,127.8,124.92,127.31
2529,2020-08-24,122.7,123.85,122.16,123.78
2528,2020-08-21,120.93,121.5,119.8,121.5
2527,2020-08-20,122.07,122.76,120.61,121.45
2526,2020-08-19,125.1,125.56,123.12,123.75
2525,2020-08-18,125.94,126.2,122.89,124.38
2524,2020-08-17,124.44,125.02,123.73,124.8
2523,2020-08-14,122.36,123.66,122.18,123.04
2522,2020-08-13,124.3,124.5599,122.52,122.74
2521,2020-08-12,122.14,125.41,121.86,124.91
2520,2020-08-11,122.18,124.48,121.15,121.33
2519,2020-08-10,120.52,121.84,119.69,121.39
2518,2020-08-07,121.89,122.67,119.4,120.71
2517,2020-08-06,119.57,122.58,119.05,122.45
2516,2020-08-05,118.18,120.05,117.25,119.86
2515,2020-08-04,119.47,121.555,119.29,120.91
2514,2020-08-03,118.41,119.75,117.8852,119.15
2513,2020-07-31,118.36,118.63,114.77,117.53
2512,2020-07-30,116.89,117.87,115.66,117.22
2511,2020-07-29,115.75,119.75,115.75,119.09
2510,2020-07-28,116.5681,119.0,115.0,115.24
2509,2020-07-27,117.05,120.38,116.29,120.24
2508,2020-07-24,116.86,118.04,114.38,115.75
2507,2020-07-23,121.58,121.6699,117.31,119.18
2506,2020-07-22,122.97,124.19,120.89,121.36
2505,2020-07-21,125.0,126.12,122.95,123.49
2504,2020-07-20,121.89,124.01,120.41,123.56
2503,2020-07-17,122.67,122.82,120.66,122.71
2502,2020-07-16,119.23,121.7,118.53,121.13
2501,2020-07-15,121.96,122.97,120.25,121.83
2500,2020-07-14,116.4,120.8,115.49,120.45
2499,2020-07-13,120.71,122.71,116.87,117.04
2498,2020-07-10,118.49,119.5,116.07,117.1
2497,2020-07-09,116.57,119.0,113.25,117.9
2496,2020-07-08,116.17,116.73,114.53,116.43
2495,2020-07-07,116.25,117.46,115.22,115.43
2494,2020-07-06,115.68,116.86,115.02,116.53
2493,2020-07-02,114.22,115.67,112.58,112.72
2492,2020-07-01,114.05,114.6,111.68,111.91
2491,2020-06-30,113.35,114.79,111.35,114.04
2490,2020-06-29,109.61,112.6,107.0,111.58
2489,2020-06-26,112.35,113.15,106.75,108.15
