,Date,Open,High,Low,Close
5314,2020-12-14,16.86,16.88,16.7575,16.83
5313,2020-12-11,16.82,16.93,16.8104,16.92
5312,2020-12-10,16.85,16.91,16.74,16.85
5311,2020-12-09,16.53,16.85,16.518,16.85
5310,2020-12-08,16.45,16.52,16.39,16.48
5309,2020-12-07,16.51,16.6,16.42,16.53
5308,2020-12-04,16.54,16.58,16.31,16.57
5307,2020-12-03,16.59,16.596,16.5,16.51
5306,2020-12-02,16.8,16.828,16.53,16.53
5305,2020-12-01,16.65,16.78,16.62,16.74
5304,2020-11-30,16.65,16.68,16.62,16.64
5303,2020-11-27,16.66,16.75,16.63,16.67
5302,2020-11-25,16.67,16.75,16.59,16.62
5301,2020-11-24,16.76,16.85,16.57,16.6
5300,2020-11-23,16.93,16.93,16.64,16.68
5299,2020-11-20,16.84,16.99,16.8101,16.9
5298,2020-11-19,16.87,16.8986,16.75,16.84
5297,2020-11-18,16.88,16.8999,16.76,16.79
5296,2020-11-17,16.76,16.9899,16.6812,16.915
5295,2020-11-16,16.88,16.88,16.61,16.74
5294,2020-11-13,16.76,16.76,16.65,16.65
5293,2020-11-12,16.55,16.61,16.51,16.6
5292,2020-11-11,16.44,16.61,16.44,16.6
5291,2020-11-10,16.7,16.723,16.45,16.46
5290,2020-11-09,16.84,16.85,16.72,16.73
5289,2020-11-06,17.05,17.1367,16.76,16.76
5288,2020-11-05,16.92,16.9642,16.81,16.87
5287,2020-11-04,17.25,17.25,16.8201,16.9
5286,2020-11-03,16.9,17.3193,16.7706,16.82
5285,2020-11-02,17.9,17.9,16.6071,16.9
5284,2020-10-30,16.92,16.92,16.398,16.84
5283,2020-10-29,16.25,16.85,16.2,16.83
5282,2020-10-28,16.11,16.31,16.09,16.28
5281,2020-10-27,16.3,16.3,16.11,16.29
5280,2020-10-26,16.16,16.3,16.0701,16.3
5279,2020-10-23,16.33,16.38,16.21,16.28
5278,2020-10-22,16.41,16.41,16.24,16.28
5277,2020-10-21,16.49,16.5376,16.3,16.35
5276,2020-10-20,16.46,16.6394,16.39,16.575
5275,2020-10-19,16.65,16.73,16.35,16.36
5274,2020-10-16,16.79,16.79,16.54,16.55
5273,2020-10-15,16.87,17.3791,16.61,16.66
5272,2020-10-14,17.8,17.8,16.84,16.9
5271,2020-10-13,17.0,17.0596,16.86,16.91
5270,2020-10-12,17.47,17.5,16.93,17.07
5269,2020-10-09,17.49,17.49,16.91,16.91
5268,2020-10-08,16.88,17.08,16.865,16.98
5267,2020-10-07,17.0,17.12,16.85,16.95
5266,2020-10-06,16.99,17.08,16.9827,17.0
5265,2020-10-05,16.78,16.99,16.78,16.99
5264,2020-10-02,17.0,17.0,16.9,16.95
5263,2020-10-01,16.83,16.98,16.76,16.945
5262,2020-09-30,17.0,17.0,16.5701,16.69
5261,2020-09-29,16.85,16.98,16.53,16.57
5260,2020-09-28,16.9,17.02,16.79,16.79
5259,2020-09-25,17.0,17.0,16.77,16.83
5258,2020-09-24,17.0,17.0,16.82,16.98
5257,2020-09-23,16.84,17.0,16.84,16.955
5256,2020-09-22,16.82,16.92,16.67,16.92
5255,2020-09-21,16.73,16.82,16.6984,16.8114
5254,2020-09-18,16.7,16.7,16.6258,16.65
5253,2020-09-17,16.98,16.98,16.6388,16.69
5252,2020-09-16,16.83,16.94,16.77,16.94
5251,2020-09-15,17.2,17.24,16.7901,16.83
5250,2020-09-14,17.6,17.6,17.09,17.24
5249,2020-09-11,17.12,17.7,17.12,17.46
5248,2020-09-10,17.25,17.29,17.0492,17.12
5247,2020-09-09,17.2,17.275,17.065,17.13
5246,2020-09-08,16.93,17.47,16.929,17.47
5245,2020-09-04,16.8,17.105,16.74,16.91
5244,2020-09-03,16.95,16.97,16.68,16.8
5243,2020-09-02,17.14,17.14,16.83,17.01
5242,2020-09-01,16.8,17.48,16.7,16.85
5241,2020-08-31,16.85,16.8805,16.7,16.76
5240,2020-08-28,16.58,16.92,16.54,16.73
5239,2020-08-27,16.6,16.65,16.505,16.57
5238,2020-08-26,16.56,16.86,16.4075,16.48
5237,2020-08-25,16.99,16.99,16.5,16.53
5236,2020-08-24,16.72,16.9073,16.6403,16.65
5235,2020-08-21,16.92,16.92,16.59,16.66
5234,2020-08-20,16.82,16.82,16.69,16.71
5233,2020-08-19,16.81,16.81,16.64,16.73
5232,2020-08-18,16.76,16.76,16.67,16.74
5231,2020-08-17,16.8,16.81,16.695,16.7433
5230,2020-08-14,16.84,16.8701,16.7283,16.81
5229,2020-08-13,16.62,16.88,16.62,16.85
5228,2020-08-12,16.58,16.65,16.5201,16.65
5227,2020-08-11,16.61,16.61,16.52,16.575
5226,2020-08-10,16.5,16.57,16.47,16.545
5225,2020-08-07,16.5,16.505,16.45,16.5
5224,2020-08-06,16.48,16.49,16.35,16.49
5223,2020-08-05,16.33,16.4,16.3,16.38
5222,2020-08-04,16.28,16.31,16.2,16.29
5221,2020-08-03,16.2,16.25,16.03,16.21
5220,2020-07-31,15.98,16.17,15.98,16.16
5219,2020-07-30,16.02,16.02,15.96,15.99
5218,2020-07-29,16.0284,16.0499,15.97,15.97
5217,2020-07-28,16.07,16.07,15.99,16.02
5216,2020-07-27,16.0,16.08,15.99,16.01
5215,2020-07-24,16.08,16.08,15.96,16.01
5214,2020-07-23,16.47,16.47,15.96,15.96
5213,2020-07-22,16.27,16.38,16.27,16.38
5212,2020-07-21,16.38,16.38,16.23,16.27
5211,2020-07-20,16.3,16.33,16.19,16.23
5210,2020-07-17,16.22,16.49,16.2,16.31
5209,2020-07-16,16.1,16.19,16.07,16.19
5208,2020-07-15,16.08,16.14,16.0,16.14
5207,2020-07-14,16.02,16.03,15.89,16.0
5206,2020-07-13,16.04,16.07,16.01,16.01
5205,2020-07-10,15.98,16.06,15.93,16.02
5204,2020-07-09,15.99,16.09,15.93,15.94
5203,2020-07-08,15.88,15.94,15.85,15.9
5202,2020-07-07,15.89,15.9,15.81,15.84
5201,2020-07-06,15.78,15.9,15.75,15.9
5200,2020-07-02,15.79,15.82,15.71,15.71
5199,2020-07-01,15.73,15.77,15.69,15.77
5198,2020-06-30,15.76,15.76,15.67,15.68
5197,2020-06-29,15.66,15.72,15.58,15.61
5196,2020-06-26,15.54,15.65,15.52,15.58
5195,2020-06-25,15.79,15.79,15.62,15.63
5194,2020-06-24,15.78,15.78,15.7,15.76
5193,2020-06-23,15.77,15.79,15.7,15.74
5192,2020-06-22,15.72,15.72,15.62,15.69
5191,2020-06-19,15.63,15.72,15.63,15.71
5190,2020-06-18,15.6,15.65,15.59,15.61
5189,2020-06-17,15.68,15.7,15.57,15.6
5188,2020-06-16,15.71,15.77,15.6,15.65
5187,2020-06-15,15.59,15.6,15.43,15.55
5186,2020-06-12,15.54,15.63,15.49,15.53
5185,2020-06-11,15.54,15.54,15.26,15.54
5184,2020-06-10,15.46,15.57,15.46,15.56
5183,2020-06-09,15.45,15.51,15.45,15.47
5182,2020-06-08,15.47,15.5,15.42,15.45
5181,2020-06-05,15.55,15.55,15.38,15.47
5180,2020-06-04,15.43,15.47,15.37,15.38
5179,2020-06-03,15.39,15.39,15.31,15.37
5178,2020-06-02,15.35,15.39,15.3,15.34
5177,2020-06-01,15.34,15.39,15.33,15.35
5176,2020-05-29,15.22,15.3,15.22,15.28
5175,2020-05-28,15.1,15.23,15.1,15.2
5174,2020-05-27,15.23,15.23,15.05,15.05
5173,2020-05-26,15.09,15.12,15.06,15.08
5172,2020-05-22,14.98,15.06,14.98,15.03
5171,2020-05-21,14.78,14.98,14.78,14.95
5170,2020-05-20,14.81,14.95,14.81,14.85
5169,2020-05-19,14.85,14.91,14.72,14.77
5168,2020-05-18,14.92,14.92,14.86,14.87
5167,2020-05-15,14.83,14.87,14.76,14.79
5166,2020-05-14,14.9,14.9,14.75,14.79
5165,2020-05-13,15.06,15.08,14.95,14.95
5164,2020-05-12,15.0,15.07,14.98,15.06
5163,2020-05-11,15.06,15.08,14.98,14.98
5162,2020-05-08,15.0,15.12,15.0,15.12
5161,2020-05-07,14.97,14.98,14.93,14.98
5160,2020-05-06,14.8,14.94,14.8,14.88
5159,2020-05-05,14.66,14.79,14.66,14.79
5158,2020-05-04,14.61,14.69,14.52,14.66
5157,2020-05-01,14.61,14.68,14.59,14.63
5156,2020-04-30,14.62,14.69,14.59,14.63
5155,2020-04-29,14.45,14.73,14.45,14.65
5154,2020-04-28,14.51,14.59,14.42,14.5
5153,2020-04-27,14.67,14.75,14.37,14.42
5152,2020-04-24,14.91,14.91,14.74,14.77
5151,2020-04-23,15.1,15.1,14.91,14.91
5150,2020-04-22,15.06,15.15,15.04,15.12
5149,2020-04-21,15.1,15.11,14.98,15.01
5148,2020-04-20,15.18,15.18,15.1,15.1
5147,2020-04-17,15.24,15.24,15.08,15.18
5146,2020-04-16,15.19,15.19,15.06,15.19
5145,2020-04-15,15.17,15.24,15.1,15.21
5144,2020-04-14,15.28,15.28,15.07,15.2
5143,2020-04-13,15.36,15.37,15.04,15.11
5142,2020-04-09,14.96,15.34,14.96,15.25
5141,2020-04-08,14.64,14.88,14.64,14.88
5140,2020-04-07,14.68,14.8,14.62,14.63
5139,2020-04-06,14.49,14.69,14.49,14.61
5138,2020-04-03,14.36,14.52,14.21,14.36
5137,2020-04-02,14.35,14.69,14.35,14.49
5136,2020-04-01,14.89,14.89,14.58,14.67
5135,2020-03-31,15.0,15.09,14.91,14.97
5134,2020-03-30,15.0,15.35,14.76,14.99
5133,2020-03-27,15.0,15.02,14.84,14.86
5132,2020-03-26,14.37,15.18,14.37,15.06
5131,2020-03-25,13.97,14.43,13.89,14.35
5130,2020-03-24,13.42,13.91,13.42,13.88
5129,2020-03-23,13.54,13.68,13.0,13.17
5128,2020-03-20,13.22,14.13,13.22,13.97
5127,2020-03-19,12.89,13.5,12.7,13.27
5126,2020-03-18,14.33,14.37,13.03,13.27
5125,2020-03-17,13.88,14.64,13.83,14.61
5124,2020-03-16,14.44,14.44,13.75,13.88
5123,2020-03-13,14.51,14.74,14.19,14.66
5122,2020-03-12,14.13,14.92,14.13,14.31
5121,2020-03-11,15.58,15.78,15.25,15.32
5120,2020-03-10,15.9,15.92,15.68,15.75
5119,2020-03-09,16.02,16.02,15.68,15.8
5118,2020-03-06,16.1,16.19,16.0,16.06
5117,2020-03-05,16.15,16.16,16.1,16.11
