,Date,Open,High,Low,Close
4292,2020-12-14,106.01,107.0,102.87,103.44
4291,2020-12-11,106.64,106.64,104.59,104.68
4290,2020-12-10,106.46,108.42,105.595,108.05
4289,2020-12-09,110.53,111.11,107.5,108.07
4288,2020-12-08,110.96,112.88,109.46,109.62
4287,2020-12-07,110.5,111.5,108.81,111.37
4286,2020-12-04,110.45,111.12,109.19,110.8
4285,2020-12-03,110.63,111.66,108.95,109.64
4284,2020-12-02,108.84,110.365,108.49,109.65
4283,2020-12-01,107.81,109.12,106.15,109.0
4282,2020-11-30,106.08,107.55,104.79,105.25
4281,2020-11-27,109.11,110.48,106.08,107.0
4280,2020-11-25,108.95,110.0,107.45,109.35
4279,2020-11-24,108.81,111.38,108.12,109.79
4278,2020-11-23,106.02,107.84,105.29,107.35
4277,2020-11-20,103.39,105.12,102.73,104.57
4276,2020-11-19,103.99,106.49,102.18,103.53
4275,2020-11-18,104.38,106.21,103.61,103.91
4274,2020-11-17,103.81,106.384,103.0,104.39
4273,2020-11-16,101.22,105.28,101.04,104.58
4272,2020-11-13,96.37,100.0,96.37,99.92
4271,2020-11-12,95.28,95.99,93.03,95.35
4270,2020-11-11,95.17,98.09,93.7283,95.6
4269,2020-11-10,91.07,95.94,90.51,94.79
4268,2020-11-09,91.99,94.98,89.34,90.38
4267,2020-11-06,86.68,90.59,86.16,86.44
4266,2020-11-05,82.91,88.13,82.34,85.69
4265,2020-11-04,88.32,88.48,81.51,81.88
4264,2020-11-03,85.17,88.19,84.6,87.7
4263,2020-11-02,82.55,83.42,80.75,83.2
4262,2020-10-30,81.79,82.96,80.82,82.4
4261,2020-10-29,80.99,83.25,80.45,82.46
4260,2020-10-28,83.28,83.69,80.42,81.02
4259,2020-10-27,86.71,86.76,83.24,84.79
4258,2020-10-26,88.92,88.92,85.01,86.66
4257,2020-10-23,91.52,92.0,90.01,90.4
4256,2020-10-22,88.68,92.1,88.68,91.08
4255,2020-10-21,86.49,88.34,84.79,87.64
4254,2020-10-20,88.29,88.81,86.31,86.78
4253,2020-10-19,89.33,89.33,86.595,87.04
4252,2020-10-16,87.98,88.67,87.55,88.03
4251,2020-10-15,87.5,89.99,86.18,88.29
4250,2020-10-14,90.24,91.83,87.8,87.95
4249,2020-10-13,92.08,92.08,88.875,90.27
4248,2020-10-12,92.64,93.74,91.44,91.97
4247,2020-10-09,94.88,95.6835,91.68,92.16
4246,2020-10-08,92.59,94.32,92.315,94.21
4245,2020-10-07,90.24,92.365,90.24,91.66
4244,2020-10-06,91.14,92.0462,88.87,89.36
4243,2020-10-05,91.33,92.58,89.71,90.53
4242,2020-10-02,87.6,91.2,87.21,89.96
