,Date,Open,High,Low,Close
59,2020-12-14,25.05,25.05,25.05,25.05
58,2020-12-11,25.05,25.05,25.05,25.05
57,2020-12-10,25.05,25.06,25.05,25.05
56,2020-12-09,25.05,25.05,25.05,25.05
55,2020-12-08,25.0202,25.0202,25.0202,25.0202
54,2020-12-07,25.0202,25.0202,25.0202,25.0202
53,2020-12-04,25.0202,25.0202,25.0202,25.0202
52,2020-12-03,25.0202,25.0202,25.0202,25.0202
51,2020-12-02,24.95,25.05,24.95,25.0202
50,2020-12-01,25.05,25.05,24.97,24.97
49,2020-11-30,25.21,25.21,25.02,25.1
48,2020-11-27,24.8,24.8,24.8,24.8
47,2020-11-25,24.8,24.8,24.8,24.8
46,2020-11-24,24.8,24.8,24.8,24.8
45,2020-11-23,24.8,24.8,24.8,24.8
44,2020-11-20,24.8,24.8,24.8,24.8
43,2020-11-19,24.8,24.8,24.8,24.8
42,2020-11-18,24.85,24.85,24.81,24.81
41,2020-11-17,24.76,24.76,24.75,24.75
40,2020-11-16,24.82,24.89,24.75,24.75
39,2020-11-13,24.9,24.9,24.75,24.88
38,2020-11-12,24.76,24.95,24.75,24.95
37,2020-11-11,25.05,25.05,24.92,24.92
36,2020-11-10,24.86,24.99,24.85,24.99
35,2020-11-09,24.7583,24.84,24.75,24.84
34,2020-11-06,24.75,24.75,24.75,24.75
33,2020-11-05,24.75,24.75,24.75,24.75
32,2020-11-04,24.6,24.75,24.6,24.75
31,2020-11-03,24.82,24.82,24.6,24.6
30,2020-11-02,24.75,24.75,24.75,24.75
29,2020-10-30,24.75,24.75,24.75,24.75
28,2020-10-29,24.7,24.7,24.66,24.66
27,2020-10-28,24.8499,24.8499,24.8499,24.8499
26,2020-10-27,24.74,24.85,24.74,24.85
25,2020-10-26,24.74,24.74,24.74,24.74
24,2020-10-23,24.74,24.74,24.74,24.74
23,2020-10-22,24.69,24.7,24.69,24.7
22,2020-10-21,24.675,24.7,24.6,24.7
21,2020-10-20,24.65,24.65,24.65,24.65
20,2020-10-19,24.675,24.675,24.675,24.675
19,2020-10-16,24.7,24.72,24.7,24.72
18,2020-10-15,24.56,24.6111,24.56,24.6111
17,2020-10-14,24.59,24.59,24.59,24.59
16,2020-10-13,24.7,24.7,24.64,24.64
15,2020-10-12,24.65,24.65,24.65,24.65
14,2020-10-09,24.7,24.7,24.65,24.65
13,2020-10-08,24.6,24.7,24.6,24.7
12,2020-10-07,24.59,24.59,24.59,24.59
11,2020-10-06,24.64,24.64,24.59,24.59
10,2020-10-05,24.7001,24.75,24.46,24.46
9,2020-10-02,24.5,24.6499,24.45,24.6499
8,2020-10-01,24.52,24.65,24.52,24.65
7,2020-09-30,24.6,24.6,24.4799,24.5
6,2020-09-29,24.545,24.6,24.545,24.5653
5,2020-09-28,24.475,24.475,24.475,24.475
4,2020-09-25,24.53,24.65,24.53,24.65
3,2020-09-24,24.32,24.7,24.3,24.52
2,2020-09-23,24.65,24.7,24.55,24.66
1,2020-09-22,24.6,24.69,24.6,24.69
0,2020-09-21,24.26,24.7,22.5,24.6
