,Date,Open,High,Low,Close
5314,2020-12-14,11.82,11.82,11.18,11.18
5313,2020-12-11,11.98,12.0,11.57,11.6
5312,2020-12-10,12.15,12.35,11.85,12.18
5311,2020-12-09,12.41,12.55,12.24,12.33
5310,2020-12-08,12.52,12.74,12.22,12.26
5309,2020-12-07,12.74,12.85,12.6,12.68
5308,2020-12-04,12.11,12.8,12.05,12.78
5307,2020-12-03,11.96,12.32,11.87,12.2
5306,2020-12-02,11.87,12.005,11.75,11.92
5305,2020-12-01,11.56,12.12,11.55,11.95
5304,2020-11-30,11.7,11.83,11.32,11.32
5303,2020-11-27,12.45,12.45,11.74,11.88
5302,2020-11-25,12.86,12.86,12.421,12.45
5301,2020-11-24,12.57,12.97,12.51,12.96
5300,2020-11-23,11.91,12.0,11.72,11.85
5299,2020-11-20,12.1,12.24,11.6,11.67
5298,2020-11-19,12.03,12.25,11.89,12.22
5297,2020-11-18,11.5,12.34,11.39,12.08
5296,2020-11-17,11.39,11.48,11.24,11.42
5295,2020-11-16,11.5,11.6,11.34,11.56
5294,2020-11-13,11.27,11.5655,10.87,11.03
5293,2020-11-12,11.34,11.52,11.06,11.1
5292,2020-11-11,11.94,11.94,11.46,11.57
5291,2020-11-10,11.8,11.94,11.63,11.84
5290,2020-11-09,11.75,12.21,11.13,11.66
5289,2020-11-06,10.67,10.68,10.355,10.63
5288,2020-11-05,10.2,10.765,10.2,10.6
5287,2020-11-04,10.04,10.31,9.61,10.08
5286,2020-11-03,10.05,10.49,9.97,10.35
5285,2020-11-02,9.65,9.845,9.54,9.78
5284,2020-10-30,9.69,9.87,9.25,9.43
5283,2020-10-29,9.63,9.9,9.52,9.74
5282,2020-10-28,10.7,10.71,9.7,9.74
5281,2020-10-27,10.4,10.4,9.95,9.95
5280,2020-10-26,10.87,10.87,10.37,10.5
5279,2020-10-23,11.04,11.21,10.96,11.12
5278,2020-10-22,11.35,11.402,10.72,10.89
5277,2020-10-21,11.28,11.665,11.28,11.51
5276,2020-10-20,11.28,11.5,11.13,11.27
5275,2020-10-19,11.35,11.57,11.02,11.04
5274,2020-10-16,11.28,11.56,11.21,11.28
5273,2020-10-15,10.94,11.36,10.8001,11.25
5272,2020-10-14,11.21,11.29,11.1,11.17
5271,2020-10-13,11.18,11.24,11.04,11.19
5270,2020-10-12,11.48,11.62,11.26,11.3
5269,2020-10-09,11.99,12.32,11.34,11.44
5268,2020-10-08,11.58,12.0,11.57,11.99
5267,2020-10-07,11.56,11.9,11.43,11.43
5266,2020-10-06,11.98,12.13,11.33,11.33
