,Date,Open,High,Low,Close
16,2020-12-14,45.55,45.68,39.76,40.2
15,2020-12-11,45.8,45.8,43.21,43.28
14,2020-12-10,44.12,45.93,42.78,45.73
13,2020-12-09,42.5,44.57,42.13,43.72
12,2020-12-08,45.0,46.0,42.3,42.87
11,2020-12-07,48.73,50.0,44.0,44.93
10,2020-12-04,51.18,52.6017,48.24,49.0
9,2020-12-03,53.83,56.5,49.615,50.83
8,2020-12-02,53.68,60.27,53.24,53.39
7,2020-12-01,51.21,55.93,50.0,54.5
6,2020-11-30,50.25,52.01,49.21,51.0
5,2020-11-27,48.81,51.35,48.01,49.8
4,2020-11-25,46.2,51.5,44.0,49.5
3,2020-11-24,53.34,56.105,46.02,47.11
2,2020-11-23,48.0,56.4322,46.0001,52.78
1,2020-11-20,47.0,49.05,41.05,48.9
0,2020-11-19,45.0,49.03,40.0,49.0
