,Date,Open,High,Low,Close
1270,2020-12-14,44.0,44.0,42.01,42.98
1269,2020-12-11,43.5,43.79,42.97,43.32
1268,2020-12-10,41.81,43.92,41.22,43.7
1267,2020-12-09,40.1,41.17,39.995,40.73
1266,2020-12-08,40.15,40.53,39.59,39.64
1265,2020-12-07,40.3,40.93,39.71,40.74
1264,2020-12-04,40.22,40.76,39.84,40.33
1263,2020-12-03,40.54,40.77,39.69,39.87
1262,2020-12-02,39.64,40.44,39.29,40.36
1261,2020-12-01,39.96,40.53,39.61,39.69
1260,2020-11-30,40.38,40.71,38.95,38.99
1259,2020-11-27,40.92,41.12,39.84,40.4
1258,2020-11-25,40.35,41.27,39.47,41.24
1257,2020-11-24,39.56,40.93,39.4138,40.76
1256,2020-11-23,38.04,39.1264,37.78,38.73
1255,2020-11-20,39.05,39.07,37.49,37.55
1254,2020-11-19,39.1,39.43,38.44,39.3
1253,2020-11-18,40.11,40.56,39.41,39.43
1252,2020-11-17,39.4,40.22,38.87,39.95
1251,2020-11-16,40.65,40.74,39.56,39.93
1250,2020-11-13,38.88,39.72,38.67,39.36
1249,2020-11-12,38.67,39.2,37.845,38.2
1248,2020-11-11,39.69,39.85,38.5,39.27
1247,2020-11-10,38.47,40.11,38.41,39.65
1246,2020-11-09,38.88,40.99,38.1033,38.21
1245,2020-11-06,37.55,37.74,36.41,36.61
1244,2020-11-05,37.8,38.3598,37.47,37.58
1243,2020-11-04,36.82,37.96,35.875,37.44
1242,2020-11-03,37.42,38.26,37.1,37.54
1241,2020-11-02,35.59,36.58,35.33,36.48
1240,2020-10-30,35.16,35.65,34.24,34.89
1239,2020-10-29,35.15,35.78,34.54,35.48
1238,2020-10-28,36.0,37.16,35.0,35.05
1237,2020-10-27,37.53,37.93,35.4,36.78
1236,2020-10-26,37.08,37.8,36.6216,37.53
1235,2020-10-23,36.7,37.7861,36.6,37.76
1234,2020-10-22,35.27,36.5,35.08,36.5
1233,2020-10-21,36.93,36.995,35.25,35.29
1232,2020-10-20,36.26,37.41,35.9,36.82
1231,2020-10-19,36.09,36.91,35.62,35.66
1230,2020-10-16,35.79,36.16,35.28,35.74
1229,2020-10-15,35.64,36.45,35.25,35.77
1228,2020-10-14,36.13,36.66,35.99,36.03
1227,2020-10-13,36.29,36.35,35.58,36.16
1226,2020-10-12,36.56,36.7436,35.92,36.3
1225,2020-10-09,36.89,36.99,36.13,36.41
1224,2020-10-08,35.7,36.48,35.54,36.14
1223,2020-10-07,35.06,35.76,34.82,35.46
1222,2020-10-06,34.99,35.8,33.88,34.35
1221,2020-10-05,33.62,34.51,33.58,34.39
1220,2020-10-02,31.37,33.6,31.3,33.34
1219,2020-10-01,31.51,32.44,30.87,32.19
1218,2020-09-30,30.62,31.49,30.62,31.25
1217,2020-09-29,30.34,30.65,29.87,30.47
1216,2020-09-28,30.34,30.89,30.1,30.49
1215,2020-09-25,29.13,29.88,28.845,29.56
1214,2020-09-24,29.38,29.9,28.66,29.23
1213,2020-09-23,30.97,31.4,29.56,29.59
1212,2020-09-22,31.0,31.52,30.42,30.82
1211,2020-09-21,31.15,31.15,29.85,30.76
1210,2020-09-18,32.49,32.82,31.94,31.97
1209,2020-09-17,31.78,32.87,31.62,32.57
1208,2020-09-16,32.22,32.95,31.44,32.41
1207,2020-09-15,31.97,32.97,31.78,32.19
1206,2020-09-14,30.95,32.09,30.6783,31.63
1205,2020-09-11,29.62,30.87,29.39,30.78
1204,2020-09-10,30.23,30.88,29.49,29.52
1203,2020-09-09,30.27,30.39,29.71,30.08
1202,2020-09-08,30.72,30.9,29.99,30.01
1201,2020-09-04,30.79,31.66,30.0,31.15
1200,2020-09-03,29.89,30.67,29.2,29.92
1199,2020-09-02,29.22,29.86,28.93,29.83
1198,2020-09-01,28.73,29.74,28.51,29.14
1197,2020-08-31,30.02,30.02,29.05,29.08
1196,2020-08-28,29.97,30.11,29.615,30.0
