,Date,Open,High,Low,Close
640,2020-12-14,2.56,2.65,2.5,2.53
639,2020-12-11,2.7944,2.7944,2.41,2.49
638,2020-12-10,3.25,3.36,2.49,2.69
637,2020-12-09,3.89,3.8999,3.02,3.29
636,2020-12-08,4.0,4.0,3.66,3.84
635,2020-12-07,4.13,4.19,3.76,3.88
634,2020-12-04,3.67,4.14,3.625,4.03
633,2020-12-03,3.49,3.72,3.4381,3.63
632,2020-12-02,3.46,3.62,3.31,3.49
631,2020-12-01,3.62,3.84,3.3,3.46
630,2020-11-30,2.8,3.64,2.78,3.49
629,2020-11-27,2.7,2.87,2.65,2.77
628,2020-11-25,2.44,2.6,2.4233,2.57
627,2020-11-24,2.63,2.7789,2.38,2.51
626,2020-11-23,2.3,2.8,2.27,2.63
625,2020-11-20,2.13,2.34,2.085,2.25
624,2020-11-19,2.07,2.12,2.02,2.07
623,2020-11-18,2.06,2.0699,2.0,2.01
622,2020-11-17,2.07,2.07,1.98,2.03
621,2020-11-16,2.0897,2.1,1.96,1.97
620,2020-11-13,2.14,2.16,1.96,2.01
619,2020-11-12,2.19,2.22,2.08,2.14
618,2020-11-11,2.08,2.16,2.03,2.15
617,2020-11-10,2.16,2.1693,2.07,2.08
616,2020-11-09,2.2,2.23,2.11,2.16
615,2020-11-06,2.23,2.2387,2.15,2.18
614,2020-11-05,2.25,2.29,2.19,2.23
613,2020-11-04,2.2,2.3,2.167,2.2
612,2020-11-03,2.17,2.21,2.11,2.16
611,2020-11-02,2.11,2.155,2.02,2.14
610,2020-10-30,2.05,2.11,1.97,2.09
609,2020-10-29,2.2,2.2,2.02,2.05
608,2020-10-28,2.18,2.2009,2.02,2.1
607,2020-10-27,2.27,2.3391,2.12,2.27
606,2020-10-26,2.31,2.32,2.12,2.21
605,2020-10-23,2.29,2.31,2.2,2.26
604,2020-10-22,2.22,2.3074,2.2,2.25
603,2020-10-21,2.29,2.34,2.12,2.18
602,2020-10-20,2.13,2.4399,2.0801,2.27
601,2020-10-19,2.0,2.17,1.96,2.08
600,2020-10-16,2.0,2.01,1.92,1.97
599,2020-10-15,2.12,2.12,1.97,2.0
598,2020-10-14,2.1,2.17,2.06,2.115
597,2020-10-13,2.03,2.1,2.0,2.08
596,2020-10-12,2.01,2.15,1.99,2.09
595,2020-10-09,1.99,1.9989,1.92,1.97
594,2020-10-08,1.99,2.03,1.95,1.97
593,2020-10-07,1.95,1.99,1.9064,1.97
592,2020-10-06,1.83,1.95,1.8,1.89
591,2020-10-05,1.77,1.85,1.72,1.81
590,2020-10-02,1.7,1.76,1.68,1.73
589,2020-10-01,1.75,1.75,1.6803,1.71
588,2020-09-30,1.72,1.73,1.68,1.69
587,2020-09-29,1.69,1.73,1.67,1.7
586,2020-09-28,1.73,1.7499,1.68,1.69
