,Date,Open,High,Low,Close
2903,2020-12-14,23.46,24.67,23.46,23.9
2902,2020-12-11,23.45,23.87,23.26,23.58
2901,2020-12-10,23.59,23.85,23.2801,23.58
2900,2020-12-09,24.0,24.19,23.66,23.71
2899,2020-12-08,23.53,24.13,23.53,23.9
2898,2020-12-07,23.87,24.28,23.55,23.87
2897,2020-12-04,22.92,23.94,22.92,23.87
2896,2020-12-03,22.91,23.5,22.78,23.0
2895,2020-12-02,22.58,23.18,22.5,22.98
2894,2020-12-01,23.12,23.79,22.71,22.78
2893,2020-11-30,23.77,23.87,22.74,22.85
2892,2020-11-27,24.27,24.27,23.48,23.86
2891,2020-11-25,24.45,24.51,23.01,24.23
2890,2020-11-24,24.38,25.15,24.275,24.6
2889,2020-11-23,23.78,24.4,23.64,23.93
2888,2020-11-20,22.89,23.57,22.87,23.48
2887,2020-11-19,23.11,23.2947,22.32,23.12
2886,2020-11-18,23.61,23.79,22.69,22.72
2885,2020-11-17,22.89,23.73,22.78,23.61
2884,2020-11-16,22.81,23.6,22.26,23.14
2883,2020-11-13,21.38,22.29,21.34,22.2
2882,2020-11-12,21.67,21.67,20.81,21.065
2881,2020-11-11,22.31,22.31,21.4,21.74
2880,2020-11-10,21.1,22.1,20.56,21.97
2879,2020-11-09,18.57,21.26,18.57,20.59
2878,2020-11-06,18.67,18.88,17.9,18.09
2877,2020-11-05,18.81,19.1,18.535,18.68
2876,2020-11-04,19.56,19.56,18.65,18.72
2875,2020-11-03,19.36,19.8,19.0,19.725
2874,2020-11-02,18.64,19.21,18.63,19.17
2873,2020-10-30,18.14,19.0335,18.14,18.41
2872,2020-10-29,18.04,18.54,17.62,18.33
2871,2020-10-28,18.12,18.37,17.75,17.99
2870,2020-10-27,19.11,19.35,18.43,18.46
2869,2020-10-26,19.71,19.73,19.1403,19.23
2868,2020-10-23,19.96,20.105,19.7,19.9
2867,2020-10-22,20.28,20.54,20.05,20.49
2866,2020-10-21,20.04,20.41,19.9,20.28
2865,2020-10-20,20.39,20.77,20.01,20.08
2864,2020-10-19,20.91,20.96,20.07,20.16
2863,2020-10-16,21.12,21.29,20.75,21.0
2862,2020-10-15,20.45,21.43,20.4,21.25
2861,2020-10-14,21.04,21.24,20.59,20.61
2860,2020-10-13,21.64,21.74,21.06,21.11
2859,2020-10-12,21.29,21.9,21.1,21.78
2858,2020-10-09,21.8,22.0,21.07,21.31
2857,2020-10-08,20.88,21.8,20.88,21.76
