,Date,Open,High,Low,Close
5314,2020-12-14,87.02,87.71,84.96,85.81
5313,2020-12-11,84.73,87.35,84.73,86.38
5312,2020-12-10,84.81,85.7892,84.54,85.42
5311,2020-12-09,85.25,86.22,84.36,85.57
5310,2020-12-08,83.05,85.68,82.975,84.75
5309,2020-12-07,83.88,84.11,82.63,83.41
5308,2020-12-04,83.67,84.97,83.11,84.61
5307,2020-12-03,81.0,82.1,80.5,81.56
5306,2020-12-02,82.14,82.8399,80.42,80.76
5305,2020-12-01,82.44,83.1,81.25,82.49
5304,2020-11-30,83.21,83.64,80.43,80.5
5303,2020-11-27,84.06,84.7,82.78,83.51
5302,2020-11-25,86.33,86.33,83.99,84.33
5301,2020-11-24,85.69,87.24,85.03,86.92
5300,2020-11-23,81.5,85.595,81.1618,84.64
5299,2020-11-20,79.64,81.2,79.64,80.55
5298,2020-11-19,78.59,80.41,77.77,80.19
5297,2020-11-18,76.96,81.09,76.96,79.23
5296,2020-11-17,77.39,77.87,75.81,76.65
5295,2020-11-16,77.79,78.93,75.85,78.79
5294,2020-11-13,74.46,76.15,73.66,75.53
5293,2020-11-12,73.0,74.47,72.08,74.02
5292,2020-11-11,75.3,75.99,72.53,73.49
5291,2020-11-10,74.95,75.845,74.18,74.68
5290,2020-11-09,72.01,75.74,71.51,74.0
5289,2020-11-06,70.42,70.42,67.9,68.56
5288,2020-11-05,69.81,71.78,69.73,69.97
5287,2020-11-04,71.71,72.18,68.27,69.36
5286,2020-11-03,71.46,73.58,71.25,73.1
5285,2020-11-02,68.34,71.02,67.55,70.41
5284,2020-10-30,68.84,69.79,66.74,67.36
5283,2020-10-29,70.85,72.2069,67.72,69.3
5282,2020-10-28,71.8,72.65,70.92,71.19
5281,2020-10-27,76.05,76.235,73.36,73.46
5280,2020-10-26,77.07,77.275,74.49,76.08
5279,2020-10-23,79.1,79.84,78.05,78.42
5278,2020-10-22,78.0,79.15,77.12,78.1
5277,2020-10-21,79.23,80.0,77.96,78.0
5276,2020-10-20,81.09,81.36,79.92,80.05
5275,2020-10-19,82.42,83.08,79.83,80.7
5274,2020-10-16,79.55,81.14,79.23,80.05
5273,2020-10-15,77.43,79.8998,77.27,79.47
5272,2020-10-14,78.65,79.98,78.36,78.44
5271,2020-10-13,78.66,79.57,77.925,78.64
5270,2020-10-12,79.17,79.97,78.5,79.57
5269,2020-10-09,79.44,79.8099,78.1856,78.37
5268,2020-10-08,78.64,78.65,77.05,78.62
5267,2020-10-07,77.42,78.87,77.16,78.17
5266,2020-10-06,77.72,78.47,75.92,76.16
5265,2020-10-05,75.4,77.595,75.18,77.1
5264,2020-10-02,71.66,75.87,71.66,74.44
5263,2020-10-01,73.91,74.16,72.42,73.25
5262,2020-09-30,73.45,74.71,72.72,73.5
5261,2020-09-29,73.35,73.74,72.36,72.79
5260,2020-09-28,72.94,74.66,72.845,73.17
