,Date,Open,High,Low,Close
4669,2020-12-14,56.15,57.04,53.95,55.85
4668,2020-12-11,56.86,58.59,53.78,55.48
4667,2020-12-10,57.24,59.13,56.0,56.69
4666,2020-12-09,60.3,62.72,57.29,57.92
4665,2020-12-08,59.3,61.8544,57.8,60.04
4664,2020-12-07,62.83,62.98,59.15,59.58
4663,2020-12-04,62.56,63.3027,61.54,62.72
4662,2020-12-03,62.41,63.5699,61.33,62.86
4661,2020-12-02,61.23,64.08,59.5575,62.25
4660,2020-12-01,68.0,68.54,61.54,63.14
4659,2020-11-30,70.25,71.6,63.82,67.49
4658,2020-11-27,69.43,71.23,67.6,69.33
4657,2020-11-25,66.91,69.45,66.25,68.43
4656,2020-11-24,69.5,69.9,65.11,66.86
4655,2020-11-23,64.27,68.79,62.6001,67.93
4654,2020-11-20,58.94,64.27,58.7,61.85
4653,2020-11-19,58.06,60.21,56.53,58.28
4652,2020-11-18,57.29,58.69,55.23,57.32
4651,2020-11-17,52.5949,59.18,51.1,58.31
4650,2020-11-16,52.5431,54.74,51.31,52.33
4649,2020-11-13,53.85,56.34,53.06,54.51
4648,2020-11-12,53.19,54.5,52.13,53.11
4647,2020-11-11,52.13,53.5799,51.0,52.06
4646,2020-11-10,53.52,53.97,48.5001,51.34
4645,2020-11-09,61.0,61.16,52.51,53.84
4644,2020-11-06,67.26,68.66,64.61,67.33
4643,2020-11-05,61.98,69.1857,61.3373,68.54
4642,2020-11-04,61.7301,62.88,58.65,59.76
4641,2020-11-03,59.02,60.73,57.16,60.37
4640,2020-11-02,57.46,61.09,56.11,58.38
4639,2020-10-30,60.651,65.84,55.26,56.1
4638,2020-10-29,82.01,82.39,62.01,62.21
4637,2020-10-28,70.55,73.37,68.3908,71.98
4636,2020-10-27,71.9813,74.63,71.1,72.33
4635,2020-10-26,71.08,73.4,68.68,71.09
4634,2020-10-23,71.5,72.04,69.6501,71.88
4633,2020-10-22,68.16,71.86,66.61,71.4
4632,2020-10-21,73.79,73.79,67.54,67.95
4631,2020-10-20,73.02,74.735,71.3138,71.42
4630,2020-10-19,77.86,78.14,71.44,72.65
4629,2020-10-16,81.35,82.24,76.97,77.01
4628,2020-10-15,78.3238,81.4,77.13,80.34
4627,2020-10-14,84.57,84.66,79.5,80.59
4626,2020-10-13,81.55,85.56,79.0138,84.06
4625,2020-10-12,84.26,84.7997,80.15,81.46
4624,2020-10-09,83.27,85.5,81.85,83.23
4623,2020-10-08,85.67,87.76,81.03,82.23
4622,2020-10-07,79.7,84.9,79.55,84.65
4621,2020-10-06,80.68,83.5,77.1,78.21
4620,2020-10-05,79.46,81.1,77.23,80.76
4619,2020-10-02,78.94,81.99,76.8,77.93
4618,2020-10-01,75.09,83.99,74.4,83.87
4617,2020-09-30,74.22,75.46,71.83,72.65
4616,2020-09-29,74.94,75.68,72.77,74.19
4615,2020-09-28,74.16,76.6899,72.95,74.62
4614,2020-09-25,74.7998,76.52,71.85,72.87
4613,2020-09-24,69.7,78.56,68.1101,74.54
4612,2020-09-23,78.89,82.4,69.7001,71.42
4611,2020-09-22,74.88,79.56,72.05,79.34
4610,2020-09-21,73.46,77.4899,70.17,74.48
4609,2020-09-18,72.18,75.48,70.59,75.04
4608,2020-09-17,71.6,73.4399,68.7,72.13
4607,2020-09-16,74.04,78.4,72.73,74.48
4606,2020-09-15,77.57,77.99,69.76,73.33
4605,2020-09-14,71.0,75.9,67.4,75.73
4604,2020-09-11,77.71,79.5,64.2,65.15
4603,2020-09-10,76.595,86.75,73.3401,74.5
4602,2020-09-09,67.88,70.4,65.44,68.94
4601,2020-09-08,63.6,71.7,62.56,63.24
4600,2020-09-04,71.28,74.58,61.0,67.4
4599,2020-09-03,77.39,83.74,73.0,73.34
4598,2020-09-02,89.0,90.9665,78.56,81.69
4597,2020-09-01,87.8935,93.904,85.91,88.43
4596,2020-08-31,93.61,94.73,85.0,87.5
4595,2020-08-28,98.75,105.4999,95.3301,96.93
4594,2020-08-27,107.35,109.45,90.81,95.99
4593,2020-08-26,113.14,116.5,106.75,109.52
4592,2020-08-25,109.24,113.2,104.0,112.82
4591,2020-08-24,124.36,127.11,113.16,116.24
4590,2020-08-21,122.6147,126.0,117.4,121.09
4589,2020-08-20,124.65,128.32,118.42,122.32
4588,2020-08-19,115.25,128.5,115.0,121.76
4587,2020-08-18,115.49,119.6,110.0,115.93
4586,2020-08-17,100.322,118.88,99.42,118.13
4585,2020-08-14,97.0,97.46,90.71,93.36
4584,2020-08-13,90.7,97.2,90.29,94.99
4583,2020-08-12,87.2,91.845,85.51,88.93
4582,2020-08-11,90.1,103.09,85.68,92.0
4581,2020-08-10,106.8381,109.84,94.35,95.58
4580,2020-08-07,93.65,112.6216,93.1,103.65
4579,2020-08-06,96.25,98.24,89.56,94.14
4578,2020-08-05,81.79,95.36,81.6,93.85
4577,2020-08-04,81.96,84.89,79.34,82.4
4576,2020-08-03,76.73,83.479,76.37,82.96
4575,2020-07-31,76.76,79.42,72.25,75.59
4574,2020-07-30,70.0,78.83,64.16,76.19
4573,2020-07-29,59.37,61.94,56.66,60.74
4572,2020-07-28,58.03,60.94,57.6,58.37
4571,2020-07-27,54.69,59.4699,53.5601,59.13
4570,2020-07-24,51.35,54.12,48.3901,53.21
4569,2020-07-23,55.15,57.17,51.0,52.98
4568,2020-07-22,52.81,55.29,52.38,54.85
4567,2020-07-21,53.9,54.07,50.25,52.72
4566,2020-07-20,49.15,53.95,48.32,53.31
4565,2020-07-17,46.46,49.19,44.63,48.93
4564,2020-07-16,44.44,46.64,42.39,45.8
4563,2020-07-15,42.33,47.2,41.81,45.88
4562,2020-07-14,42.83,44.38,38.52,43.13
4561,2020-07-13,49.1,51.26,41.26,41.86
4560,2020-07-10,45.0,50.65,43.71,48.75
4559,2020-07-09,41.85,45.85,41.6,45.2
4558,2020-07-08,46.98,46.98,40.51,43.44
4557,2020-07-07,39.75,46.68,39.05,45.4
4556,2020-07-06,36.42,39.93,35.11,39.16
4555,2020-07-02,32.6,33.92,30.83,33.43
4554,2020-07-01,28.05,30.62,27.83,30.07
4553,2020-06-30,27.57,28.98,27.32,28.43
4552,2020-06-29,29.04,29.67,27.08,27.83
4551,2020-06-26,26.49,28.475,25.4,28.1
