,Date,Open,High,Low,Close
439,2020-12-14,8.93,9.01,8.32,8.33
438,2020-12-11,8.61,8.86,8.37,8.77
437,2020-12-10,8.55,8.77,8.26,8.67
436,2020-12-09,8.99,9.0896,8.46,8.6
435,2020-12-08,9.05,9.21,8.75,8.9
434,2020-12-07,9.64,9.66,9.07,9.09
433,2020-12-04,9.59,9.87,9.42,9.79
432,2020-12-03,8.94,9.57,8.94,9.51
431,2020-12-02,8.52,9.07,8.415,8.93
430,2020-12-01,8.99,9.0,8.39,8.56
429,2020-11-30,8.64,8.9,8.42,8.84
428,2020-11-27,8.78,8.83,8.54,8.68
427,2020-11-25,9.2,9.2,8.55,8.63
426,2020-11-24,8.55,9.1,8.35,9.07
425,2020-11-23,8.3,8.4292,8.05,8.27
424,2020-11-20,8.39,8.56,8.05,8.22
423,2020-11-19,8.4,8.569,8.3227,8.48
422,2020-11-18,8.25,8.95,8.18,8.44
421,2020-11-17,8.2,8.35,8.02,8.19
420,2020-11-16,8.33,8.7,8.01,8.25
419,2020-11-13,8.0,8.05,7.6523,8.0
418,2020-11-12,7.6,7.95,7.38,7.94
417,2020-11-11,8.25,8.27,7.515,7.59
416,2020-11-10,8.5,8.56,8.03,8.23
415,2020-11-09,8.0,8.75,7.5,8.5
414,2020-11-06,6.55,6.59,6.19,6.34
413,2020-11-05,6.01,6.55,6.01,6.49
412,2020-11-04,6.06,6.21,5.87,6.01
411,2020-11-03,6.03,6.29,5.95,6.19
410,2020-11-02,6.29,6.3999,5.84,5.96
409,2020-10-30,6.13,6.86,5.87,6.21
408,2020-10-29,5.89,6.3,5.85,6.12
407,2020-10-28,6.02,6.17,5.9,5.94
406,2020-10-27,6.44,6.47,6.2,6.25
405,2020-10-26,6.69,6.74,6.29,6.42
404,2020-10-23,7.18,7.325,6.74,6.79
403,2020-10-22,6.89,7.22,6.79,7.1
402,2020-10-21,6.88,6.92,6.73,6.88
401,2020-10-20,6.79,6.9099,6.66,6.86
400,2020-10-19,7.03,7.13,6.715,6.75
399,2020-10-16,6.96,7.17,6.9,7.04
398,2020-10-15,6.59,7.03,6.59,6.97
397,2020-10-14,6.98,7.01,6.7,6.72
396,2020-10-13,7.07,7.1,6.87,6.99
395,2020-10-12,7.53,7.55,7.01,7.18
394,2020-10-09,7.36,7.69,7.2921,7.54
393,2020-10-08,7.43,7.51,7.3,7.33
392,2020-10-07,7.3,7.51,7.125,7.36
391,2020-10-06,7.12,7.38,7.08,7.2
390,2020-10-05,6.67,7.12,6.59,7.11
389,2020-10-02,6.31,6.6,6.13,6.59
388,2020-10-01,6.52,6.59,6.1701,6.47
387,2020-09-30,6.4,6.74,6.2752,6.5
386,2020-09-29,7.08,7.09,6.2,6.27
385,2020-09-28,6.99,7.28,6.75,7.12
384,2020-09-25,6.08,6.86,6.06,6.75
383,2020-09-24,6.27,6.41,6.03,6.06
382,2020-09-23,6.69,6.8,6.28,6.3
381,2020-09-22,6.71,6.89,6.6,6.66
380,2020-09-21,6.82,6.95,6.59,6.7
379,2020-09-18,7.17,7.31,6.98,7.03
378,2020-09-17,7.13,7.52,6.96,7.07
377,2020-09-16,7.15,7.59,7.1,7.25
376,2020-09-15,7.38,7.48,7.15,7.16
375,2020-09-14,7.34,7.5,7.14,7.38
374,2020-09-11,7.31,7.41,7.0365,7.245
373,2020-09-10,7.41,7.52,7.26,7.27
372,2020-09-09,7.42,7.63,7.25,7.36
371,2020-09-08,7.45,7.55,7.23,7.39
