,Date,Open,High,Low,Close
4026,2020-12-14,11.48,11.48,11.48,11.48
4025,2020-12-11,11.48,11.48,11.48,11.48
4024,2020-12-10,11.41,11.41,11.41,11.41
4023,2020-12-09,11.5,11.5001,11.41,11.41
4022,2020-12-08,11.51,11.54,11.5,11.54
4021,2020-12-07,11.52,11.53,11.52,11.52
4020,2020-12-04,11.52,11.5409,11.52,11.5409
4019,2020-12-03,11.52,11.5299,11.52,11.5299
4018,2020-12-02,11.52,11.52,11.52,11.52
4017,2020-12-01,11.52,11.52,11.52,11.52
4016,2020-11-30,11.525,11.525,11.525,11.525
4015,2020-11-27,11.525,11.525,11.525,11.525
4014,2020-11-25,11.5,11.525,11.5,11.525
4013,2020-11-24,11.52,11.5288,11.52,11.5288
4012,2020-11-23,11.5,11.515,11.5,11.5001
4011,2020-11-20,11.5,11.515,11.5,11.51
4010,2020-11-19,11.4998,11.4998,11.48,11.48
4009,2020-11-18,11.48,11.5,11.48,11.4801
4008,2020-11-17,11.545,11.545,11.5,11.5
4007,2020-11-16,11.6,11.6,11.46,11.46
4006,2020-11-13,11.45,11.45,11.4455,11.4455
4005,2020-11-12,11.479,11.479,11.43,11.45
4004,2020-11-11,11.41,11.46,11.41,11.46
4003,2020-11-10,11.5,11.5,11.41,11.41
4002,2020-11-09,11.5097,11.51,11.46,11.5
4001,2020-11-06,11.48,11.5,11.48,11.5
4000,2020-11-05,11.475,11.5,11.46,11.5
3999,2020-11-04,11.51,11.51,11.45,11.45
3998,2020-11-03,11.49,11.5,11.481,11.5
3997,2020-11-02,11.47,11.48,11.47,11.47
3996,2020-10-30,11.49,11.49,11.49,11.49
3995,2020-10-29,11.5,11.51,11.5,11.51
3994,2020-10-28,11.47,11.49,11.47,11.49
3993,2020-10-27,11.49,11.49,11.49,11.49
3992,2020-10-26,11.49,11.49,11.49,11.49
3991,2020-10-23,11.46,11.46,11.45,11.45
3990,2020-10-22,11.46,11.46,11.46,11.46
3989,2020-10-21,11.45,11.45,11.45,11.45
3988,2020-10-20,11.46,11.46,11.45,11.45
3987,2020-10-19,11.46,11.46,11.46,11.46
3986,2020-10-16,11.46,11.46,11.46,11.46
3985,2020-10-15,11.45,11.48,11.45,11.45
3984,2020-10-14,11.4999,11.5,11.49,11.5
3983,2020-10-13,11.44,11.5,11.44,11.5
