,Date,Open,High,Low,Close
5314,2020-12-14,29.86,30.27,28.82,28.86
5313,2020-12-11,30.18,30.35,29.62,29.66
5312,2020-12-10,30.25,30.81,29.82,30.12
5311,2020-12-09,30.91,31.04,29.68,30.015
5310,2020-12-08,32.14,32.2,31.045,31.33
5309,2020-12-07,30.41,32.3719,30.39,31.93
5308,2020-12-04,30.92,31.1377,30.41,30.58
5307,2020-12-03,31.18,31.32,30.23,30.69
5306,2020-12-02,31.08,31.17,30.525,30.97
5305,2020-12-01,30.81,31.2,30.06,30.91
5304,2020-11-30,29.01,29.68,28.4899,29.53
5303,2020-11-27,28.6565,29.27,28.33,29.12
5302,2020-11-25,29.2,29.4582,28.85,29.16
5301,2020-11-24,28.502,29.24,28.355,28.78
5300,2020-11-23,30.34,30.43,28.7,29.11
5299,2020-11-20,31.1553,31.6,30.71,30.8
5298,2020-11-19,30.1305,30.91,30.13,30.37
5297,2020-11-18,31.71,31.85,30.845,30.9
5296,2020-11-17,32.45,32.61,31.71,31.735
5295,2020-11-16,32.9,33.215,32.241,32.68
5294,2020-11-13,33.38,33.6,32.71,33.02
5293,2020-11-12,32.26,33.47,32.1,32.68
5292,2020-11-11,32.47,32.81,31.69,31.84
5291,2020-11-10,34.05,34.22,32.63,32.66
5290,2020-11-09,35.11,35.28,33.43,33.75
5289,2020-11-06,36.44,37.285,35.82,36.93
5288,2020-11-05,33.44,36.28,33.25,36.11
5287,2020-11-04,33.92,34.0,32.07,32.11
5286,2020-11-03,33.15,34.1,32.79,33.97
5285,2020-11-02,32.09,32.83,31.62,32.8
5284,2020-10-30,31.4,31.9189,30.55,31.8
5283,2020-10-29,29.84,31.08,29.81,30.76
5282,2020-10-28,32.18,32.27,30.12,30.33
5281,2020-10-27,32.91,33.46,32.63,33.38
5280,2020-10-26,32.94,33.94,32.63,32.73
5279,2020-10-23,33.43,33.57,32.81,33.25
5278,2020-10-22,33.61,33.89,33.01,33.5
5277,2020-10-21,33.48,34.3,33.19,34.16
5276,2020-10-20,32.4,33.24,32.14,33.0
5275,2020-10-19,33.24,33.53,31.95,32.02
5274,2020-10-16,33.84,33.84,32.86,32.88
5273,2020-10-15,33.45,33.89,33.22,33.52
5272,2020-10-14,33.92,34.62,33.619,34.38
5271,2020-10-13,33.83,33.96,32.75,33.75
5270,2020-10-12,34.14,34.6809,33.5,34.29
5269,2020-10-09,33.1,34.2,32.9,34.18
5268,2020-10-08,31.98,32.57,31.84,32.275
5267,2020-10-07,32.4,32.83,31.54,31.63
5266,2020-10-06,33.75,33.89,32.24,32.34
5265,2020-10-05,33.25,34.16,33.24,33.57
5264,2020-10-02,33.53,33.78,32.63,33.09
5263,2020-10-01,32.99,34.04,32.66,33.81
5262,2020-09-30,32.04,32.48,31.63,32.15
5261,2020-09-29,32.5,32.81,32.045,32.36
5260,2020-09-28,31.86,32.34,31.425,32.1
5259,2020-09-25,30.94,31.44,30.6,31.24
5258,2020-09-24,29.91,31.65,29.63,31.36
5257,2020-09-23,32.42,32.6,30.125,30.38
5256,2020-09-22,32.88,33.42,32.6,33.3
5255,2020-09-21,33.62,33.89,32.0536,32.75
5254,2020-09-18,35.43,35.71,34.6,34.63
5253,2020-09-17,34.77,35.33,33.97,35.19
5252,2020-09-16,36.34,36.51,35.64,35.965
5251,2020-09-15,36.95,37.11,35.6471,35.89
5250,2020-09-14,34.89,36.32,34.82,36.24
5249,2020-09-11,35.32,35.9,34.29,34.47
5248,2020-09-10,36.23,36.83,34.96,35.12
5247,2020-09-09,34.4229,35.88,34.36,35.77
5246,2020-09-08,33.37,34.89,32.521,33.88
5245,2020-09-04,34.67,35.0,32.79,34.47
5244,2020-09-03,35.0767,35.7397,33.86,35.12
5243,2020-09-02,35.15,35.58,33.98,35.55
5242,2020-09-01,36.99,37.0,35.03,35.57
5241,2020-08-31,36.15,36.73,35.65,36.16
5240,2020-08-28,34.9,36.025,34.52,35.72
5239,2020-08-27,35.07,35.23,33.12,34.05
5238,2020-08-26,32.83,34.8618,32.81,34.73
5237,2020-08-25,32.82,33.3,32.04,33.29
5236,2020-08-24,33.87,34.0,32.88,33.08
5235,2020-08-21,33.86,33.9,32.89,33.22
5234,2020-08-20,33.56,34.42,33.41,34.34
5233,2020-08-19,34.3877,34.9,33.51,33.82
5232,2020-08-18,36.19,36.25,34.49,34.91
5231,2020-08-17,35.1,35.21,34.2299,35.17
5230,2020-08-14,33.98,34.21,33.08,33.56
5229,2020-08-13,33.19,34.65,32.84,34.24
5228,2020-08-12,33.39,33.59,32.18,32.24
5227,2020-08-11,34.0,34.17,31.84,32.04
5226,2020-08-10,37.1,37.96,36.05,36.25
5225,2020-08-07,37.43,37.65,36.14,36.7
5224,2020-08-06,40.0,40.11,36.92,38.43
5223,2020-08-05,39.5,40.1,38.12,39.15
5222,2020-08-04,37.09,38.95,36.63,38.81
5221,2020-08-03,37.27,37.4161,35.67,36.94
5220,2020-07-31,36.53,37.71,36.0283,37.36
5219,2020-07-30,36.73,37.36,35.1,35.52
