,Date,Open,High,Low,Close
336,2020-12-14,2.51,2.51,2.4,2.4
335,2020-12-11,2.49,2.66,2.29,2.56
334,2020-12-10,2.5,2.65,2.5,2.65
333,2020-12-09,2.3,2.51,2.3,2.51
332,2020-12-08,2.5,2.61,2.34,2.42
331,2020-12-07,2.4,2.52,2.39,2.4
330,2020-12-04,2.48,2.6,2.41,2.43
329,2020-12-03,2.4,2.4,2.35,2.38
328,2020-12-02,2.6,2.79,2.26,2.48
327,2020-12-01,2.63,2.63,2.44,2.44
326,2020-11-30,2.51,2.51,2.51,2.51
325,2020-11-27,2.51,2.51,2.51,2.51
324,2020-11-25,2.47,2.58,2.43,2.51
323,2020-11-24,2.45,2.52,2.4,2.47
322,2020-11-23,2.44,2.52,2.34,2.35
321,2020-11-20,2.38,2.43,2.32,2.35
320,2020-11-19,2.38,2.42,2.3,2.3
319,2020-11-18,2.43,2.45,2.245,2.35
318,2020-11-17,2.38,2.65,2.28,2.28
317,2020-11-16,2.44,2.45,2.345,2.35
316,2020-11-13,2.39,2.55,2.325,2.45
315,2020-11-12,2.49,2.49,2.49,2.49
314,2020-11-11,2.49,2.55,2.39,2.49
313,2020-11-10,2.5,2.77,2.44,2.5
312,2020-11-09,2.55,2.6,2.26,2.48
311,2020-11-06,2.56,2.56,2.56,2.56
310,2020-11-05,2.56,2.56,2.56,2.56
309,2020-11-04,2.56,2.56,2.56,2.56
308,2020-11-03,2.58,2.58,2.35,2.56
307,2020-11-02,2.42,2.59,2.42,2.59
306,2020-10-30,2.57,2.57,2.57,2.57
305,2020-10-29,2.57,2.57,2.57,2.57
304,2020-10-28,2.55,2.57,2.55,2.57
303,2020-10-27,2.64,2.64,2.64,2.64
302,2020-10-26,2.4599,2.64,2.4599,2.64
301,2020-10-23,2.7,2.7,2.7,2.7
300,2020-10-22,2.7,2.7,2.7,2.7
299,2020-10-21,2.7,2.7,2.7,2.7
298,2020-10-20,2.72,2.72,2.69,2.7
297,2020-10-19,2.65,2.65,2.65,2.65
296,2020-10-16,2.43,2.8,2.4,2.65
295,2020-10-15,2.78,2.78,2.78,2.78
294,2020-10-14,2.79,2.79,2.4,2.78
293,2020-10-13,2.79,2.79,2.79,2.79
292,2020-10-12,2.79,2.79,2.78,2.79
291,2020-10-09,2.79,2.79,2.79,2.79
290,2020-10-08,2.79,2.79,2.79,2.79
289,2020-10-07,2.75,2.75,2.75,2.75
288,2020-10-06,2.575,2.75,2.575,2.75
287,2020-10-05,2.83,2.83,2.41,2.64
286,2020-10-02,2.2,2.55,2.2,2.25
285,2020-10-01,2.24,2.24,2.24,2.24
284,2020-09-30,2.25,2.35,2.2,2.2
283,2020-09-29,2.32,2.32,2.32,2.32
282,2020-09-28,2.25,2.32,2.25,2.32
281,2020-09-25,2.25,2.25,2.25,2.25
280,2020-09-24,2.22,2.25,2.22,2.25
279,2020-09-23,2.26,2.28,2.0,2.2
278,2020-09-22,2.13,2.39,2.1,2.2
277,2020-09-21,2.28,2.35,2.08,2.35
276,2020-09-18,2.49,2.53,2.475,2.475
275,2020-09-17,2.48,2.57,2.44,2.5
274,2020-09-16,2.5,2.5,2.45,2.45
273,2020-09-15,2.47,2.52,2.47,2.48
272,2020-09-14,2.04,2.5,2.04,2.3
271,2020-09-11,2.35,2.35,2.08,2.1
270,2020-09-10,2.39,2.39,2.39,2.39
269,2020-09-09,2.1,2.39,2.1,2.39
268,2020-09-08,2.35,2.35,2.35,2.35
267,2020-09-04,2.37,2.37,2.37,2.37
266,2020-09-03,2.15,2.37,2.15,2.37
265,2020-09-02,2.42,2.45,2.42,2.45
264,2020-09-01,2.45,2.45,2.37,2.38
263,2020-08-31,2.43,2.43,2.3,2.3001
262,2020-08-28,2.46,2.46,2.46,2.46
261,2020-08-27,2.45,2.46,2.45,2.46
260,2020-08-26,2.5,2.5,2.5,2.5
259,2020-08-25,2.5,2.5,2.5,2.5
258,2020-08-24,2.5,2.5,2.5,2.5
257,2020-08-21,2.5,2.5,2.5,2.5
256,2020-08-20,2.263,2.52,2.263,2.52
255,2020-08-19,2.59,2.59,2.59,2.59
254,2020-08-18,2.34,2.72,2.34,2.59
253,2020-08-17,2.49,2.51,2.49,2.5
