,Date,Open,High,Low,Close
728,2020-12-14,47.93,50.86,47.7,49.84
727,2020-12-11,46.26,48.03,46.26,47.42
726,2020-12-10,46.21,47.11,45.3006,46.59
725,2020-12-09,48.26,48.95,46.24,46.46
724,2020-12-08,47.38,48.665,46.52,48.29
723,2020-12-07,48.02,48.56,47.02,47.39
722,2020-12-04,48.22,48.74,48.0,48.17
721,2020-12-03,48.92,49.08,47.76,47.85
720,2020-12-02,47.83,48.945,47.785,47.97
719,2020-12-01,48.24,49.75,47.38,48.44
718,2020-11-30,47.99,48.14,46.14,47.36
717,2020-11-27,48.18,48.62,47.27,47.68
716,2020-11-25,47.16,48.92,46.94,48.14
715,2020-11-24,44.6,46.86,43.74,46.62
714,2020-11-23,42.99,44.22,42.39,44.0
713,2020-11-20,44.02,44.02,42.2,42.57
712,2020-11-19,43.99,45.09,42.22,43.94
711,2020-11-18,45.19,45.51,43.795,43.94
710,2020-11-17,43.785,45.49,43.785,45.24
709,2020-11-16,44.09,44.81,43.6,44.22
708,2020-11-13,43.69,44.09,42.97,43.64
707,2020-11-12,44.08,44.9,42.7,43.37
706,2020-11-11,44.29,45.31,43.9,44.28
705,2020-11-10,43.32,44.02,41.12,43.81
704,2020-11-09,45.16,45.51,43.16,43.6
703,2020-11-06,43.88,44.72,43.04,44.22
702,2020-11-05,42.13,43.73,41.72,43.63
701,2020-11-04,39.44,41.72,39.44,40.84
700,2020-11-03,37.95,39.47,37.5,38.6
699,2020-11-02,37.165,37.88,36.67,37.49
698,2020-10-30,36.86,38.25,35.575,36.61
697,2020-10-29,36.72,37.975,36.54,37.37
696,2020-10-28,37.89,38.015,36.415,36.52
695,2020-10-27,39.21,39.64,38.57,38.81
694,2020-10-26,39.81,40.1,37.63,38.84
693,2020-10-23,39.57,40.59,38.81,40.48
692,2020-10-22,40.63,41.66,39.33,39.35
691,2020-10-21,39.48,40.86,39.05,40.44
690,2020-10-20,38.87,39.77,38.44,39.23
689,2020-10-19,39.79,40.52,38.65,38.74
688,2020-10-16,39.57,40.23,39.33,39.46
687,2020-10-15,38.64,39.59,38.6,39.19
686,2020-10-14,40.67,41.105,39.1,39.54
685,2020-10-13,40.99,41.29,40.1,40.45
684,2020-10-12,42.59,42.59,40.87,40.89
683,2020-10-09,41.0,42.82,40.57,41.85
682,2020-10-08,40.46,41.0,40.0,40.88
681,2020-10-07,39.18,40.09,38.39,40.0
680,2020-10-06,38.99,39.79,38.22,38.53
679,2020-10-05,38.34,38.94,37.73,38.78
678,2020-10-02,38.03,39.0,37.8837,38.52
677,2020-10-01,38.4,39.3442,38.02,39.14
676,2020-09-30,37.81,38.88,37.085,37.71
675,2020-09-29,37.8,37.92,37.11,37.54
674,2020-09-28,38.28,38.74,37.49,37.73
673,2020-09-25,36.44,37.675,35.81,37.3
672,2020-09-24,35.79,36.85,35.52,36.37
671,2020-09-23,38.5,38.89,36.32,36.33
670,2020-09-22,37.97,39.03,37.44,38.84
669,2020-09-21,36.28,37.725,35.5,37.52
668,2020-09-18,37.45,37.75,36.72,37.5
667,2020-09-17,36.28,37.72,36.26,37.49
666,2020-09-16,37.59,38.01,37.12,37.25
665,2020-09-15,37.03,37.55,36.62,37.26
664,2020-09-14,35.85,36.47,35.67,36.29
663,2020-09-11,36.76,36.76,34.9247,35.16
662,2020-09-10,37.68,38.55,36.48,36.65
661,2020-09-09,38.05,38.17,36.39,37.26
660,2020-09-08,36.23,38.34,35.47,37.34
659,2020-09-04,40.01,40.91,37.3,39.12
658,2020-09-03,41.8,42.0,39.13,39.82
657,2020-09-02,44.25,44.36,41.59,42.47
656,2020-09-01,42.63,44.38,42.32,43.8
655,2020-08-31,44.27,44.36,41.85,42.14
654,2020-08-28,45.51,45.76,43.08,44.21
653,2020-08-27,44.84,45.037,43.505,44.19
652,2020-08-26,45.34,45.46,43.98,44.19
