,Date,Open,High,Low,Close
2565,2020-12-14,27.31,27.34,26.195,26.3
2564,2020-12-11,27.08,27.21,26.73,27.1
2563,2020-12-10,26.68,27.39,26.6,27.17
2562,2020-12-09,26.89,27.2,26.33,26.72
2561,2020-12-08,26.19,26.8501,26.15,26.71
2560,2020-12-07,26.46,26.67,25.8,26.42
2559,2020-12-04,26.19,26.7394,26.12,26.6
2558,2020-12-03,25.66,26.07,25.56,25.8
2557,2020-12-02,25.25,25.71,25.17,25.64
2556,2020-12-01,25.92,26.115,25.17,25.31
2555,2020-11-30,25.9,26.13,25.335,25.49
2554,2020-11-27,26.13,26.38,26.04,26.12
2553,2020-11-25,26.3,26.51,25.99,26.25
2552,2020-11-24,25.78,26.6,25.66,26.5
2551,2020-11-23,24.59,25.5,24.59,25.45
2550,2020-11-20,24.03,24.44,23.9,24.27
2549,2020-11-19,23.45,24.12,23.28,24.1
2548,2020-11-18,23.95,24.22,23.58,23.58
2547,2020-11-17,23.29,23.85,23.01,23.84
2546,2020-11-16,23.43,23.56,22.81,23.52
2545,2020-11-13,23.0,23.1,22.52,22.57
2544,2020-11-12,24.1,24.1,22.73,22.83
2543,2020-11-11,23.84,24.31,23.55,23.97
2542,2020-11-10,21.9,23.64,21.88,23.58
2541,2020-11-09,21.97,22.72,21.2,21.8
2540,2020-11-06,21.85,21.85,20.53,20.53
2539,2020-11-05,21.53,22.2,21.53,21.88
2538,2020-11-04,21.42,22.24,20.98,21.55
2537,2020-11-03,21.36,21.55,21.18,21.34
2536,2020-11-02,21.19,21.2,20.69,20.96
2535,2020-10-30,20.68,20.94,20.45,20.93
2534,2020-10-29,20.28,20.9,20.095,20.79
2533,2020-10-28,20.68,20.74,20.21,20.45
2532,2020-10-27,21.34,21.52,21.08,21.08
2531,2020-10-26,21.44,21.59,21.075,21.41
2530,2020-10-23,22.2,22.29,21.56,21.72
2529,2020-10-22,21.55,22.06,21.43,21.99
2528,2020-10-21,22.0,22.22,21.4,21.71
2527,2020-10-20,21.66,22.21,21.66,22.1
2526,2020-10-19,21.87,22.0901,21.54,21.57
2525,2020-10-16,22.08,22.08,21.65,21.7
2524,2020-10-15,21.4,22.045,21.25,22.01
2523,2020-10-14,22.1,22.54,21.77,21.78
2522,2020-10-13,22.13,22.51,22.055,22.07
2521,2020-10-12,22.12,22.3,22.0,22.06
2520,2020-10-09,22.76,22.89,21.96,22.25
2519,2020-10-08,21.6,22.6,21.51,22.6
2518,2020-10-07,21.37,21.53,21.08,21.36
2517,2020-10-06,22.23,22.34,21.08,21.28
2516,2020-10-05,21.79,22.06,21.48,21.85
2515,2020-10-02,20.91,21.63,20.77,21.44
2514,2020-10-01,21.36,21.67,21.12,21.4
2513,2020-09-30,21.59,21.88,21.17,21.23
2512,2020-09-29,21.75,21.94,21.37,21.56
2511,2020-09-28,22.16,22.23,21.65,21.78
2510,2020-09-25,20.88,21.66,20.77,21.6
2509,2020-09-24,20.94,21.36,20.55,21.09
2508,2020-09-23,22.5,22.62,21.27,21.3
2507,2020-09-22,22.43,22.85,22.24,22.55
2506,2020-09-21,22.83,22.83,21.86,22.25
2505,2020-09-18,23.84,23.9,23.0,23.05
2504,2020-09-17,24.0,24.0308,23.59,23.96
2503,2020-09-16,24.11,24.49,23.98,24.13
2502,2020-09-15,23.95,24.82,23.8501,23.9
2501,2020-09-14,23.93,24.02,23.68,23.77
2500,2020-09-11,23.85,23.96,23.41,23.75
2499,2020-09-10,24.39,24.615,23.68,23.72
2498,2020-09-09,24.32,24.75,24.3,24.57
2497,2020-09-08,24.16,24.39,23.77,24.03
2496,2020-09-04,24.84,24.93,24.051,24.52
2495,2020-09-03,25.12,25.3773,24.52,24.72
2494,2020-09-02,24.92,25.345,24.65,25.12
2493,2020-09-01,24.75,25.16,24.48,24.9
2492,2020-08-31,25.2,25.3,24.635,24.74
2491,2020-08-28,25.28,25.58,24.94,25.28
2490,2020-08-27,25.06,25.4305,24.86,25.11
2489,2020-08-26,25.8,25.83,24.94,24.99
2488,2020-08-25,26.25,26.48,25.62,25.88
2487,2020-08-24,26.4,26.51,25.96,26.11
2486,2020-08-21,26.48,26.54,26.2,26.26
2485,2020-08-20,26.65,26.88,26.36,26.53
2484,2020-08-19,26.93,27.08,26.75,26.78
2483,2020-08-18,26.76,27.02,26.66,26.81
2482,2020-08-17,26.69,26.95,26.585,26.87
2481,2020-08-14,26.47,26.795,26.31,26.6
2480,2020-08-13,26.88,27.02,26.53,26.64
2479,2020-08-12,27.06,27.14,26.72,26.97
2478,2020-08-11,26.27,26.77,26.22,26.5
2477,2020-08-10,25.3,25.87,25.15,25.83
2476,2020-08-07,25.95,26.02,24.95,25.07
2475,2020-08-06,25.51,26.1,25.3,25.94
2474,2020-08-05,25.82,26.24,25.27,25.5
2473,2020-08-04,24.38,25.59,24.38,25.45
2472,2020-08-03,24.41,24.675,24.03,24.53
2471,2020-07-31,24.43,24.52,23.98,24.34
2470,2020-07-30,24.58,24.88,24.09,24.56
2469,2020-07-29,24.85,25.26,24.45,25.26
2468,2020-07-28,24.61,24.91,24.6,24.66
2467,2020-07-27,24.87,24.87,24.55,24.8
2466,2020-07-24,25.12,25.29,24.815,24.88
2465,2020-07-23,25.19,25.42,24.84,25.09
2464,2020-07-22,25.08,25.55,24.8,25.49
2463,2020-07-21,24.91,25.66,24.91,25.2
2462,2020-07-20,24.79,25.11,24.57,24.72
2461,2020-07-17,24.85,25.04,24.41,24.79
2460,2020-07-16,24.94,25.01,24.54,24.67
2459,2020-07-15,25.25,25.57,25.01,25.1
2458,2020-07-14,23.69,24.91,23.56,24.88
2457,2020-07-13,23.72,24.29,23.57,23.82
2456,2020-07-10,23.4,23.95,23.35,23.52
2455,2020-07-09,23.8,24.16,23.03,23.46
2454,2020-07-08,23.97,24.9,23.51,23.88
2453,2020-07-07,24.0,24.42,23.73,23.86
2452,2020-07-06,25.14,25.14,24.07,24.3
2451,2020-07-02,24.66,25.43,24.47,24.59
2450,2020-07-01,25.08,25.42,24.36,24.48
2449,2020-06-30,24.18,25.13,23.75,25.0
2448,2020-06-29,23.9,24.59,23.77,24.43
2447,2020-06-26,24.39,24.39,23.54,23.68
2446,2020-06-25,23.86,24.58,23.73,24.57
2445,2020-06-24,25.39,25.39,23.76,23.99
2444,2020-06-23,26.1,26.26,25.53,25.58
2443,2020-06-22,25.75,25.97,25.5,25.83
2442,2020-06-19,26.41,26.9,25.72,25.73
2441,2020-06-18,25.22,26.06,25.14,25.89
2440,2020-06-17,26.03,26.12,25.32,25.35
2439,2020-06-16,26.68,26.85,25.4,26.02
2438,2020-06-15,23.52,25.64,23.36,25.4
2437,2020-06-12,25.17,25.34,23.86,24.61
2436,2020-06-11,25.16,25.43,23.94,24.26
2435,2020-06-10,27.61,27.72,26.61,26.62
2434,2020-06-09,27.9,27.94,27.47,27.67
2433,2020-06-08,28.6,28.71,28.14,28.5
2432,2020-06-05,26.87,27.69,26.77,27.69
2431,2020-06-04,26.2,26.31,25.76,26.01
2430,2020-06-03,26.69,27.04,26.17,26.35
2429,2020-06-02,25.93,26.61,25.79,26.4
2428,2020-06-01,24.81,25.66,24.65,25.53
2427,2020-05-29,24.9,25.24,24.26,25.03
2426,2020-05-28,25.92,25.95,24.92,25.07
2425,2020-05-27,25.65,25.93,24.55,25.89
2424,2020-05-26,25.9,25.99,25.27,25.3
2423,2020-05-22,25.0,25.22,24.61,25.11
2422,2020-05-21,25.84,25.84,24.94,25.28
2421,2020-05-20,25.76,26.16,25.32,25.87
2420,2020-05-19,24.63,25.34,24.27,25.07
2419,2020-05-18,24.78,25.29,24.17,24.2
2418,2020-05-15,22.37,23.51,22.08,23.35
2417,2020-05-14,22.0,22.83,21.29,22.41
2416,2020-05-13,23.48,23.65,22.2,22.48
2415,2020-05-12,23.98,24.28,23.48,23.48
2414,2020-05-11,22.81,23.92,22.55,23.76
2413,2020-05-08,23.2,23.2,22.4,22.85
2412,2020-05-07,22.48,22.99,22.17,22.25
2411,2020-05-06,22.33,22.65,21.79,22.01
2410,2020-05-05,23.03,23.46,22.24,22.36
2409,2020-05-04,21.47,22.5,21.27,22.06
2408,2020-05-01,22.51,22.52,21.54,21.98
2407,2020-04-30,23.97,24.12,22.9,22.94
2406,2020-04-29,22.46,24.18,22.46,24.04
2405,2020-04-28,21.02,21.83,20.94,21.62
2404,2020-04-27,19.93,20.54,19.68,20.46
2403,2020-04-24,20.3,20.37,19.56,20.21
2402,2020-04-23,19.75,20.35,19.54,19.92
2401,2020-04-22,19.47,19.57,18.93,19.44
2400,2020-04-21,18.91,19.0,18.14,18.76
2399,2020-04-20,19.14,20.51,18.8,19.48
2398,2020-04-17,19.57,20.45,19.41,20.38
2397,2020-04-16,19.09,19.72,18.75,18.97
2396,2020-04-15,19.5,19.5,18.43,19.2
2395,2020-04-14,19.95,20.65,19.94,20.15
2394,2020-04-13,21.05,21.17,19.8,19.94
2393,2020-04-09,20.59,21.49,19.6,20.46
2392,2020-04-08,19.84,20.28,19.19,19.42
2391,2020-04-07,21.11,21.82,19.24,19.69
2390,2020-04-06,18.21,19.62,17.81,19.45
2389,2020-04-03,18.57,19.11,16.8,17.41
2388,2020-04-02,17.44,19.82,17.32,17.97
2387,2020-04-01,18.0,18.0,16.47,16.63
2386,2020-03-31,17.4,19.74,17.23,18.81
2385,2020-03-30,16.77,17.06,14.87,16.79
2384,2020-03-27,19.87,20.02,17.16,17.22
2383,2020-03-26,22.19,23.01,20.54,20.88
2382,2020-03-25,20.01,23.64,19.35,22.0
2381,2020-03-24,15.81,19.77,15.78,19.57
2380,2020-03-23,15.68,16.38,14.39,14.56
2379,2020-03-20,15.29,17.52,14.46,16.09
2378,2020-03-19,11.89,14.41,10.58,14.0
2377,2020-03-18,15.0,16.36,11.1,11.66
2376,2020-03-17,16.49,18.05,15.68,15.91
2375,2020-03-16,16.6,18.45,15.51,16.21
2374,2020-03-13,19.84,20.85,17.7,20.75
2373,2020-03-12,20.96,21.58,18.77,18.78
2372,2020-03-11,24.23,24.29,22.35,23.63
2371,2020-03-10,27.2,27.71,18.81,24.97
2370,2020-03-09,31.56,31.69,23.09,25.73
2369,2020-03-06,34.79,34.98,33.87,34.35
2368,2020-03-05,35.77,36.22,35.35,35.64
2367,2020-03-04,36.43,36.73,36.14,36.28
2366,2020-03-03,36.76,37.02,35.89,35.95
2365,2020-03-02,36.18,36.76,35.4,36.46
2364,2020-02-28,35.15,36.12,34.14,36.12
2363,2020-02-27,37.29,37.36,36.32,36.56
2362,2020-02-26,38.5,38.95,37.91,37.92
2361,2020-02-25,39.52,39.65,38.37,38.52
2360,2020-02-24,39.09,39.68,38.78,39.42
2359,2020-02-21,40.01,40.42,39.79,40.16
2358,2020-02-20,40.2,40.65,40.08,40.16
2357,2020-02-19,39.87,40.32,39.82,40.19
2356,2020-02-18,39.54,39.9,39.5,39.77
2355,2020-02-14,39.73,39.81,39.5,39.81
2354,2020-02-13,39.66,39.78,39.44,39.68
2353,2020-02-12,39.99,39.99,39.6,39.7
2352,2020-02-11,39.74,39.92,39.58,39.65
2351,2020-02-10,39.25,39.55,39.19,39.55
2350,2020-02-07,39.08,39.43,38.98,39.31
2349,2020-02-06,38.96,39.27,38.74,39.17
2348,2020-02-05,38.77,39.11,38.73,38.99
2347,2020-02-04,38.6,38.91,38.44,38.44
2346,2020-02-03,38.23,38.65,38.23,38.28
2345,2020-01-31,38.33,38.49,38.1,38.31
2344,2020-01-30,38.17,38.59,38.11,38.56
2343,2020-01-29,38.4,38.55,38.34,38.38
2342,2020-01-28,38.36,38.62,38.28,38.39
2341,2020-01-27,38.12,38.44,38.04,38.33
2340,2020-01-24,38.67,38.86,38.51,38.68
2339,2020-01-23,38.22,38.75,38.19,38.69
2338,2020-01-22,38.63,38.65,38.44,38.57
2337,2020-01-21,38.64,38.87,38.48,38.6
2336,2020-01-17,38.5,38.72,38.38,38.59
2335,2020-01-16,38.47,38.59,38.3,38.45
2334,2020-01-15,38.43,38.52,38.23,38.41
2333,2020-01-14,38.41,38.52,38.22,38.47
2332,2020-01-13,38.34,38.54,37.98,38.45
2331,2020-01-10,38.16,38.41,37.87,38.36
2330,2020-01-09,38.3,39.32,38.1,38.3
2329,2020-01-08,36.86,37.11,36.71,36.83
2328,2020-01-07,36.75,36.95,36.63,36.87
2327,2020-01-06,36.52,36.92,36.49,36.86
2326,2020-01-03,36.72,36.83,36.5,36.56
2325,2020-01-02,37.14,37.33,36.58,36.75
2324,2019-12-31,36.74,37.13,36.71,37.06
2323,2019-12-30,36.98,37.05,36.69,36.8
2322,2019-12-27,37.39,37.41,37.04,37.09
2321,2019-12-26,37.02,37.4,37.01,37.37
2320,2019-12-24,37.05,37.1,36.84,36.98
2319,2019-12-23,37.1,37.36,36.84,37.03
2318,2019-12-20,36.83,37.2,36.83,37.07
2317,2019-12-19,37.29,37.31,36.79,36.87
2316,2019-12-18,36.74,37.17,36.68,37.08
2315,2019-12-17,36.24,36.97,36.24,36.64
2314,2019-12-16,35.99,36.49,35.88,36.17
