,Date,Open,High,Low,Close
5314,2020-12-14,67.01,67.01,65.41,65.82
5313,2020-12-11,65.51,66.97,65.51,66.28
5312,2020-12-10,66.01,66.655,65.68,66.5
5311,2020-12-09,66.75,67.08,65.96,66.51
5310,2020-12-08,65.71,66.94,65.71,66.29
5309,2020-12-07,65.49,66.75,65.25,66.56
5308,2020-12-04,65.64,66.26,64.79,66.22
5307,2020-12-03,65.1,65.53,64.63,64.93
5306,2020-12-02,63.72,64.79,63.46,64.77
5305,2020-12-01,64.21,64.86,63.69,64.12
5304,2020-11-30,63.86,64.24,62.715,62.83
5303,2020-11-27,64.46,65.25,63.48,64.57
5302,2020-11-25,64.55,64.77,63.48,64.57
5301,2020-11-24,63.26,65.32,63.25,65.21
5300,2020-11-23,61.63,62.26,60.9,61.94
5299,2020-11-20,60.69,61.05,60.16,60.67
5298,2020-11-19,60.87,61.3,60.381,61.25
5297,2020-11-18,63.86,64.13,61.35,61.47
5296,2020-11-17,62.6,63.87,62.0,63.58
5295,2020-11-16,62.89,63.97,62.37,63.82
5294,2020-11-13,60.4,61.56,60.255,61.27
5293,2020-11-12,59.99,60.8,59.06,59.66
5292,2020-11-11,63.25,63.25,60.72,60.98
5291,2020-11-10,61.66,63.35,61.32,63.02
5290,2020-11-09,60.68,63.33,60.38,62.12
5289,2020-11-06,57.77,57.95,55.59,55.68
5288,2020-11-05,55.16,57.545,55.16,57.05
5287,2020-11-04,56.82,56.95,54.95,55.0
5286,2020-11-03,58.03,59.48,57.7,59.12
5285,2020-11-02,55.73,57.27,55.2,56.98
5284,2020-10-30,54.26,55.38,54.11,55.11
5283,2020-10-29,53.48,55.0,52.61,54.59
5282,2020-10-28,54.15,55.84,52.56,53.4
5281,2020-10-27,57.12,57.45,55.19,55.26
5280,2020-10-26,58.42,58.59,57.21,57.49
5279,2020-10-23,58.99,59.84,58.49,59.21
5278,2020-10-22,56.46,58.64,56.445,58.53
5277,2020-10-21,56.0,57.02,56.0,56.27
5276,2020-10-20,56.15,57.19,56.035,56.15
5275,2020-10-19,56.12,56.78,55.32,55.48
5274,2020-10-16,55.8,56.43,54.99,55.96
5273,2020-10-15,53.83,55.84,53.67,55.71
5272,2020-10-14,55.22,55.9,54.3,54.35
5271,2020-10-13,56.05,56.26,54.89,55.3
5270,2020-10-12,55.88,56.71,55.88,56.48
5269,2020-10-09,57.15,57.3,55.8,55.94
5268,2020-10-08,56.72,57.22,56.27,56.59
5267,2020-10-07,55.64,56.96,55.62,56.14
5266,2020-10-06,55.19,57.36,54.95,55.13
5265,2020-10-05,53.5,55.28,53.37,54.79
5264,2020-10-02,50.82,53.36,50.43,52.98
5263,2020-10-01,51.79,52.42,50.94,51.56
5262,2020-09-30,52.11,52.6674,51.32,51.83
5261,2020-09-29,51.31,51.67,50.9,51.34
5260,2020-09-28,50.26,51.53,50.26,51.17
