,Date,Open,High,Low,Close
4650,2020-12-14,9.14,9.1511,9.03,9.06
4649,2020-12-11,9.14,9.18,9.07,9.11
4648,2020-12-10,9.18,9.19,9.13,9.16
4647,2020-12-09,9.23,9.24,9.18,9.22
4646,2020-12-08,9.18,9.25,9.18,9.25
4645,2020-12-07,9.15,9.2,9.12,9.18
4644,2020-12-04,9.22,9.22,9.12,9.13
4643,2020-12-03,9.11,9.19,9.1,9.19
4642,2020-12-02,9.09,9.14,9.07,9.14
4641,2020-12-01,9.15,9.17,9.05,9.09
4640,2020-11-30,9.1,9.14,9.08,9.14
4639,2020-11-27,9.13,9.13,9.08,9.1
4638,2020-11-25,9.07,9.12,9.07,9.1
4637,2020-11-24,9.09,9.095,9.05,9.07
4636,2020-11-23,9.12,9.12,9.03,9.07
4635,2020-11-20,9.11,9.17,9.08,9.08
4634,2020-11-19,9.22,9.23,9.11,9.11
4633,2020-11-18,9.15,9.28,9.08,9.2
4632,2020-11-17,9.07,9.1252,9.07,9.1
4631,2020-11-16,9.02,9.08,9.02,9.05
4630,2020-11-13,9.2,9.2,8.92,9.02
4629,2020-11-12,9.25,9.25,9.11,9.14
4628,2020-11-11,9.23,9.25,9.16,9.21
4627,2020-11-10,9.21,9.25,9.19,9.19
4626,2020-11-09,9.25,9.31,9.2363,9.25
4625,2020-11-06,9.25,9.27,9.12,9.24
4624,2020-11-05,9.17,9.2,9.14,9.2
4623,2020-11-04,9.08,9.14,9.03,9.09
4622,2020-11-03,8.95,9.1,8.95,9.01
4621,2020-11-02,8.95,8.95,8.89,8.95
4620,2020-10-30,8.88,8.98,8.87,8.91
4619,2020-10-29,8.88,8.94,8.86,8.88
4618,2020-10-28,9.01,9.01,8.87,9.0
4617,2020-10-27,9.05,9.05,8.95,8.98
4616,2020-10-26,8.94,9.03,8.94,9.0
4615,2020-10-23,8.98,9.01,8.96,8.96
4614,2020-10-22,9.0,9.0,8.96,8.96
4613,2020-10-21,9.07,9.07,8.96,8.98
4612,2020-10-20,9.08,9.29,9.0,9.02
4611,2020-10-19,9.15,9.17,9.05,9.05
4610,2020-10-16,9.14,9.21,9.06,9.11
4609,2020-10-15,9.2469,9.2469,9.11,9.13
4608,2020-10-14,9.16,9.19,9.09,9.14
4607,2020-10-13,9.21,9.25,9.05,9.08
4606,2020-10-12,9.25,9.33,9.05,9.1
4605,2020-10-09,9.37,9.39,9.22,9.2588
4604,2020-10-08,9.37,9.37,9.29,9.295
4603,2020-10-07,9.22,9.302,9.22,9.3
4602,2020-10-06,9.25,9.3248,9.16,9.19
4601,2020-10-05,9.31,9.35,9.25,9.27
4600,2020-10-02,9.3,9.35,9.26,9.33
4599,2020-10-01,9.34,9.34,9.3,9.32
4598,2020-09-30,9.3,9.32,9.265,9.32
4597,2020-09-29,9.33,9.33,9.2384,9.2595
4596,2020-09-28,9.33,9.33,9.18,9.21
4595,2020-09-25,9.3,9.3,9.17,9.24
4594,2020-09-24,9.16,9.22,9.16,9.22
4593,2020-09-23,9.25,9.3005,9.19,9.21
4592,2020-09-22,9.15,9.37,9.13,9.25
4591,2020-09-21,9.34,9.37,8.95,9.07
4590,2020-09-18,9.36,9.37,9.2,9.32
4589,2020-09-17,9.24,9.3,9.22,9.3
4588,2020-09-16,9.23,9.26,9.1601,9.2142
4587,2020-09-15,9.29,9.34,9.19,9.2
4586,2020-09-14,9.28,9.36,9.27,9.27
4585,2020-09-11,9.26,9.39,9.24,9.27
4584,2020-09-10,9.28,9.315,9.2,9.2
4583,2020-09-09,9.17,9.28,9.15,9.26
4582,2020-09-08,9.12,9.16,9.1,9.12
