,Date,Open,High,Low,Close
1319,2020-12-14,190.88,195.87,188.03,189.64
1318,2020-12-11,197.24,197.57,186.215,190.83
1317,2020-12-10,208.0,212.6,194.18,196.13
1316,2020-12-09,206.71,214.34,202.13,209.18
1315,2020-12-08,199.16,206.98,182.6152,204.07
1314,2020-12-07,216.0,230.99,213.93,224.02
1313,2020-12-04,205.04,210.11,200.99,209.89
1312,2020-12-03,202.51,208.86,190.16,206.25
1311,2020-12-02,215.97,215.97,202.0927,205.24
1310,2020-12-01,223.06,223.06,211.17,216.38
1309,2020-11-30,227.47,230.13,218.96,221.9
1308,2020-11-27,222.83,228.395,219.3,226.59
1307,2020-11-25,234.36,234.36,222.85,224.12
1306,2020-11-24,255.68,257.075,233.22,234.18
1305,2020-11-23,261.57,263.53,253.75,254.71
1304,2020-11-20,255.97,264.0,255.53,259.15
1303,2020-11-19,259.65,261.07,252.08,255.57
1302,2020-11-18,261.33,262.645,254.63,258.3
1301,2020-11-17,263.19,263.19,253.695,260.0
1300,2020-11-16,262.77,270.66,259.0,262.38
1299,2020-11-13,271.46,271.46,256.665,262.81
1298,2020-11-12,262.89,273.94,260.5801,272.83
1297,2020-11-11,256.03,270.46,254.19,263.99
1296,2020-11-10,233.9,264.885,223.3921,261.15
1295,2020-11-09,255.99,255.99,241.87,242.46
1294,2020-11-06,248.48,252.77,240.36,251.22
1293,2020-11-05,253.8,256.0,247.99,248.59
1292,2020-11-04,253.6,256.9,244.08,249.0
1291,2020-11-03,249.95,253.36,246.05,249.69
1290,2020-11-02,263.07,263.07,241.66,248.17
1289,2020-10-30,260.53,265.04,249.7501,261.03
1288,2020-10-29,252.0,277.0,248.514,264.18
1287,2020-10-28,237.81,237.81,227.07,232.72
1286,2020-10-27,237.0,241.8,235.0303,238.83
1285,2020-10-26,234.43,237.295,232.15,236.71
1284,2020-10-23,230.87,236.09,228.47,236.0
1283,2020-10-22,220.19,230.395,220.19,230.32
1282,2020-10-21,212.07,220.23,211.83,219.41
1281,2020-10-20,214.36,218.8,212.17,212.58
1280,2020-10-19,214.11,220.03,212.1,213.51
1279,2020-10-16,215.26,220.12,213.88,214.0
1278,2020-10-15,203.04,217.365,202.285,215.4
1277,2020-10-14,207.9,209.87,204.28,205.8
1276,2020-10-13,207.58,210.88,206.36,207.75
1275,2020-10-12,216.8,217.49,208.695,209.94
1274,2020-10-09,210.41,216.38,206.03,216.06
1273,2020-10-08,199.9,208.22,197.65,207.98
1272,2020-10-07,191.98,199.75,191.95,197.9
1271,2020-10-06,191.24,192.985,187.85,188.98
1270,2020-10-05,188.26,191.25,186.92,190.0
1269,2020-10-02,188.01,189.73,183.55,186.92
1268,2020-10-01,196.06,198.18,190.37,190.4
1267,2020-09-30,193.81,198.16,192.86,194.38
1266,2020-09-29,198.18,199.51,193.11,193.45
1265,2020-09-28,197.16,197.31,191.7729,194.46
1264,2020-09-25,192.68,195.25,187.425,194.18
1263,2020-09-24,203.28,204.9,193.38,193.39
1262,2020-09-23,205.48,209.09,202.82,204.47
1261,2020-09-22,203.19,204.7,198.64,204.3
1260,2020-09-21,200.75,202.68,193.11,202.45
1259,2020-09-18,201.6,207.325,200.19,205.98
1258,2020-09-17,194.35,199.625,192.83,199.28
1257,2020-09-16,198.32,199.1,193.74,196.0
1256,2020-09-15,195.76,201.585,194.44,197.88
1255,2020-09-14,200.97,202.67,186.08,193.66
1254,2020-09-11,202.19,203.22,198.8,199.43
1253,2020-09-10,203.53,207.19,200.61,200.83
1252,2020-09-09,199.85,204.705,199.85,203.52
1251,2020-09-08,200.92,203.86,197.61,198.15
1250,2020-09-04,206.72,208.74,200.49,206.4
1249,2020-09-03,212.32,212.32,201.4,206.1
1248,2020-09-02,214.22,215.44,208.45,214.22
1247,2020-09-01,209.2,213.73,209.2,212.99
1246,2020-08-31,220.21,221.03,208.47,209.15
1245,2020-08-28,224.64,224.64,216.65,220.95
1244,2020-08-27,230.0,232.63,223.675,224.65
1243,2020-08-26,231.0,231.49,229.3,230.0
1242,2020-08-25,230.67,233.37,230.425,231.56
1241,2020-08-24,235.28,235.53,228.89,230.65
1240,2020-08-21,229.83,233.1675,228.72,232.67
1239,2020-08-20,232.1,235.09,230.8,230.81
1238,2020-08-19,235.14,236.43,232.47,232.97
1237,2020-08-18,234.23,237.055,233.47,233.62
1236,2020-08-17,235.09,238.17,234.25,234.31
1235,2020-08-14,238.2,238.2,233.06,233.61
1234,2020-08-13,237.16,241.81,236.96,238.73
1233,2020-08-12,234.0,239.14,232.44,237.0
1232,2020-08-11,233.81,234.6192,228.63,232.9
1231,2020-08-10,234.0,234.0,231.04,232.49
1230,2020-08-07,232.86,237.96,232.03,234.2
1229,2020-08-06,224.22,233.12,224.22,232.75
1228,2020-08-05,228.99,237.23,228.99,236.07
1227,2020-08-04,225.0,228.02,213.28,227.47
1226,2020-08-03,223.29,230.86,221.925,229.48
1225,2020-07-31,223.31,224.42,216.19,221.91
1224,2020-07-30,217.84,225.64,215.66,224.53
1223,2020-07-29,214.22,222.36,213.6,221.0
1222,2020-07-28,211.87,213.99,207.22,213.0
1221,2020-07-27,209.64,213.11,208.21,212.94
1220,2020-07-24,207.47,209.88,202.26,209.54
1219,2020-07-23,204.3,212.57,203.16,207.19
1218,2020-07-22,200.65,203.65,200.1922,203.34
1217,2020-07-21,202.0,202.24,198.53,200.79
1216,2020-07-20,197.69,200.93,195.25,200.53
1215,2020-07-17,189.23,196.93,189.12,196.5
1214,2020-07-16,192.41,192.97,186.81,188.37
1213,2020-07-15,189.94,193.91,189.91,192.86
1212,2020-07-14,185.47,187.12,182.3,186.92
1211,2020-07-13,192.47,195.0,185.59,185.9
1210,2020-07-10,193.0,193.0,189.8,191.87
1209,2020-07-09,195.0,195.0,189.95,193.56
1208,2020-07-08,191.8,194.18,191.31,193.98
1207,2020-07-07,190.94,193.52,189.52,191.17
1206,2020-07-06,190.0,192.87,188.49,191.26
1205,2020-07-02,186.48,189.23,185.39,187.95
1204,2020-07-01,179.07,186.78,178.64,185.27
1203,2020-06-30,173.23,179.82,173.23,178.82
1202,2020-06-29,172.36,173.89,169.19,172.38
1201,2020-06-26,173.52,175.69,169.5,170.67
1200,2020-06-25,173.17,174.36,168.535,173.31
1199,2020-06-24,182.57,182.57,172.41,173.0
1198,2020-06-23,179.79,185.04,179.29,182.91
1197,2020-06-22,177.81,180.57,175.49,178.29
1196,2020-06-19,174.63,181.78,173.73,177.92
1195,2020-06-18,171.05,175.58,170.8,173.09
1194,2020-06-17,171.74,173.52,169.575,171.4
1193,2020-06-16,177.0,177.78,169.41,170.11
1192,2020-06-15,165.97,173.88,163.48,172.5
1191,2020-06-12,170.41,171.9,164.5,167.7
1190,2020-06-11,168.0,168.58,165.42,166.88
1189,2020-06-10,170.97,173.04,169.73,170.81
1188,2020-06-09,177.86,177.86,170.48,171.12
1187,2020-06-08,179.45,182.13,176.79,178.17
1186,2020-06-05,175.89,179.57,173.5,179.04
1185,2020-06-04,175.13,179.27,173.08,174.73
1184,2020-06-03,177.39,178.3,173.69,176.65
1183,2020-06-02,175.83,177.74,173.09,176.29
1182,2020-06-01,172.83,177.18,169.12,176.03
1181,2020-05-29,173.41,174.44,167.07,172.42
1180,2020-05-28,169.35,181.55,169.34,172.72
1179,2020-05-27,169.49,171.76,161.11,171.15
1178,2020-05-26,180.29,180.29,169.22,169.62
1177,2020-05-22,177.53,177.53,174.93,176.99
1176,2020-05-21,175.07,176.96,171.145,176.11
1175,2020-05-20,170.63,176.594,169.09,175.31
1174,2020-05-19,172.95,174.83,168.67,168.86
1173,2020-05-18,174.49,178.49,171.415,173.32
1172,2020-05-15,168.15,172.37,167.94,171.14
1171,2020-05-14,162.26,170.22,161.88,169.05
1170,2020-05-13,180.0,180.05,162.0,165.17
1169,2020-05-12,190.0,190.3182,179.685,180.84
1168,2020-05-11,176.87,192.92,176.325,191.72
1167,2020-05-08,185.0,185.0,177.0,179.07
1166,2020-05-07,179.63,187.99,177.96,184.38
1165,2020-05-06,178.55,181.99,173.85,176.6
1164,2020-05-05,173.1,178.57,171.825,176.43
1163,2020-05-04,169.67,172.36,168.75,171.25
1162,2020-05-01,174.53,175.35,169.0,170.62
1161,2020-04-30,178.44,181.36,174.4764,177.32
1160,2020-04-29,182.26,184.12,178.66,179.34
1159,2020-04-28,191.3,191.875,178.68,179.4
1158,2020-04-27,191.0,193.21,188.54,189.29
1157,2020-04-24,189.81,191.0,186.58,190.02
1156,2020-04-23,182.32,188.74,180.64,187.0
1155,2020-04-22,183.43,184.995,179.86,180.74
1154,2020-04-21,178.07,182.39,175.08,181.0
1153,2020-04-20,175.0,186.02,171.22,181.07
1152,2020-04-17,176.51,179.4,171.9,177.93
1151,2020-04-16,172.56,175.96,171.41,171.93
