,Date,Open,High,Low,Close
813,2020-12-14,1.75,1.8006,1.53,1.5853
812,2020-12-11,1.72,1.75,1.59,1.7
811,2020-12-10,1.65,1.8,1.6,1.65
810,2020-12-09,1.7541,1.7541,1.52,1.6
809,2020-12-08,1.77,1.78,1.63,1.77
808,2020-12-07,1.91,2.0782,1.74,1.74
807,2020-12-04,2.0,2.1,1.9,1.96
806,2020-12-03,1.75,2.1604,1.6734,1.98
805,2020-12-02,1.82,2.35,1.66,1.78
804,2020-12-01,1.27,3.76,1.25,2.03
803,2020-11-30,1.3534,1.355,1.21,1.3
802,2020-11-27,1.33,1.39,1.3,1.36
801,2020-11-25,1.46,1.58,1.33,1.39
800,2020-11-24,1.32,1.58,1.15,1.46
799,2020-11-23,1.27,1.32,1.25,1.3
798,2020-11-20,1.39,1.39,1.28,1.28
797,2020-11-19,1.36,1.41,1.2614,1.34
796,2020-11-18,1.36,1.36,1.22,1.29
795,2020-11-17,1.19,1.32,1.19,1.26
794,2020-11-16,1.21,1.305,1.21,1.265
793,2020-11-13,1.21,1.26,1.1975,1.26
792,2020-11-12,1.2,1.24,1.15,1.23
791,2020-11-11,1.23,1.2308,1.2297,1.2308
790,2020-11-10,1.25,1.2509,1.2,1.2006
789,2020-11-09,1.265,1.3203,1.2497,1.3191
788,2020-11-06,1.36,1.36,1.3167,1.34
787,2020-11-05,1.3405,1.37,1.28,1.37
786,2020-11-04,1.2226,1.38,1.2226,1.364
785,2020-11-03,1.42,1.44,1.32,1.38
784,2020-11-02,1.29,1.43,1.29,1.32
783,2020-10-30,1.3084,1.45,1.26,1.375
782,2020-10-29,1.54,1.54,1.3995,1.45
781,2020-10-28,1.5,1.521,1.3065,1.47
780,2020-10-27,1.64,1.7,1.55,1.56
779,2020-10-26,1.73,1.7801,1.51,1.64
778,2020-10-23,1.62,1.94,1.6,1.65
777,2020-10-22,1.61,1.66,1.4306,1.55
776,2020-10-21,1.49,1.6164,1.46,1.53
775,2020-10-20,1.58,1.58,1.42,1.44
774,2020-10-19,1.47,1.67,1.38,1.5399
773,2020-10-16,1.41,1.45,1.3701,1.45
772,2020-10-15,1.41,1.58,1.29,1.475
771,2020-10-14,1.4,1.5,1.35,1.35
770,2020-10-13,1.38,1.65,1.3401,1.4
769,2020-10-12,1.29,1.4,1.29,1.36
768,2020-10-09,1.34,1.43,1.34,1.38
767,2020-10-08,1.3435,1.47,1.34,1.34
766,2020-10-07,1.22,1.55,1.19,1.48
765,2020-10-06,1.23,1.27,1.23,1.25
764,2020-10-05,1.231,1.231,1.231,1.231
763,2020-10-02,1.23,1.29,1.2025,1.29
762,2020-10-01,1.25,1.3396,1.2295,1.295
761,2020-09-30,1.36,1.3927,1.2601,1.3076
760,2020-09-29,1.2,1.48,1.15,1.48
759,2020-09-28,1.14,1.17,1.09,1.169
758,2020-09-25,1.0901,1.14,1.0901,1.14
757,2020-09-24,1.1096,1.169,1.091,1.15
756,2020-09-23,1.15,1.151,1.135,1.14
755,2020-09-22,1.15,1.15,1.15,1.15
754,2020-09-21,1.14,1.17,1.14,1.14
753,2020-09-18,1.14,1.18,1.14,1.17
752,2020-09-17,1.1439,1.22,1.1439,1.18
751,2020-09-16,1.21,1.21,1.17,1.17
750,2020-09-15,1.2,1.22,1.19,1.22
749,2020-09-14,1.21,1.21,1.1401,1.161
748,2020-09-11,1.13,1.24,1.065,1.165
747,2020-09-10,1.13,1.13,1.06,1.08
746,2020-09-09,1.08,1.09,1.06,1.0894
745,2020-09-08,1.1141,1.1393,1.05,1.0767
744,2020-09-04,1.1423,1.1423,1.1,1.14
743,2020-09-03,1.19,1.19,1.105,1.14
742,2020-09-02,1.16,1.18,1.12,1.18
741,2020-09-01,1.19,1.2,1.17,1.1901
740,2020-08-31,1.15,1.24,1.14,1.19
739,2020-08-28,1.15,1.25,1.11,1.24
738,2020-08-27,1.25,1.2811,1.11,1.1499
