,Date,Open,High,Low,Close
1914,2020-12-14,61.4,61.789,59.37,59.68
1913,2020-12-11,59.09,60.33,58.83,59.74
1912,2020-12-10,58.88,59.76,58.39,59.45
1911,2020-12-09,58.66,59.6,58.34,58.79
1910,2020-12-08,57.7,59.2,57.56,58.37
1909,2020-12-07,58.12,59.05,57.18,58.12
1908,2020-12-04,60.0,60.35,58.38,58.67
1907,2020-12-03,60.4,60.94,58.78,59.72
1906,2020-12-02,59.21,60.69,58.3,60.49
1905,2020-12-01,58.52,60.1299,57.83,58.98
1904,2020-11-30,57.72,59.29,56.98,57.64
1903,2020-11-27,56.98,57.78,56.18,57.46
1902,2020-11-25,57.36,58.7,55.82,57.08
1901,2020-11-24,57.28,58.11,56.66,57.16
1900,2020-11-23,56.5,58.64,56.5,57.13
1899,2020-11-20,56.68,57.07,55.24,56.12
1898,2020-11-19,56.14,57.159,55.6,57.03
1897,2020-11-18,56.08,57.56,55.79,55.94
1896,2020-11-17,56.67,57.3869,54.93,56.14
1895,2020-11-16,56.5,58.0522,56.27,56.95
1894,2020-11-13,57.07,57.14,55.35,55.98
1893,2020-11-12,55.84,57.35,55.06,56.67
1892,2020-11-11,55.42,56.77,54.58,56.24
1891,2020-11-10,52.59,56.43,52.28,55.2
1890,2020-11-09,56.5,57.0,50.04,51.6
1889,2020-11-06,57.83,58.75,54.17,54.86
1888,2020-11-05,56.67,58.95,56.06,56.76
1887,2020-11-04,52.5,56.3,52.5,55.5
1886,2020-11-03,52.28,53.26,51.71,52.52
1885,2020-11-02,51.04,52.12,50.44,51.14
1884,2020-10-30,50.99,51.51,49.6674,50.82
1883,2020-10-29,51.5,52.31,50.02,51.34
1882,2020-10-28,52.06,53.52,51.42,51.55
1881,2020-10-27,54.66,55.4556,52.485,53.4
1880,2020-10-26,57.65,57.88,54.07,54.73
1879,2020-10-23,56.97,58.82,56.54,58.27
1878,2020-10-22,58.32,58.7581,55.8,56.97
1877,2020-10-21,62.45,62.61,58.4,58.62
1876,2020-10-20,63.88,64.475,61.77,61.98
1875,2020-10-19,66.52,67.11,62.775,63.67
1874,2020-10-16,66.8,67.14,65.27,65.98
1873,2020-10-15,65.03,67.1,64.04,66.8
1872,2020-10-14,67.15,67.77,65.6932,66.17
1871,2020-10-13,66.15,67.16,65.06,66.58
1870,2020-10-12,65.57,66.11,64.03,66.0
1869,2020-10-09,62.38,65.98,62.17,65.29
1868,2020-10-08,60.49,61.66,59.24,61.19
1867,2020-10-07,59.96,60.8,58.34,60.04
1866,2020-10-06,61.1,62.08,59.02,59.12
1865,2020-10-05,60.61,62.03,59.76,60.4
1864,2020-10-02,57.01,60.4,57.0,59.96
1863,2020-10-01,58.86,59.35,56.81,58.73
1862,2020-09-30,58.35,59.38,57.93,58.12
1861,2020-09-29,58.22,58.72,57.741,58.35
1860,2020-09-28,57.02,59.08,56.5,58.5
1859,2020-09-25,55.37,56.42,55.02,55.82
1858,2020-09-24,55.91,56.54,54.01,55.35
1857,2020-09-23,57.33,59.73,56.11,56.26
1856,2020-09-22,57.26,57.83,55.69,55.98
1855,2020-09-21,57.65,58.82,56.14,57.17
1854,2020-09-18,58.06,60.275,57.75,59.04
