,Date,Open,High,Low,Close
1851,2020-12-14,8.48,9.5,8.46,9.23
1850,2020-12-11,8.14,8.35,7.98,8.27
1849,2020-12-10,8.16,8.6,8.16,8.3
1848,2020-12-09,8.47,8.74,7.99,8.33
1847,2020-12-08,8.09,8.9,8.09,8.4
1846,2020-12-07,8.56,8.94,8.09,8.09
1845,2020-12-04,8.44,8.95,7.95,8.47
1844,2020-12-03,8.69,9.15,8.3701,8.475
1843,2020-12-02,8.15,8.73,8.08,8.55
1842,2020-12-01,8.33,8.8,8.13,8.24
1841,2020-11-30,7.75,7.95,7.27,7.92
1840,2020-11-27,7.43,7.97,7.15,7.49
1839,2020-11-25,6.22,7.6499,6.18,7.48
1838,2020-11-24,6.07,6.32,5.83,6.08
1837,2020-11-23,6.3,6.45,5.93,5.94
1836,2020-11-20,6.05,6.4898,6.05,6.31
1835,2020-11-19,6.02,6.19,5.95,6.14
1834,2020-11-18,6.29,6.5,6.03,6.03
1833,2020-11-17,6.36,6.7,6.16,6.2
1832,2020-11-16,6.0,6.48,6.0,6.4
1831,2020-11-13,5.87,5.96,5.68,5.905
1830,2020-11-12,5.66,5.95,5.66,5.93
1829,2020-11-11,6.05,6.24,5.73,5.78
1828,2020-11-10,5.48,6.01,5.34,6.0
1827,2020-11-09,5.07,5.5801,5.07,5.43
1826,2020-11-06,5.27,5.27,4.88,4.91
1825,2020-11-05,5.21,5.3,4.93,5.27
1824,2020-11-04,4.68,5.28,4.68,5.22
1823,2020-11-03,4.27,4.74,4.25,4.68
1822,2020-11-02,4.38,4.381,4.06,4.17
1821,2020-10-30,4.3,4.35,4.08,4.29
1820,2020-10-29,4.06,4.47,4.02,4.39
1819,2020-10-28,4.14,4.23,3.95,4.105
1818,2020-10-27,4.1,4.31,3.96,4.29
1817,2020-10-26,4.35,4.37,3.9801,4.1
1816,2020-10-23,4.35,4.48,4.18,4.39
1815,2020-10-22,4.32,4.56,4.26,4.33
1814,2020-10-21,4.49,4.58,4.23,4.32
1813,2020-10-20,4.52,4.647,4.26,4.53
1812,2020-10-19,4.86,4.97,4.48,4.53
1811,2020-10-16,4.99,5.0599,4.8,4.83
1810,2020-10-15,4.67,5.55,4.63,5.0
1809,2020-10-14,4.8,5.02,4.65,4.67
1808,2020-10-13,4.92,5.0,4.73,4.78
1807,2020-10-12,5.6,5.6,4.8801,5.02
1806,2020-10-09,4.81,5.94,4.79,5.69
1805,2020-10-08,4.36,4.555,4.32,4.41
1804,2020-10-07,4.09,4.4,4.09,4.38
1803,2020-10-06,4.01,4.285,3.96,4.05
1802,2020-10-05,3.77,4.02,3.75,4.01
1801,2020-10-02,3.72,4.04,3.66,3.75
1800,2020-10-01,3.5,3.86,3.36,3.82
1799,2020-09-30,3.54,3.65,3.41,3.5
1798,2020-09-29,3.56,3.6264,3.47,3.54
1797,2020-09-28,3.74,3.75,3.5,3.58
1796,2020-09-25,3.48,3.695,3.4099,3.58
1795,2020-09-24,3.77,3.97,3.47,3.5
1794,2020-09-23,4.16,4.1702,3.73,3.75
