,Date,Open,High,Low,Close
681,2020-12-14,0.1508,0.1794,0.15,0.1794
680,2020-12-11,0.297,0.297,0.15,0.2
679,2020-12-10,0.1857,0.3125,0.1582,0.2521
678,2020-12-09,0.17,0.1895,0.1603,0.18
677,2020-12-08,0.168,0.168,0.16,0.16
676,2020-12-07,0.17,0.17,0.15,0.1624
675,2020-12-04,0.165,0.1921,0.1501,0.17
674,2020-12-03,0.1568,0.1568,0.14,0.14
673,2020-12-02,0.15,0.175,0.15,0.1533
672,2020-12-01,0.125,0.17,0.125,0.136
671,2020-11-30,0.12,0.175,0.12,0.12
670,2020-11-27,0.1413,0.22,0.13,0.13
669,2020-11-25,0.14,0.14,0.1201,0.1399
668,2020-11-24,0.13,0.15,0.12,0.15
667,2020-11-23,0.185,0.185,0.11,0.15
666,2020-11-20,0.19,0.19,0.137,0.148
665,2020-11-19,0.1365,0.1365,0.1365,0.1365
664,2020-11-18,0.16,0.17,0.115,0.13
663,2020-11-17,0.1571,0.1571,0.1152,0.1152
662,2020-11-16,0.14,0.14,0.1217,0.1303
661,2020-11-13,0.1575,0.1579,0.1106,0.1578
660,2020-11-12,0.158,0.158,0.1117,0.15
659,2020-11-11,0.1511,0.1726,0.1502,0.158
658,2020-11-10,0.18,0.22,0.1204,0.15
657,2020-11-09,0.1998,0.1998,0.1401,0.188
656,2020-11-06,0.11,0.17,0.11,0.1351
655,2020-11-05,0.1783,0.1928,0.15,0.1928
654,2020-11-04,0.1738,0.2,0.146,0.2
653,2020-11-03,0.1601,0.2443,0.0809,0.1405
652,2020-11-02,0.17,0.17,0.1218,0.15
651,2020-10-30,0.2195,0.31,0.14,0.16
650,2020-10-29,0.2,0.2999,0.2,0.2151
649,2020-10-28,0.06,1.1,0.0413,0.39
648,2020-10-27,0.0801,0.09,0.0422,0.0524
647,2020-10-26,0.09,0.095,0.09,0.095
646,2020-10-23,0.1,0.1,0.095,0.0999
645,2020-10-22,0.1,0.1,0.1,0.1
644,2020-10-21,0.1,0.1,0.1,0.1
643,2020-10-20,0.1,0.1,0.0999,0.1
642,2020-10-19,0.0996,0.11,0.089,0.089
641,2020-10-16,0.09,0.1,0.0887,0.0927
640,2020-10-15,0.0887,0.0887,0.0887,0.0887
639,2020-10-14,0.108,0.1081,0.0889,0.0897
638,2020-10-13,0.1117,0.1122,0.0901,0.112
637,2020-10-12,0.115,0.1211,0.11,0.11
636,2020-10-09,0.125,0.125,0.1003,0.1195
635,2020-10-08,0.13,0.13,0.0891,0.1189
634,2020-10-07,0.16,0.16,0.1299,0.13
633,2020-10-06,0.1414,0.1433,0.12,0.1433
632,2020-10-05,0.159,0.159,0.134,0.1399
631,2020-10-02,0.15,0.16,0.1201,0.14
630,2020-10-01,0.15,0.1605,0.0711,0.15
629,2020-09-30,0.165,0.165,0.165,0.165
628,2020-09-29,0.17,0.17,0.15,0.169
627,2020-09-28,0.15,0.17,0.15,0.17
626,2020-09-25,0.1699,0.18,0.1698,0.18
625,2020-09-24,0.156,0.17,0.156,0.1699
624,2020-09-23,0.175,0.175,0.142,0.1671
623,2020-09-22,0.1965,0.197,0.1551,0.17
622,2020-09-21,0.1801,0.1965,0.18,0.1965
621,2020-09-18,0.1775,0.1775,0.1699,0.1701
620,2020-09-17,0.17,0.209,0.1551,0.1999
619,2020-09-16,0.1799,0.1799,0.14,0.1699
618,2020-09-15,0.1781,0.18,0.17,0.17
617,2020-09-14,0.161,0.182,0.14,0.182
616,2020-09-11,0.21,0.21,0.1304,0.14
615,2020-09-10,0.2098,0.2098,0.16,0.1949
614,2020-09-09,0.1701,0.1701,0.1701,0.1701
613,2020-09-08,0.17,0.1701,0.17,0.1701
612,2020-09-04,0.17,0.2098,0.17,0.2098
611,2020-09-03,0.1949,0.1949,0.16,0.16
610,2020-09-02,0.1991,0.2,0.18,0.18
609,2020-09-01,0.17,0.2098,0.16,0.2
608,2020-08-31,0.2095,0.2095,0.17,0.17
607,2020-08-28,0.17,0.1701,0.17,0.1701
606,2020-08-27,0.1415,0.2099,0.141,0.2099
605,2020-08-26,0.17,0.23,0.14,0.22
604,2020-08-25,0.2389,0.24,0.1305,0.1899
603,2020-08-24,0.24,0.24,0.24,0.24
602,2020-08-21,0.2401,0.2403,0.24,0.24
601,2020-08-20,0.24,0.24,0.24,0.24
600,2020-08-19,0.28,0.2813,0.28,0.2813
599,2020-08-18,0.28,0.28,0.28,0.28
598,2020-08-17,0.25,0.28,0.25,0.28
597,2020-08-14,0.27,0.28,0.27,0.27
596,2020-08-13,0.25,0.29,0.22,0.28
595,2020-08-12,0.3,0.3,0.13,0.2509
594,2020-08-11,0.2925,0.3,0.21,0.2897
