,Date,Open,High,Low,Close
266,2020-12-14,15.25,15.25,14.82,15.01
265,2020-12-11,15.3969,15.46,15.12,15.32
264,2020-12-10,15.41,15.6,15.077,15.57
263,2020-12-09,15.58,15.58,15.2,15.4
262,2020-12-08,15.93,16.04,14.9,15.33
261,2020-12-07,16.03,16.3309,15.6632,15.9
260,2020-12-04,15.5,15.6911,15.4431,15.67
259,2020-12-03,15.9659,16.02,15.35,15.44
258,2020-12-02,16.06,16.33,15.97,15.97
257,2020-12-01,16.01,16.35,15.93,16.06
256,2020-11-30,15.92,16.54,15.02,16.01
255,2020-11-27,15.99,16.0324,15.6,15.98
254,2020-11-25,16.0,16.1,15.9,16.09
253,2020-11-24,15.56,16.2,15.45,16.03
252,2020-11-23,15.5,15.575,15.3,15.38
251,2020-11-20,15.02,15.5,15.0,15.5
250,2020-11-19,15.1,15.23,14.93,15.2
249,2020-11-18,15.5,15.54,15.17,15.19
248,2020-11-17,15.35,15.5,15.28,15.44
247,2020-11-16,15.5,15.78,15.37,15.5
246,2020-11-13,14.96,15.35,14.915,15.35
245,2020-11-12,15.03,15.1768,14.62,14.99
244,2020-11-11,15.35,15.35,14.7501,15.32
243,2020-11-10,14.89,15.34,14.8,15.3
242,2020-11-09,15.16,15.8,14.66,14.74
241,2020-11-06,14.28,14.3335,13.51,13.64
240,2020-11-05,14.34,14.82,14.09,14.18
239,2020-11-04,14.56,14.8011,14.3,14.34
238,2020-11-03,14.1,14.79,13.94,14.55
237,2020-11-02,14.18,14.18,13.83,14.02
236,2020-10-30,14.1,14.17,13.75,13.95
235,2020-10-29,13.91,14.26,13.7,14.14
234,2020-10-28,14.0,14.395,13.66,13.85
233,2020-10-27,14.88,15.0348,14.14,14.25
232,2020-10-26,15.25,15.29,14.7,15.04
231,2020-10-23,15.85,16.23,14.92,15.46
230,2020-10-22,15.1,16.4,15.085,15.9
229,2020-10-21,14.57,14.64,14.25,14.64
228,2020-10-20,14.21,14.44,14.0201,14.44
227,2020-10-19,14.08,14.32,13.96,14.0
226,2020-10-16,14.47,14.743,14.02,14.09
225,2020-10-15,14.44,14.96,14.21,14.58
224,2020-10-14,14.97,15.105,14.55,14.59
223,2020-10-13,15.54,15.58,14.6,14.9
222,2020-10-12,15.67,15.76,15.23,15.52
221,2020-10-09,15.52,15.7836,15.4601,15.6
220,2020-10-08,15.64,15.83,15.5,15.54
219,2020-10-07,15.15,15.7,15.15,15.54
218,2020-10-06,15.64,15.64,15.01,15.17
217,2020-10-05,16.22,16.4,15.51,15.61
216,2020-10-02,15.6,16.0,15.56,15.94
215,2020-10-01,15.55,16.13,15.44,16.0
214,2020-09-30,15.8,15.91,14.92,15.55
213,2020-09-29,15.94,16.0491,15.5,15.56
212,2020-09-28,15.5,16.15,15.26,15.94
211,2020-09-25,15.04,16.1,15.04,15.59
210,2020-09-24,16.35,16.35,15.0,15.25
209,2020-09-23,16.33,16.576,16.1,16.28
208,2020-09-22,15.9,16.4,15.66,16.35
207,2020-09-21,16.5,16.5,15.6709,15.8
206,2020-09-18,16.29,16.75,16.03,16.75
205,2020-09-17,15.93,16.445,15.6593,16.08
204,2020-09-16,16.43,16.5352,16.13,16.19
203,2020-09-15,15.57,16.25,15.5,16.16
202,2020-09-14,15.02,16.33,15.02,15.59
201,2020-09-11,15.84,15.84,14.52,14.88
200,2020-09-10,15.0,15.94,15.0,15.67
199,2020-09-09,13.95,15.06,13.95,14.81
198,2020-09-08,14.23,14.23,13.73,13.91
197,2020-09-04,14.61,14.79,13.89,14.04
196,2020-09-03,14.66,14.94,14.07,14.23
195,2020-09-02,14.57,14.75,14.3,14.66
194,2020-09-01,14.34,14.67,14.29,14.58
193,2020-08-31,14.43,14.95,14.06,14.51
192,2020-08-28,14.0,14.2,13.885,14.2
191,2020-08-27,13.98,14.445,13.75,13.83
190,2020-08-26,14.679,14.679,13.3,13.45
189,2020-08-25,14.38,14.67,14.17,14.56
188,2020-08-24,14.29,14.45,13.78,14.36
187,2020-08-21,14.45,14.506,13.45,14.4
186,2020-08-20,14.67,15.06,14.43,14.69
185,2020-08-19,14.84,15.125,14.74,14.87
184,2020-08-18,15.07,15.21,14.75,14.83
183,2020-08-17,14.4,15.105,14.4,15.08
182,2020-08-14,14.4,14.55,14.1,14.33
181,2020-08-13,14.52,14.72,14.4,14.48
180,2020-08-12,14.64,14.78,14.39,14.45
179,2020-08-11,15.32,15.59,14.55,14.62
178,2020-08-10,15.35,15.83,15.29,15.34
177,2020-08-07,14.82,15.39,14.74,15.24
176,2020-08-06,14.77,14.8,14.55,14.8
