,Date,Open,High,Low,Close
870,2020-12-14,2.62,2.62,2.46,2.52
869,2020-12-11,2.44,2.52,2.38,2.47
868,2020-12-10,2.42,2.49,2.38,2.44
867,2020-12-09,2.8399,3.08,2.5,2.56
866,2020-12-08,2.32,2.92,2.32,2.86
865,2020-12-07,2.37,2.4487,2.3,2.32
864,2020-12-04,2.33,2.42,2.29,2.38
863,2020-12-03,2.33,2.37,2.29,2.32
862,2020-12-02,2.36,2.41,2.31,2.35
861,2020-12-01,2.43,2.54,2.33,2.36
860,2020-11-30,2.47,2.5205,2.35,2.38
859,2020-11-27,2.49,2.57,2.48,2.51
858,2020-11-25,2.54,2.58,2.45,2.49
857,2020-11-24,2.62,2.64,2.46,2.51
856,2020-11-23,2.55,2.7189,2.5,2.57
855,2020-11-20,2.43,2.59,2.38,2.5
854,2020-11-19,2.25,2.5081,2.2165,2.47
853,2020-11-18,2.28,2.29,2.2001,2.25
852,2020-11-17,2.23,2.28,2.18,2.28
851,2020-11-16,2.2,2.29,2.2,2.23
850,2020-11-13,2.15,2.21,2.13,2.19
849,2020-11-12,2.21,2.21,2.11,2.14
848,2020-11-11,2.28,2.2823,2.18,2.22
847,2020-11-10,2.28,2.3399,2.2213,2.28
846,2020-11-09,2.2,2.31,2.17,2.28
845,2020-11-06,2.1699,2.1752,2.1,2.13
844,2020-11-05,2.13,2.24,2.1243,2.16
843,2020-11-04,2.14,2.19,2.11,2.14
842,2020-11-03,2.17,2.26,2.13,2.15
841,2020-11-02,2.11,2.18,2.08,2.16
840,2020-10-30,2.21,2.34,2.1,2.12
839,2020-10-29,2.142,2.27,2.02,2.25
838,2020-10-28,2.22,2.25,2.1,2.1
837,2020-10-27,2.29,2.29,2.2,2.24
836,2020-10-26,2.31,2.34,2.225,2.26
835,2020-10-23,2.38,2.3938,2.31,2.32
834,2020-10-22,2.35,2.45,2.31,2.37
833,2020-10-21,2.3553,2.42,2.315,2.35
832,2020-10-20,2.42,2.42,2.26,2.35
831,2020-10-19,2.58,2.59,2.38,2.42
830,2020-10-16,2.58,2.62,2.5,2.57
829,2020-10-15,2.7843,3.0,2.56,2.62
828,2020-10-14,2.65,2.6794,2.61,2.64
827,2020-10-13,2.63,2.74,2.54,2.68
826,2020-10-12,2.84,2.85,2.54,2.61
825,2020-10-09,2.69,2.8,2.68,2.79
824,2020-10-08,3.58,3.6,3.4,3.59
823,2020-10-07,3.63,3.67,3.55,3.62
822,2020-10-06,3.66,3.74,3.6,3.64
821,2020-10-05,3.72,3.7293,3.6305,3.68
820,2020-10-02,3.87,3.87,3.63,3.69
819,2020-10-01,3.83,3.94,3.79,3.93
818,2020-09-30,3.91,3.945,3.825,3.84
817,2020-09-29,3.73,3.89,3.73,3.89
816,2020-09-28,3.68,3.79,3.66,3.74
815,2020-09-25,3.72,3.74,3.57,3.72
814,2020-09-24,3.61,3.7501,3.55,3.71
813,2020-09-23,3.86,3.86,3.68,3.74
812,2020-09-22,3.97,3.97,3.81,3.86
811,2020-09-21,3.86,3.955,3.78,3.9
810,2020-09-18,3.99,4.05,3.85,3.85
809,2020-09-17,3.88,4.06,3.88,3.98
808,2020-09-16,3.93,3.98,3.85,3.95
807,2020-09-15,3.99,4.08,3.8889,3.95
806,2020-09-14,3.97,4.03,3.875,4.0
805,2020-09-11,4.0,4.0765,3.91,3.97
804,2020-09-10,4.2,4.2,3.96,3.99
803,2020-09-09,4.12,4.24,4.05,4.2
802,2020-09-08,4.33,4.35,4.1,4.25
801,2020-09-04,3.99,4.5,3.85,4.2
800,2020-09-03,4.03,4.09,3.81,3.98
799,2020-09-02,4.16,4.16,3.958,4.05
798,2020-09-01,4.3,4.34,4.11,4.2
797,2020-08-31,4.27,4.39,4.18,4.3
796,2020-08-28,4.37,4.38,4.2,4.31
795,2020-08-27,4.45,4.59,4.35,4.38
794,2020-08-26,4.46,4.64,4.17,4.6
793,2020-08-25,4.2,4.6408,4.03,4.61
792,2020-08-24,4.2,4.72,3.8,3.99
791,2020-08-21,4.57,6.22,4.11,4.37
790,2020-08-20,3.9,3.92,3.35,3.44
789,2020-08-19,4.26,4.26,3.8,3.87
788,2020-08-18,4.46,4.4706,4.27,4.34
787,2020-08-17,4.62,4.63,4.46,4.49
786,2020-08-14,4.62,4.68,4.4701,4.66
785,2020-08-13,4.66,4.6999,4.51,4.65
784,2020-08-12,4.76,4.79,4.56,4.61
783,2020-08-11,4.95,5.0,4.66,4.84
782,2020-08-10,4.77,4.9499,4.76,4.88
781,2020-08-07,4.81,4.835,4.66,4.77
780,2020-08-06,4.92,4.92,4.75,4.8
779,2020-08-05,5.14,5.4,4.83,5.0
