,Date,Open,High,Low,Close
49,2020-12-14,2.1,2.2,2.02,2.02
48,2020-12-11,2.08,2.11,2.02,2.08
47,2020-12-10,2.1,3.1,1.9,1.98
46,2020-12-09,2.12,2.29,2.12,2.17
45,2020-12-08,2.18,2.19,2.0877,2.115
44,2020-12-07,2.18,2.23,2.13,2.14
43,2020-12-04,2.15,2.19,2.1,2.18
42,2020-12-03,2.08,2.2175,2.07,2.15
41,2020-12-02,2.36,2.36,2.11,2.12
40,2020-12-01,2.14,2.4899,1.96,2.3
39,2020-11-30,2.27,2.27,2.04,2.1
38,2020-11-27,2.22,2.235,2.1,2.1
37,2020-11-25,2.56,2.56,2.16,2.28
36,2020-11-24,2.12,3.1,2.11,2.62
35,2020-11-23,2.01,2.08,1.97,2.05
34,2020-11-20,1.97,1.98,1.93,1.98
33,2020-11-19,1.99,1.99,1.9,1.91
32,2020-11-18,2.02,2.0799,1.9,1.91
31,2020-11-17,2.03,2.07,1.96,1.96
30,2020-11-16,1.88,2.22,1.88,2.1
29,2020-11-13,1.9,1.92,1.88,1.88
28,2020-11-12,1.85,1.97,1.85,1.94
27,2020-11-11,1.95,1.9699,1.88,1.88
26,2020-11-10,1.84,1.97,1.84,1.92
25,2020-11-09,1.98,1.98,1.89,1.89
24,2020-11-06,1.893,1.95,1.8501,1.9
23,2020-11-05,1.83,1.96,1.83,1.91
22,2020-11-04,1.92,1.94,1.83,1.83
21,2020-11-03,1.915,1.915,1.81,1.83
20,2020-11-02,1.82,1.88,1.8,1.87
19,2020-10-30,1.86,1.89,1.77,1.82
18,2020-10-29,1.87,1.9,1.86,1.9
17,2020-10-28,2.0,2.0,1.8,1.85
16,2020-10-27,2.02,2.06,1.96,2.0
15,2020-10-26,2.14,2.1784,2.0316,2.08
14,2020-10-23,2.1299,2.26,2.06,2.13
13,2020-10-22,2.04,2.15,2.0,2.0975
12,2020-10-21,2.09,2.13,2.02,2.055
11,2020-10-20,2.19,2.2,2.01,2.06
10,2020-10-19,2.06,2.4,2.06,2.16
9,2020-10-16,2.06,2.16,2.01,2.1
8,2020-10-15,1.96,2.15,1.9,2.07
7,2020-10-14,1.91,1.975,1.91,1.96
6,2020-10-13,1.88,2.06,1.825,2.02
5,2020-10-12,1.915,1.915,1.81,1.855
4,2020-10-09,2.04,2.04,1.89,1.89
3,2020-10-08,2.1,2.19,1.9254,2.0001
2,2020-10-07,1.97,2.5,1.9644,2.14
1,2020-10-06,1.956,1.97,1.9096,1.9117
0,2020-10-05,1.9,1.98,1.9,1.98
