,Date,Open,High,Low,Close
4650,2020-12-14,24.55,24.55,24.05,24.05
4649,2020-12-11,24.5,24.59,24.5,24.55
4648,2020-12-10,24.3915,24.86,24.3915,24.8
4647,2020-12-09,24.7,24.865,24.3,24.33
4646,2020-12-08,24.6502,24.7197,24.21,24.7
4645,2020-12-07,24.81,24.81,24.15,24.15
4644,2020-12-04,24.44,25.0,24.3505,24.83
4643,2020-12-03,24.95,24.95,24.26,24.41
4642,2020-12-02,24.65,25.025,24.34,24.62
4641,2020-12-01,23.4394,25.5,23.4394,24.45
4640,2020-11-30,23.92,24.06,23.65,23.85
4639,2020-11-27,23.6,24.53,22.5307,24.53
4638,2020-11-25,25.06,25.1,24.56,24.6
4637,2020-11-24,23.8,25.15,23.8,25.1
4636,2020-11-23,22.45,23.78,22.45,23.65
4635,2020-11-20,23.33,23.33,22.4112,23.2
4634,2020-11-19,22.74,23.33,22.74,23.33
4633,2020-11-18,22.87,22.87,22.8,22.8
4632,2020-11-17,22.88,23.29,22.35,23.08
4631,2020-11-16,22.92,24.0,22.35,23.16
4630,2020-11-13,22.9,23.45,22.29,22.52
4629,2020-11-12,23.38,23.43,22.7,22.7
4628,2020-11-11,23.39,23.86,23.0,23.45
4627,2020-11-10,22.69,24.26,22.2449,23.89
4626,2020-11-09,20.46,22.6,20.43,22.6
4625,2020-11-06,20.08,20.425,20.08,20.3
4624,2020-11-05,20.235,20.63,20.2,20.43
4623,2020-11-04,20.32,20.3627,19.85,20.19
4622,2020-11-03,20.15,20.61,20.09,20.2
4621,2020-11-02,20.02,20.225,20.01,20.14
4620,2020-10-30,20.05,20.3,20.03,20.12
4619,2020-10-29,19.85,20.32,19.7,20.24
4618,2020-10-28,20.15,20.26,19.95,20.06
4617,2020-10-27,20.235,20.48,20.11,20.11
4616,2020-10-26,20.25,20.416,20.01,20.2
4615,2020-10-23,20.31,20.61,20.05,20.05
4614,2020-10-22,20.275,20.65,20.275,20.5
4613,2020-10-21,20.5,20.605,20.35,20.35
4612,2020-10-20,20.35,20.47,20.26,20.4
4611,2020-10-19,20.51,20.73,20.38,20.38
4610,2020-10-16,20.64,20.85,20.425,20.58
4609,2020-10-15,20.75,20.96,20.5001,20.85
4608,2020-10-14,21.0,21.99,20.626,21.45
4607,2020-10-13,20.37,21.03,20.37,21.03
4606,2020-10-12,20.4,21.38,20.4,20.56
4605,2020-10-09,20.35,20.43,19.62,20.39
4604,2020-10-08,20.57,20.97,20.195,20.43
4603,2020-10-07,19.71,20.88,19.71,20.81
4602,2020-10-06,20.0,20.57,19.7992,20.28
4601,2020-10-05,19.625,20.0,19.47,19.64
4600,2020-10-02,19.37,19.77,19.37,19.57
4599,2020-10-01,19.5501,19.97,19.55,19.63
4598,2020-09-30,19.94,19.99,19.5001,19.68
4597,2020-09-29,19.4,19.77,19.4,19.77
4596,2020-09-28,19.95,19.95,19.45,19.45
4595,2020-09-25,19.0,19.35,19.0,19.26
4594,2020-09-24,19.3,19.85,18.7,19.15
4593,2020-09-23,19.6,19.6,19.1,19.35
4592,2020-09-22,20.01,20.01,19.55,19.75
4591,2020-09-21,20.0,20.24,19.85,20.04
4590,2020-09-18,20.8,20.8,20.57,20.57
4589,2020-09-17,20.03,20.75,20.03,20.57
