,Date,Open,High,Low,Close
5314,2020-12-14,26.07,26.51,25.32,25.39
5313,2020-12-11,25.98,26.3,25.11,25.65
5312,2020-12-10,25.57,26.95,24.86,26.37
5311,2020-12-09,27.77,28.2,25.72,26.03
5310,2020-12-08,27.9,28.355,27.0,27.43
5309,2020-12-07,27.7,28.605,27.32,28.0
5308,2020-12-04,26.92,27.37,26.33,27.34
5307,2020-12-03,27.22,27.85,26.59,26.71
5306,2020-12-02,26.31,27.3,26.19,26.96
5305,2020-12-01,28.12,28.3,25.87,26.58
5304,2020-11-30,28.83,30.53,27.09,27.32
5303,2020-11-27,28.66,29.0754,27.55,28.26
5302,2020-11-25,26.39,28.55,26.32,28.18
5301,2020-11-24,25.01,26.64,24.0201,26.36
5300,2020-11-23,24.97,25.74,24.32,25.5
5299,2020-11-20,23.61,25.3,23.61,24.62
5298,2020-11-19,22.83,23.59,22.6,23.59
5297,2020-11-18,22.98,24.0699,22.59,22.94
5296,2020-11-17,22.21,23.38,21.62,22.79
5295,2020-11-16,21.84,22.15,20.57,21.86
5294,2020-11-13,20.66,22.12,20.66,21.62
5293,2020-11-12,20.1,20.67,19.94,20.29
5292,2020-11-11,20.73,21.18,20.24,20.35
5291,2020-11-10,21.12,21.27,19.8088,20.31
5290,2020-11-09,25.65,25.95,20.51,20.81
5289,2020-11-06,25.26,25.26,24.26,24.61
5288,2020-11-05,23.66,25.64,23.31,25.24
5287,2020-11-04,22.76,23.49,22.09,23.31
5286,2020-11-03,21.69,22.99,21.63,22.82
5285,2020-11-02,20.49,22.32,20.31,21.87
5284,2020-10-30,22.25,23.65,19.08,19.52
5283,2020-10-29,16.8,19.1,16.73,18.99
5282,2020-10-28,17.73,18.0,16.5,16.81
5281,2020-10-27,18.0,18.56,17.6,18.18
5280,2020-10-26,17.9,18.16,17.655,18.11
5279,2020-10-23,17.92,18.38,17.4898,18.13
5278,2020-10-22,18.58,18.7,17.74,17.81
5277,2020-10-21,18.91,18.99,17.9,18.42
5276,2020-10-20,17.88,19.95,17.84,19.08
5275,2020-10-19,17.15,18.14,17.01,17.44
5274,2020-10-16,16.86,17.025,16.62,16.95
5273,2020-10-15,16.74,17.08,16.55,16.88
5272,2020-10-14,17.08,17.19,16.675,17.04
5271,2020-10-13,16.96,17.28,16.23,17.16
5270,2020-10-12,15.3,17.7,15.15,17.26
5269,2020-10-09,13.84,14.72,13.795,14.56
5268,2020-10-08,13.5,13.7,13.19,13.61
5267,2020-10-07,12.93,13.31,12.86,13.22
5266,2020-10-06,13.23,13.6652,12.71,12.92
5265,2020-10-05,12.65,13.12,12.5,13.08
5264,2020-10-02,11.8,12.65,11.735,12.48
5263,2020-10-01,12.02,12.18,11.77,12.12
5262,2020-09-30,12.5,12.68,11.78,11.84
5261,2020-09-29,12.37,12.66,12.148,12.46
5260,2020-09-28,11.81,12.39,11.7524,12.27
5259,2020-09-25,11.42,11.64,11.26,11.55
5258,2020-09-24,11.2,11.9,11.0501,11.59
5257,2020-09-23,12.29,12.435,10.95,11.18
5256,2020-09-22,13.11,13.19,12.13,12.31
5255,2020-09-21,12.08,13.545,11.845,13.02
5254,2020-09-18,12.6,12.6427,12.27,12.55
5253,2020-09-17,12.05,12.59,11.9416,12.39
5252,2020-09-16,12.07,12.44,11.92,12.35
5251,2020-09-15,12.47,12.75,12.0,12.04
5250,2020-09-14,12.17,12.31,11.49,11.72
5249,2020-09-11,12.19,12.38,11.85,12.02
5248,2020-09-10,11.98,12.255,11.86,12.12
5247,2020-09-09,11.55,11.99,11.41,11.95
5246,2020-09-08,11.43,11.84,11.34,11.52
5245,2020-09-04,12.12,12.12,11.1,11.64
5244,2020-09-03,12.3,12.8,11.7935,11.9
5243,2020-09-02,12.04,12.3,11.51,12.28
5242,2020-09-01,12.18,12.32,11.83,12.0
5241,2020-08-31,12.86,13.32,12.17,12.36
5240,2020-08-28,13.32,13.63,12.08,12.74
5239,2020-08-27,15.14,15.34,14.63,14.69
5238,2020-08-26,15.77,15.9,15.0,15.03
5237,2020-08-25,16.2,16.32,15.66,15.73
5236,2020-08-24,16.4,16.65,15.95,16.13
5235,2020-08-21,16.55,16.68,16.15,16.27
5234,2020-08-20,17.18,17.32,16.58,16.79
5233,2020-08-19,17.0,17.95,16.85,17.44
5232,2020-08-18,17.94,17.94,16.65,16.84
5231,2020-08-17,18.44,19.0,17.76,17.89
5230,2020-08-14,19.69,19.94,19.33,19.76
5229,2020-08-13,18.73,19.74,18.7,19.72
5228,2020-08-12,19.2,19.28,18.45,18.75
5227,2020-08-11,19.49,20.2,18.85,18.95
5226,2020-08-10,18.9,19.59,18.81,19.2
5225,2020-08-07,18.7,19.27,18.66,18.83
5224,2020-08-06,19.49,19.5792,18.51,18.93
5223,2020-08-05,19.41,19.74,19.23,19.47
5222,2020-08-04,19.96,20.17,19.01,19.06
5221,2020-08-03,20.0,20.16,19.52,19.81
5220,2020-07-31,20.34,20.5725,19.31,19.99
5219,2020-07-30,21.62,21.72,19.87,20.64
5218,2020-07-29,18.99,22.24,18.15,21.89
5217,2020-07-28,19.49,20.13,18.34,18.61
5216,2020-07-27,19.44,19.95,19.1,19.56
5215,2020-07-24,19.26,19.5,18.837,19.16
5214,2020-07-23,19.49,19.7,18.8,19.43
5213,2020-07-22,18.75,19.55,18.65,19.43
5212,2020-07-21,17.54,19.11,17.34,18.8
5211,2020-07-20,17.06,17.44,16.85,17.33
5210,2020-07-17,17.2,17.59,16.83,17.14
5209,2020-07-16,16.54,17.18,16.09,17.15
5208,2020-07-15,16.0,16.79,15.88,16.56
5207,2020-07-14,15.47,15.73,15.0,15.47
5206,2020-07-13,15.01,16.0,15.0,15.51
5205,2020-07-10,15.46,15.6,14.65,14.76
5204,2020-07-09,15.76,16.01,15.14,15.38
5203,2020-07-08,14.49,16.05,14.4,16.02
5202,2020-07-07,14.76,14.98,14.51,14.6
5201,2020-07-06,15.05,15.36,14.89,14.96
5200,2020-07-02,14.96,15.32,14.68,14.7
5199,2020-07-01,14.58,15.03,14.43,14.6
5198,2020-06-30,14.58,14.87,14.01,14.68
5197,2020-06-29,13.73,14.78,13.5,14.75
5196,2020-06-26,13.81,14.005,13.33,13.59
5195,2020-06-25,13.57,14.47,13.57,14.0
5194,2020-06-24,14.14,14.31,13.38,13.82
5193,2020-06-23,13.93,14.5,13.8246,14.35
5192,2020-06-22,13.75,13.75,13.241,13.67
5191,2020-06-19,13.74,14.17,13.46,13.84
5190,2020-06-18,13.76,14.08,13.3,13.55
5189,2020-06-17,15.0,15.0,13.965,14.06
5188,2020-06-16,14.87,15.1065,14.39,14.98
5187,2020-06-15,12.79,14.49,12.5,14.14
5186,2020-06-12,14.18,14.28,13.02,13.25
5185,2020-06-11,13.64,14.29,13.12,13.26
5184,2020-06-10,15.76,16.01,14.07,14.15
5183,2020-06-09,17.31,17.31,15.5,15.64
5182,2020-06-08,16.37,17.95,16.37,17.42
5181,2020-06-05,14.02,15.88,13.85,15.81
5180,2020-06-04,13.93,14.16,13.54,13.66
5179,2020-06-03,14.09,14.5,13.7555,14.01
5178,2020-06-02,13.13,13.87,12.97,13.82
5177,2020-06-01,13.02,13.39,12.5652,12.75
5176,2020-05-29,12.83,13.34,12.41,13.03
5175,2020-05-28,13.26,13.6899,12.4,12.53
5174,2020-05-27,14.26,14.88,13.63,14.61
5173,2020-05-26,14.65,15.19,13.95,14.0
5172,2020-05-22,13.73,14.17,13.4,14.14
5171,2020-05-21,13.35,13.94,13.2,13.58
5170,2020-05-20,13.5,14.21,13.31,13.5
5169,2020-05-19,13.05,13.64,12.56,13.09
5168,2020-05-18,12.16,13.24,12.01,13.19
5167,2020-05-15,12.52,12.62,11.35,11.4
5166,2020-05-14,12.35,13.41,11.6601,12.5
5165,2020-05-13,14.03,14.18,12.0001,12.48
5164,2020-05-12,13.96,14.47,13.52,14.0
5163,2020-05-11,14.22,14.27,13.68,13.82
5162,2020-05-08,13.03,14.5,12.72,14.46
5161,2020-05-07,13.22,13.25,12.55,12.79
5160,2020-05-06,13.2,13.48,12.83,13.01
5159,2020-05-05,13.41,13.93,12.955,13.09
5158,2020-05-04,14.12,14.12,12.68,13.13
5157,2020-05-01,13.62,14.11,13.03,14.11
5156,2020-04-30,14.44,14.69,13.57,14.12
5155,2020-04-29,13.72,14.84,13.46,14.59
5154,2020-04-28,13.31,13.6199,12.68,13.18
5153,2020-04-27,12.88,13.07,12.42,12.98
5152,2020-04-24,11.96,12.65,11.69,12.5
5151,2020-04-23,11.24,12.05,11.2243,11.75
5150,2020-04-22,11.42,11.63,11.025,11.24
5149,2020-04-21,11.22,11.7,10.93,10.96
5148,2020-04-20,11.43,12.05,11.2042,11.46
5147,2020-04-17,11.23,11.94,11.0,11.81
5146,2020-04-16,13.42,13.6,10.6,10.67
5145,2020-04-15,13.44,14.1,12.2,13.89
5144,2020-04-14,12.92,13.0,11.77,12.31
