,Date,Open,High,Low,Close
725,2020-12-14,0.7214,0.7369,0.715,0.725
724,2020-12-11,0.728,0.7416,0.711,0.737
723,2020-12-10,0.7546,0.778,0.7115,0.7379
722,2020-12-09,0.7,0.8489,0.6523,0.7573
721,2020-12-08,0.715,0.715,0.6786,0.6971
720,2020-12-07,0.764,0.764,0.71,0.7199
719,2020-12-04,0.74,0.765,0.72,0.75
718,2020-12-03,0.7463,0.75,0.7,0.7227
717,2020-12-02,0.777,0.78,0.7202,0.74
716,2020-12-01,0.7201,0.84,0.71,0.7369
715,2020-11-30,0.73,0.75,0.691,0.7022
714,2020-11-27,0.725,0.77,0.71,0.74
713,2020-11-25,0.6905,0.74,0.6905,0.7148
712,2020-11-24,0.7016,0.7198,0.68,0.6825
711,2020-11-23,0.6918,0.717,0.6753,0.695
710,2020-11-20,0.66,0.6999,0.652,0.685
709,2020-11-19,0.7,0.7,0.6701,0.6766
708,2020-11-18,0.6668,0.6924,0.6651,0.685
707,2020-11-17,0.68,0.6875,0.655,0.6637
706,2020-11-16,0.69,0.72,0.68,0.68
705,2020-11-13,0.69,0.7,0.6603,0.6979
704,2020-11-12,0.69,0.7141,0.6803,0.6889
703,2020-11-11,0.696,0.72,0.6727,0.6803
702,2020-11-10,0.66,0.69,0.66,0.6807
701,2020-11-09,0.68,0.6999,0.651,0.6615
700,2020-11-06,0.6749,0.6786,0.63,0.6601
699,2020-11-05,0.688,0.694,0.63,0.6799
698,2020-11-04,0.724,0.739,0.6801,0.6982
697,2020-11-03,0.6951,0.72,0.6951,0.719
696,2020-11-02,0.6821,0.72,0.6723,0.6999
695,2020-10-30,0.7058,0.72,0.67,0.686
694,2020-10-29,0.72,0.7474,0.6887,0.719
693,2020-10-28,0.77,0.775,0.71,0.7182
692,2020-10-27,0.81,0.82,0.77,0.7875
691,2020-10-26,0.8625,0.8625,0.78,0.8044
690,2020-10-23,0.838,0.8889,0.8305,0.86
689,2020-10-22,0.8189,0.85,0.801,0.837
688,2020-10-21,0.76,0.8376,0.7399,0.82
687,2020-10-20,0.77,0.7799,0.752,0.7629
686,2020-10-19,0.7875,0.7999,0.7531,0.77
685,2020-10-16,0.7776,0.79,0.77,0.7875
684,2020-10-15,0.7811,0.794,0.7577,0.776
683,2020-10-14,0.7972,0.819,0.7704,0.7939
682,2020-10-13,0.805,0.8117,0.7671,0.7732
681,2020-10-12,0.8103,0.8247,0.792,0.802
680,2020-10-09,0.8001,0.8368,0.8,0.81
679,2020-10-08,0.783,0.7991,0.78,0.7906
678,2020-10-07,0.78,0.799,0.77,0.7898
677,2020-10-06,0.79,0.8097,0.76,0.78
676,2020-10-05,0.775,0.7999,0.7503,0.7551
675,2020-10-02,0.74,0.796,0.7305,0.7657
674,2020-10-01,0.79,0.814,0.79,0.8097
673,2020-09-30,0.83,0.8447,0.8101,0.8141
672,2020-09-29,0.8383,0.85,0.815,0.8277
671,2020-09-28,0.8638,0.87,0.8105,0.8292
670,2020-09-25,0.87,0.91,0.8556,0.856
669,2020-09-24,0.84,1.04,0.83,0.9376
668,2020-09-23,1.06,1.15,0.9157,0.9866
667,2020-09-22,0.8548,0.8699,0.8401,0.8457
666,2020-09-21,0.86,0.8895,0.84,0.855
665,2020-09-18,0.89,0.91,0.86,0.86
664,2020-09-17,0.8866,0.9692,0.8866,0.8916
663,2020-09-16,0.8619,0.9772,0.8539,0.895
