,Date,Open,High,Low,Close
3421,2020-12-14,240.42,245.67,238.24,239.05
3420,2020-12-11,246.96,248.19,237.42,238.96
3419,2020-12-10,243.64,250.59,241.91,246.97
3418,2020-12-09,245.36,247.5199,238.09,243.88
3417,2020-12-08,251.39,251.68,243.99,245.65
3416,2020-12-07,260.0,260.0,248.59,249.69
3415,2020-12-04,255.81,261.58,253.73,258.88
3414,2020-12-03,254.73,257.63,253.29,255.54
3413,2020-12-02,261.62,263.22,255.04,255.07
3412,2020-12-01,259.76,264.57,253.71,262.57
3411,2020-11-30,254.6,258.65,247.24,257.71
3410,2020-11-27,250.59,252.79,246.91,251.48
3409,2020-11-25,252.13,256.76,247.61,248.86
3408,2020-11-24,267.82,268.2,251.835,253.61
3407,2020-11-23,267.34,268.8,261.28,265.89
3406,2020-11-20,263.8,269.415,259.56,265.24
3405,2020-11-19,259.27,265.125,255.92,264.24
3404,2020-11-18,258.9,262.89,254.43,259.27
3403,2020-11-17,252.16,261.88,245.28,259.61
3402,2020-11-16,256.88,258.0,251.21,253.04
3401,2020-11-13,260.98,265.47,252.77,256.0
3400,2020-11-12,258.2,268.33,257.26,260.65
3399,2020-11-11,259.27,262.58,253.48,256.74
3398,2020-11-10,249.03,262.05,244.42,260.0
3397,2020-11-09,258.56,264.435,249.94,255.33
3396,2020-11-06,252.81,259.3,248.9442,257.01
3395,2020-11-05,240.92,259.39,240.0,255.68
3394,2020-11-04,230.0,239.44,229.95,231.43
3393,2020-11-03,217.86,227.12,217.5,223.1
3392,2020-11-02,224.79,225.85,214.93,215.97
3391,2020-10-30,228.53,230.12,221.33,222.25
3390,2020-10-29,230.0,233.0,227.39,228.72
3389,2020-10-28,243.32,243.76,227.63,228.41
3388,2020-10-27,251.62,253.2,244.51,246.04
3387,2020-10-26,246.58,254.41,246.09,253.53
3386,2020-10-23,246.42,251.02,246.42,249.39
3385,2020-10-22,242.95,248.0,239.3301,245.25
3384,2020-10-21,245.6,247.125,237.6,241.14
3383,2020-10-20,248.89,253.0,245.26,245.83
3382,2020-10-19,249.38,253.72,247.43,248.52
3381,2020-10-16,250.65,254.75,247.78,248.33
3380,2020-10-15,245.5,252.035,243.77,250.64
3379,2020-10-14,250.51,255.39,245.96,247.92
3378,2020-10-13,246.09,251.36,244.52,248.75
3377,2020-10-12,252.72,252.72,245.0,245.98
3376,2020-10-09,249.53,252.74,244.43,248.59
3375,2020-10-08,245.0,247.89,244.25,247.71
3374,2020-10-07,234.15,244.79,234.15,244.35
3373,2020-10-06,237.61,238.09,228.64,230.74
3372,2020-10-05,233.9,236.71,230.85,235.35
3371,2020-10-02,233.47,238.06,228.38,231.76
3370,2020-10-01,239.98,240.14,234.98,237.56
3369,2020-09-30,232.23,242.125,231.49,236.59
3368,2020-09-29,229.44,237.0,228.69,231.97
3367,2020-09-28,227.92,228.19,220.98,227.38
3366,2020-09-25,216.56,224.92,214.21,223.96
3365,2020-09-24,224.24,225.58,213.51,216.55
3364,2020-09-23,229.11,232.59,225.02,227.65
3363,2020-09-22,224.87,231.16,220.2,230.56
3362,2020-09-21,222.09,226.8614,218.645,224.57
3361,2020-09-18,226.17,233.0,223.19,225.02
3360,2020-09-17,220.01,224.3399,218.462,223.72
3359,2020-09-16,226.34,230.7,221.66,222.52
3358,2020-09-15,221.0,225.78,219.405,225.59
3357,2020-09-14,212.6,220.85,212.51,218.11
3356,2020-09-11,215.1,216.76,210.24,211.59
3355,2020-09-10,214.05,216.12,211.72,213.0
3354,2020-09-09,207.36,213.35,207.36,212.44
3353,2020-09-08,200.27,206.705,198.14,204.57
3352,2020-09-04,207.97,209.94,197.08,204.83
3351,2020-09-03,222.05,222.31,206.84,209.01
3350,2020-09-02,223.98,226.72,219.725,224.28
3349,2020-09-01,218.4,223.75,218.34,223.21
3348,2020-08-31,213.97,220.44,213.06,218.25
3347,2020-08-28,215.59,217.87,212.39,214.34
3346,2020-08-27,215.12,219.56,214.62,216.33
3345,2020-08-26,217.46,217.46,212.76,215.43
3344,2020-08-25,209.27,218.69,208.64,217.76
3343,2020-08-24,211.2,214.185,208.15,209.96
3342,2020-08-21,210.78,211.88,207.86,208.6
3341,2020-08-20,209.0,214.325,206.25,210.04
3340,2020-08-19,211.67,213.2,206.11,209.76
3339,2020-08-18,209.66,211.36,208.43,209.94
3338,2020-08-17,203.86,210.0,203.48,209.6
3337,2020-08-14,206.22,208.23,201.29,202.13
3336,2020-08-13,205.96,209.63,204.83,206.56
3335,2020-08-12,199.11,205.41,197.3,204.65
3334,2020-08-11,202.09,204.075,192.98,198.84
3333,2020-08-10,225.0924,225.0924,202.735,203.94
3332,2020-08-07,218.0,233.99,215.295,217.73
3331,2020-08-06,214.0,221.8,212.381,220.42
3330,2020-08-05,208.0,215.32,206.69,215.32
3329,2020-08-04,203.31,206.6,200.445,206.37
3328,2020-08-03,204.37,205.89,198.58,202.45
3327,2020-07-31,203.96,207.24,200.92,203.36
3326,2020-07-30,198.83,203.62,197.84,201.43
3325,2020-07-29,198.84,204.71,198.5,200.39
3324,2020-07-28,193.19,197.63,189.47,196.38
3323,2020-07-27,196.7,199.5,189.02,192.55
3322,2020-07-24,199.16,199.16,189.88,196.69
3321,2020-07-23,203.04,211.53,200.701,201.62
3320,2020-07-22,203.84,207.15,201.6,203.28
3319,2020-07-21,204.47,207.12,200.96,202.35
3318,2020-07-20,201.94,203.99,199.95,203.1
3317,2020-07-17,197.2,202.99,196.5,199.93
3316,2020-07-16,200.67,201.15,192.44,196.42
3315,2020-07-15,198.33,203.78,197.97,202.25
3314,2020-07-14,192.24,196.7,185.24,196.17
3313,2020-07-13,208.15,211.87,193.04,194.01
3312,2020-07-10,212.1,212.1,205.15,207.82
3311,2020-07-09,208.68,212.21,203.46,211.29
3310,2020-07-08,206.59,212.43,206.56,207.69
3309,2020-07-07,205.61,212.65,203.5,206.13
3308,2020-07-06,203.15,210.16,202.57,204.68
3307,2020-07-02,196.72,204.47,193.86,201.11
3306,2020-07-01,195.1,196.8,192.79,194.6
3305,2020-06-30,187.0,196.1,185.37,194.26
3304,2020-06-29,188.05,189.03,183.74,186.97
3303,2020-06-26,194.13,196.068,185.66,187.2
3302,2020-06-25,191.82,193.45,187.7,193.44
3301,2020-06-24,200.46,202.58,190.53,192.11
3300,2020-06-23,203.41,205.42,198.7,200.51
3299,2020-06-22,200.0,203.175,196.27,201.95
3298,2020-06-19,190.49,199.61,190.02,199.52
3297,2020-06-18,194.58,198.55,188.58,189.5
3296,2020-06-17,185.29,194.22,185.29,193.83
3295,2020-06-16,190.12,190.92,182.75,183.89
3294,2020-06-15,178.38,185.16,175.35,184.8
3293,2020-06-12,184.74,188.99,177.445,180.56
3292,2020-06-11,184.47,186.61,178.78,180.98
3291,2020-06-10,184.02,187.55,182.425,186.2
3290,2020-06-09,181.0,186.09,179.51,181.87
3289,2020-06-08,179.42,181.48,176.56,180.95
3288,2020-06-05,171.84,180.53,168.38,179.03
3287,2020-06-04,181.06,181.16,171.98,172.98
3286,2020-06-03,186.61,188.2,177.52,181.0
3285,2020-06-02,188.11,189.13,183.38,186.5
3284,2020-06-01,187.28,190.8,185.0,188.78
3283,2020-05-29,185.49,189.51,183.94,188.57
3282,2020-05-28,178.27,188.27,176.82,184.58
3281,2020-05-27,182.27,182.27,164.4,178.43
3280,2020-05-26,197.67,197.72,181.6527,182.63
3279,2020-05-22,194.04,195.77,189.57,192.08
3278,2020-05-21,195.04,196.54,186.68,193.89
3277,2020-05-20,199.32,199.77,193.02,195.45
3276,2020-05-19,201.62,203.99,195.41,195.66
3275,2020-05-18,207.9,211.3,199.52,201.26
3274,2020-05-15,201.9,205.87,200.89,203.98
3273,2020-05-14,192.04,203.12,191.067,201.56
3272,2020-05-13,208.0,208.0,190.36,195.02
3271,2020-05-12,224.75,227.94,220.07,220.7
3270,2020-05-11,219.29,228.79,218.01,224.73
3269,2020-05-08,202.99,225.8899,200.0,217.63
3268,2020-05-07,210.0,216.66,207.99,215.15
3267,2020-05-06,203.17,209.88,202.79,206.56
