,Date,Open,High,Low,Close
5314,2020-12-14,30.19,30.39,29.64,29.84
5313,2020-12-11,29.57,30.27,29.26,29.88
5312,2020-12-10,29.53,30.11,29.5,30.0
5311,2020-12-09,30.05,30.33,29.8,29.97
5310,2020-12-08,29.99,30.24,29.68,29.93
5309,2020-12-07,29.98,30.28,29.48,30.26
5308,2020-12-04,30.04,30.36,29.69,30.21
5307,2020-12-03,29.82,30.0,29.4,29.58
5306,2020-12-02,29.29,29.87,29.05,29.81
5305,2020-12-01,29.47,29.92,28.995,29.31
5304,2020-11-30,29.72,29.91,28.745,28.82
5303,2020-11-27,30.25,30.61,29.54,29.99
5302,2020-11-25,30.7,31.07,30.15,30.54
5301,2020-11-24,30.91,31.365,30.35,31.05
5300,2020-11-23,29.83,30.56,29.74,30.07
5299,2020-11-20,28.8,29.9651,28.57,29.52
5298,2020-11-19,29.24,29.39,28.8,29.33
5297,2020-11-18,30.24,30.48,29.27,29.33
5296,2020-11-17,29.8,30.29,29.16,30.18
5295,2020-11-16,30.08,30.59,29.77,30.36
5294,2020-11-13,28.77,29.91,28.74,29.65
5293,2020-11-12,28.29,28.53,27.54,28.03
5292,2020-11-11,30.53,31.38,28.42,28.97
5291,2020-11-10,29.7,30.39,29.11,30.0
5290,2020-11-09,27.38,31.04,27.38,29.27
5289,2020-11-06,26.63,26.755,26.03,26.08
5288,2020-11-05,25.35,26.65,25.35,26.44
5287,2020-11-04,26.77,26.77,25.24,25.33
5286,2020-11-03,26.91,27.48,26.79,27.3
5285,2020-11-02,26.09,26.63,25.54,26.63
5284,2020-10-30,25.2,25.764,25.1,25.5
5283,2020-10-29,24.98,25.6,24.5,25.35
5282,2020-10-28,25.01,25.42,24.38,25.04
5281,2020-10-27,28.51,28.51,25.08,25.13
5280,2020-10-26,26.33,26.43,25.8,26.35
5279,2020-10-23,26.62,26.92,26.24,26.62
5278,2020-10-22,24.87,26.34,24.87,26.295
5277,2020-10-21,24.66,24.98,24.56,24.69
5276,2020-10-20,24.4,24.98,24.4,24.6
5275,2020-10-19,24.49,24.83,23.93,24.01
