,Date,Open,High,Low,Close
5314,2020-12-14,28.31,28.43,27.56,27.6
5313,2020-12-11,27.99,28.23,27.95,28.08
5312,2020-12-10,28.82,28.94,28.08,28.12
5311,2020-12-09,28.64,28.97,28.56,28.88
5310,2020-12-08,28.76,29.235,28.685,29.05
5309,2020-12-07,28.5,29.285,28.48,28.85
5308,2020-12-04,28.49,28.745,28.43,28.61
5307,2020-12-03,28.45,28.64,28.2584,28.46
5306,2020-12-02,28.25,28.62,27.7801,28.53
5305,2020-12-01,28.56,28.88,28.27,28.36
5304,2020-11-30,28.77,28.9997,28.38,28.42
5303,2020-11-27,29.45,29.489,28.95,29.11
5302,2020-11-25,30.55,30.6,28.72,29.39
5301,2020-11-24,30.31,30.805,30.212,30.68
5300,2020-11-23,29.25,30.07,29.1599,29.99
5299,2020-11-20,29.2,29.4653,29.1,29.15
5298,2020-11-19,29.2,29.36,28.98,29.23
5297,2020-11-18,29.73,30.1199,29.235,29.25
5296,2020-11-17,30.07,30.24,29.4,29.53
5295,2020-11-16,30.34,30.52,29.97,30.3
5294,2020-11-13,29.0,30.02,29.0,29.81
5293,2020-11-12,29.08,29.415,28.72,28.89
5292,2020-11-11,29.85,29.96,29.265,29.41
5291,2020-11-10,28.75,29.81,28.73,29.74
5290,2020-11-09,28.56,29.58,28.38,28.75
5289,2020-11-06,28.06,28.44,27.46,27.61
5288,2020-11-05,28.21,28.6064,27.82,28.06
5287,2020-11-04,28.57,28.87,27.92,27.92
5286,2020-11-03,28.47,28.97,28.41,28.84
5285,2020-11-02,27.76,28.21,27.51,28.11
5284,2020-10-30,27.33,27.715,27.225,27.5
5283,2020-10-29,27.14,27.96,26.73,27.59
5282,2020-10-28,27.96,28.34,27.25,27.3
5281,2020-10-27,28.91,28.98,28.52,28.54
5280,2020-10-26,28.35,28.93,28.28,28.92
5279,2020-10-23,28.68,28.755,28.275,28.67
5278,2020-10-22,27.83,28.45,27.5,28.43
5277,2020-10-21,27.99,28.19,27.745,27.9
5276,2020-10-20,27.95,28.2,27.8,28.07
5275,2020-10-19,28.63,28.7,27.72,27.77
5274,2020-10-16,28.6,28.71,28.35,28.59
5273,2020-10-15,28.25,28.6784,28.24,28.55
5272,2020-10-14,28.51,28.72,28.23,28.48
5271,2020-10-13,28.9,28.9,28.18,28.47
5270,2020-10-12,28.93,29.155,28.9,28.99
5269,2020-10-09,29.25,29.34,28.75,28.94
5268,2020-10-08,28.87,29.18,28.76,29.11
5267,2020-10-07,28.9,29.01,28.59,28.76
5266,2020-10-06,28.54,29.14,28.33,28.7
5265,2020-10-05,28.37,28.595,28.17,28.44
5264,2020-10-02,27.2,28.42,27.12,28.21
5263,2020-10-01,27.43,27.66,27.24,27.55
5262,2020-09-30,27.1,27.45,27.01,27.21
5261,2020-09-29,26.85,27.386,26.74,26.88
5260,2020-09-28,26.71,26.97,26.57,26.68
