,Date,Open,High,Low,Close
1951,2020-12-14,25.9,25.9,25.87,25.9
1950,2020-12-11,25.85,25.9,25.8234,25.87
1949,2020-12-10,25.85,25.91,25.74,25.86
1948,2020-12-09,25.9,25.91,25.86,25.9
1947,2020-12-08,25.94,25.96,25.89,25.9
1946,2020-12-07,25.92,25.9468,25.8596,25.9
1945,2020-12-04,26.0,26.0,25.92,25.99
1944,2020-12-03,25.83,26.0,25.83,25.99
1943,2020-12-02,25.78,26.0,25.7785,25.875
1942,2020-12-01,25.78,25.78,25.7199,25.78
1941,2020-11-30,25.78,25.8,25.7,25.7
1940,2020-11-27,25.78,25.87,25.78,25.82
1939,2020-11-25,25.88,25.88,25.8,25.8142
1938,2020-11-24,25.94,25.94,25.84,25.88
1937,2020-11-23,25.83,25.931,25.83,25.9
1936,2020-11-20,25.81,25.81,25.7798,25.81
1935,2020-11-19,25.68,25.86,25.68,25.83
1934,2020-11-18,25.86,25.86,25.76,25.76
1933,2020-11-17,25.83,25.91,25.78,25.86
1932,2020-11-16,25.7061,25.89,25.611,25.89
1931,2020-11-13,25.6,25.7,25.58,25.7
1930,2020-11-12,25.57,25.64,25.544,25.6
1929,2020-11-11,25.68,25.68,25.49,25.64
1928,2020-11-10,25.55,25.67,25.55,25.65
1927,2020-11-09,25.4321,25.56,25.41,25.54
1926,2020-11-06,25.41,25.4465,25.37,25.38
1925,2020-11-05,25.42,25.46,25.38,25.42
1924,2020-11-04,25.48,25.54,25.37,25.42
1923,2020-11-03,25.4,25.49,25.36,25.36
1922,2020-11-02,25.43,25.5228,25.32,25.32
1921,2020-10-30,25.55,25.58,25.36,25.4
1920,2020-10-29,25.4,25.61,25.34,25.5
1919,2020-10-28,25.66,25.66,25.4,25.4138
1918,2020-10-27,25.81,26.03,25.78,26.01
1917,2020-10-26,25.76,25.85,25.69,25.82
1916,2020-10-23,25.6,25.76,25.6,25.76
1915,2020-10-22,25.69,25.81,25.56,25.7
1914,2020-10-21,25.65,25.6694,25.56,25.6
1913,2020-10-20,25.75,25.82,25.6775,25.8
1912,2020-10-19,25.6,25.77,25.56,25.76
1911,2020-10-16,25.6699,25.7,25.56,25.68
1910,2020-10-15,25.55,25.7,25.55,25.61
1909,2020-10-14,25.6176,25.6499,25.56,25.6
1908,2020-10-13,25.57,25.6573,25.56,25.6
1907,2020-10-12,25.66,25.66,25.58,25.6
1906,2020-10-09,25.6,25.65,25.5868,25.6
1905,2020-10-08,25.65,25.65,25.6,25.6
1904,2020-10-07,25.61,25.6282,25.59,25.6
1903,2020-10-06,25.6,25.605,25.53,25.59
1902,2020-10-05,25.58,25.62,25.5,25.59
1901,2020-10-02,25.5604,25.6,25.5462,25.57
1900,2020-10-01,25.46,25.6235,25.44,25.6
1899,2020-09-30,25.52,25.57,25.37,25.37
1898,2020-09-29,25.6,25.6,25.45,25.51
1897,2020-09-28,25.6,25.63,25.53,25.53
1896,2020-09-25,25.53,25.6138,25.465,25.5915
1895,2020-09-24,25.49,25.54,25.37,25.43
1894,2020-09-23,25.63,25.63,25.35,25.41
1893,2020-09-22,25.55,25.59,25.48,25.55
1892,2020-09-21,25.41,25.53,25.41,25.5176
1891,2020-09-18,25.53,25.53,25.43,25.45
1890,2020-09-17,25.51,25.6236,25.5,25.51
1889,2020-09-16,25.6,25.64,25.56,25.56
1888,2020-09-15,25.65,25.6999,25.6,25.6
1887,2020-09-14,25.5202,25.74,25.5202,25.74
1886,2020-09-11,25.58,25.6,25.465,25.49
1885,2020-09-10,25.58,25.73,25.555,25.63
1884,2020-09-09,25.55,25.7,25.41,25.6371
1883,2020-09-08,25.53,25.6083,25.37,25.41
1882,2020-09-04,25.595,25.595,25.4,25.43
1881,2020-09-03,25.67,25.69,25.51,25.51
1880,2020-09-02,25.71,25.837,25.55,25.55
1879,2020-09-01,25.89,25.89,25.67,25.7
1878,2020-08-31,25.76,25.9,25.76,25.89
1877,2020-08-28,25.84,25.84,25.75,25.81
1876,2020-08-27,25.76,25.83,25.65,25.82
