,Date,Open,High,Low,Close
639,2020-12-14,23.71,23.7222,23.04,23.05
638,2020-12-11,23.28,23.75,23.11,23.44
637,2020-12-10,23.04,24.19,22.94,23.5
636,2020-12-09,23.21,23.45,22.92,23.18
635,2020-12-08,22.7,23.29,22.7,23.11
634,2020-12-07,23.02,23.1,22.9,23.0
633,2020-12-04,23.13,23.175,22.9436,23.12
632,2020-12-03,23.04,23.21,22.92,23.04
631,2020-12-02,22.75,23.33,22.66,23.19
630,2020-12-01,22.81,23.1,22.61,22.94
629,2020-11-30,22.92,22.96,22.38,22.42
628,2020-11-27,23.1,23.1599,22.81,23.06
627,2020-11-25,22.95,23.4,22.715,23.16
626,2020-11-24,23.02,23.2132,22.755,23.04
625,2020-11-23,22.46,22.8337,22.17,22.71
624,2020-11-20,22.09,22.53,22.08,22.33
623,2020-11-19,22.2,22.57,21.95,22.3
622,2020-11-18,23.0,23.365,22.25,22.27
621,2020-11-17,22.64,23.06,22.29,22.87
620,2020-11-16,22.77,23.14,22.38,22.97
619,2020-11-13,21.97,22.415,21.84,22.29
618,2020-11-12,21.86,22.14,21.53,21.92
617,2020-11-11,22.78,23.0,21.76,22.08
616,2020-11-10,22.68,22.87,21.72,22.11
615,2020-11-09,20.81,23.6,20.655,22.42
614,2020-11-06,19.97,19.97,19.485,19.6
613,2020-11-05,19.7,20.21,19.6,19.88
612,2020-11-04,18.66,19.84,18.66,19.56
611,2020-11-03,18.75,19.0,18.4,18.89
610,2020-11-02,18.14,18.47,18.08,18.41
609,2020-10-30,17.97,18.36,17.77,17.93
608,2020-10-29,17.63,18.175,17.53,18.06
607,2020-10-28,17.5,17.83,17.36,17.62
606,2020-10-27,18.6,18.72,17.97,17.98
605,2020-10-26,19.19,19.26,18.54,18.62
604,2020-10-23,19.66,19.7,19.38,19.48
603,2020-10-22,19.27,19.665,19.22,19.54
602,2020-10-21,19.5,19.7,19.2201,19.25
601,2020-10-20,19.81,19.9577,19.525,19.58
600,2020-10-19,20.39,20.61,19.68,19.73
599,2020-10-16,20.22,20.75,19.88,20.43
598,2020-10-15,19.65,20.425,19.59,20.33
597,2020-10-14,19.64,19.85,19.54,19.78
596,2020-10-13,19.61,19.87,19.53,19.63
595,2020-10-12,19.14,19.82,19.0889,19.78
594,2020-10-09,19.89,19.98,19.07,19.09
593,2020-10-08,19.81,19.95,19.57,19.68
592,2020-10-07,19.38,19.65,19.28,19.5
591,2020-10-06,19.25,19.89,19.25,19.3
590,2020-10-05,19.28,19.315,18.88,19.16
589,2020-10-02,19.0,19.33,18.95,19.08
588,2020-10-01,19.37,19.49,19.04,19.35
587,2020-09-30,19.5,19.84,19.38,19.45
586,2020-09-29,19.42,19.58,18.995,19.39
585,2020-09-28,19.46,19.77,19.38,19.42
584,2020-09-25,18.72,19.35,18.71,19.29
583,2020-09-24,18.84,19.15,18.55,18.94
582,2020-09-23,19.55,19.8,18.93,18.94
581,2020-09-22,19.6,20.01,19.22,19.56
580,2020-09-21,19.11,19.53,18.85,19.49
579,2020-09-18,20.01,20.01,19.13,19.48
578,2020-09-17,19.63,20.1,19.43,19.81
577,2020-09-16,20.28,20.6,19.975,20.0
576,2020-09-15,20.5,20.54,20.1,20.23
575,2020-09-14,20.08,20.45,20.05,20.24
574,2020-09-11,20.06,20.23,19.675,20.0
573,2020-09-10,19.96,20.17,19.6,19.86
572,2020-09-09,20.24,20.27,19.65,19.74
571,2020-09-08,19.91,20.09,19.58,19.85
570,2020-09-04,20.76,20.81,19.83,20.19
569,2020-09-03,21.37,21.44,20.375,20.52
568,2020-09-02,20.52,21.36,20.45,21.32
567,2020-09-01,20.56,20.79,20.31,20.55
566,2020-08-31,21.02,21.02,20.64,20.77
565,2020-08-28,21.45,21.45,20.9,21.15
564,2020-08-27,21.29,21.48,21.1,21.34
563,2020-08-26,20.95,21.195,20.91,21.12
562,2020-08-25,20.78,20.96,20.58,20.95
561,2020-08-24,20.5,20.85,20.33,20.85
560,2020-08-21,20.59,20.78,20.265,20.31
559,2020-08-20,20.82,21.05,20.57,20.69
558,2020-08-19,21.19,21.45,21.11,21.12
557,2020-08-18,21.5,21.5,21.01,21.17
556,2020-08-17,21.83,21.92,21.46,21.52
555,2020-08-14,21.4,21.69,21.37,21.48
554,2020-08-13,21.91,22.34,21.59,21.65
553,2020-08-12,22.41,22.4501,22.01,22.17
552,2020-08-11,22.26,22.6,21.97,22.08
551,2020-08-10,21.79,22.48,21.73,22.05
550,2020-08-07,21.5,21.86,20.93,21.85
549,2020-08-06,21.76,21.87,21.44,21.78
548,2020-08-05,21.94,22.08,21.625,21.82
547,2020-08-04,21.79,21.79,21.335,21.63
546,2020-08-03,21.48,21.97,21.32,21.92
545,2020-07-31,21.63,21.65,21.15,21.4
544,2020-07-30,21.36,21.81,21.28,21.63
543,2020-07-29,21.69,21.94,21.58,21.82
542,2020-07-28,21.85,22.09,21.62,21.68
541,2020-07-27,21.41,21.99,21.41,21.94
540,2020-07-24,21.76,21.79,21.37,21.6
539,2020-07-23,22.2,22.4375,21.66,21.72
538,2020-07-22,22.01,22.38,21.91,22.32
537,2020-07-21,22.6,22.86,22.05,22.16
536,2020-07-20,23.09,23.23,22.0,22.36
535,2020-07-17,22.99,23.77,22.85,23.26
534,2020-07-16,22.49,22.97,22.33,22.55
533,2020-07-15,21.97,22.73,21.79,22.56
532,2020-07-14,21.36,21.54,21.065,21.52
531,2020-07-13,22.12,22.27,21.4,21.42
530,2020-07-10,21.05,21.89,20.85,21.81
529,2020-07-09,21.75,21.78,20.9,21.08
528,2020-07-08,21.86,22.18,21.64,21.88
527,2020-07-07,22.01,22.55,21.89,21.94
526,2020-07-06,23.23,23.28,22.255,22.3
525,2020-07-02,23.44,23.5,22.75,22.87
524,2020-07-01,23.19,23.41,23.01,23.03
523,2020-06-30,22.77,23.405,22.69,23.23
522,2020-06-29,22.09,23.1989,21.9001,22.93
521,2020-06-26,22.75,23.015,21.68,21.7
520,2020-06-25,22.75,23.06,22.36,22.93
519,2020-06-24,23.23,23.261,22.57,22.8
518,2020-06-23,24.02,24.02,23.46,23.47
517,2020-06-22,23.63,23.97,23.262,23.64
516,2020-06-19,24.3,25.42,23.54,23.77
515,2020-06-18,23.64,24.34,23.36,23.96
514,2020-06-17,24.59,24.59,23.72,24.05
513,2020-06-16,25.27,25.75,24.42,24.56
512,2020-06-15,24.1,24.685,23.542,24.64
511,2020-06-12,23.35,25.34,23.25,25.18
510,2020-06-11,22.17,22.5,21.02,21.06
509,2020-06-10,23.39,23.46,22.89,23.1
508,2020-06-09,23.82,24.2,23.45,23.53
507,2020-06-08,24.5,24.7,24.245,24.42
506,2020-06-05,25.4,25.43,24.19,24.34
505,2020-06-04,23.7,24.96,23.625,24.69
504,2020-06-03,24.02,24.87,23.97,24.04
503,2020-06-02,23.58,23.66,22.895,23.62
502,2020-06-01,22.27,23.765,22.05,23.36
501,2020-05-29,22.46,22.53,21.754,22.17
500,2020-05-28,22.75,23.08,22.25,22.6
499,2020-05-27,22.7,22.77,21.72,22.52
498,2020-05-26,22.92,23.03,22.18,22.25
497,2020-05-22,23.21,23.21,21.53,22.17
496,2020-05-21,23.09,23.64,22.77,22.99
495,2020-05-20,23.52,23.93,23.1,23.33
494,2020-05-19,23.02,23.71,22.86,22.92
493,2020-05-18,22.81,23.47,22.42,23.28
492,2020-05-15,21.51,22.06,21.31,21.99
491,2020-05-14,20.73,21.09,20.26,21.07
490,2020-05-13,21.61,21.85,21.0,21.31
489,2020-05-12,22.68,23.12,21.84,21.89
488,2020-05-11,21.85,22.74,21.56,22.58
487,2020-05-08,21.7,22.36,21.37,22.23
486,2020-05-07,21.7,21.91,21.31,21.35
485,2020-05-06,21.44,21.64,20.755,21.24
484,2020-05-05,21.55,21.89,21.36,21.46
483,2020-05-04,20.79,21.06,20.46,20.99
482,2020-05-01,20.9,21.16,20.52,21.07
481,2020-04-30,22.1,22.194,21.41,21.57
480,2020-04-29,22.38,23.14,21.94,22.73
479,2020-04-28,22.17,22.26,21.28,21.39
478,2020-04-27,21.0,21.69,20.63,21.54
477,2020-04-24,19.95,20.65,19.76,20.59
476,2020-04-23,19.58,20.41,19.53,19.95
475,2020-04-22,20.06,20.09,19.46,19.62
474,2020-04-21,19.54,20.12,19.27,19.44
473,2020-04-20,19.89,20.96,19.78,20.3
472,2020-04-17,19.65,20.59,19.31,20.34
471,2020-04-16,19.51,19.73,18.85,19.25
470,2020-04-15,19.66,19.83,19.14,19.5
469,2020-04-14,20.77,20.775,19.935,20.15
468,2020-04-13,20.27,20.395,19.75,20.02
467,2020-04-09,19.82,20.84,19.55,20.59
466,2020-04-08,18.8,19.49,18.17,19.32
465,2020-04-07,18.9,19.85,18.06,18.4
