,Date,Open,High,Low,Close
5314,2020-12-14,72.23,72.425,68.29,68.51
5313,2020-12-11,73.5,73.76,72.0,72.07
5312,2020-12-10,72.54,73.98,71.59,73.01
5311,2020-12-09,72.12,73.52,72.12,73.1
5310,2020-12-08,71.37,72.4,71.185,71.73
5309,2020-12-07,70.79,71.62,70.38,71.51
5308,2020-12-04,69.58,71.67,69.34,70.73
5307,2020-12-03,68.6,69.785,68.0,69.37
5306,2020-12-02,69.83,69.86,68.22,68.57
5305,2020-12-01,69.42,70.476,68.95,69.96
5304,2020-11-30,69.73,70.2,67.91,68.34
5303,2020-11-27,69.84,70.11,69.23,69.93
5302,2020-11-25,70.06,70.3193,68.77,69.69
5301,2020-11-24,69.14,70.92,68.2418,70.63
5300,2020-11-23,67.62,68.96,67.32,68.91
5299,2020-11-20,68.16,68.3899,66.63,66.88
5298,2020-11-19,67.64,69.01,66.92,68.22
5297,2020-11-18,67.94,68.73,67.27,67.58
5296,2020-11-17,68.67,68.87,67.06,67.39
5295,2020-11-16,70.0,70.19,68.7,69.35
5294,2020-11-13,67.62,69.28,67.1,68.94
5293,2020-11-12,66.97,67.58,66.07,67.07
5292,2020-11-11,66.935,67.8,64.75,67.54
5291,2020-11-10,65.86,68.41,65.68,66.58
5290,2020-11-09,68.87,70.315,65.4,65.49
5289,2020-11-06,64.7,65.99,64.1,65.12
5288,2020-11-05,65.07,66.26,64.45,64.49
5287,2020-11-04,65.97,66.3,61.74,63.46
5286,2020-11-03,66.95,68.27,65.97,67.32
5285,2020-11-02,63.65,66.94,62.775,66.45
5284,2020-10-30,61.9,63.37,60.94,62.43
5283,2020-10-29,59.87,64.25,59.6,62.66
5282,2020-10-28,59.31,61.31,58.93,60.88
5281,2020-10-27,61.63,61.98,60.31,60.77
5280,2020-10-26,61.36,61.51,60.35,61.14
5279,2020-10-23,61.6,62.47,61.105,62.27
5278,2020-10-22,61.7,62.275,60.96,61.12
5277,2020-10-21,62.26,63.57,61.45,61.57
5276,2020-10-20,62.04,64.14,61.85,63.04
5275,2020-10-19,62.35,63.89,61.17,61.89
5274,2020-10-16,62.1,62.53,61.7215,61.98
5273,2020-10-15,59.84,62.4,59.7516,62.05
5272,2020-10-14,60.68,61.34,59.67,60.82
5271,2020-10-13,60.74,60.97,60.23,60.37
5270,2020-10-12,60.0,61.68,59.77,61.34
5269,2020-10-09,59.2,59.36,58.18,59.23
5268,2020-10-08,58.56,59.25,57.81,59.0
5267,2020-10-07,57.33,58.89,57.3,58.36
5266,2020-10-06,57.08,57.792,56.2407,56.74
5265,2020-10-05,55.55,57.66,55.55,56.9
5264,2020-10-02,52.73,55.83,52.65,55.2
5263,2020-10-01,53.42,53.97,52.6097,53.56
5262,2020-09-30,52.7,54.12,52.39,52.86
5261,2020-09-29,52.61,53.32,52.4501,52.74
5260,2020-09-28,52.49,53.1,51.92,52.89
5259,2020-09-25,51.01,51.97,50.59,51.71
5258,2020-09-24,51.03,52.01,50.08,51.42
5257,2020-09-23,51.14,52.66,50.55,51.29
5256,2020-09-22,49.17,50.39,49.125,50.08
5255,2020-09-21,50.85,50.85,48.53,49.22
5254,2020-09-18,52.43,53.1,51.655,51.9
5253,2020-09-17,51.81,53.36,51.37,52.58
5252,2020-09-16,52.35,52.99,51.98,52.53
5251,2020-09-15,52.35,52.46,51.53,51.99
5250,2020-09-14,52.08,52.37,51.13,52.26
5249,2020-09-11,51.58,52.35,51.2799,51.56
5248,2020-09-10,52.49,52.5128,50.85,51.16
5247,2020-09-09,52.03,52.94,51.76,52.23
5246,2020-09-08,51.27,52.06,50.53,51.36
5245,2020-09-04,52.21,52.84,51.35,51.98
5244,2020-09-03,53.24,53.36,51.045,51.5
5243,2020-09-02,52.68,53.61,52.105,53.34
5242,2020-09-01,51.19,52.87,50.77,52.57
5241,2020-08-31,51.08,51.79,50.48,51.25
5240,2020-08-28,51.16,51.41,50.76,51.39
5239,2020-08-27,51.38,51.815,50.94,51.0
5238,2020-08-26,51.14,51.7,50.59,51.43
5237,2020-08-25,51.24,51.45,50.48,51.14
5236,2020-08-24,49.97,50.955,49.91,50.9
5235,2020-08-21,49.68,50.25,49.455,49.58
5234,2020-08-20,49.27,50.3,48.92,49.77
5233,2020-08-19,50.27,50.56,49.69,49.85
5232,2020-08-18,50.73,50.94,49.44,50.34
5231,2020-08-17,49.78,51.14,49.7,50.79
5230,2020-08-14,48.96,49.62,48.87,49.45
5229,2020-08-13,49.04,50.095,48.92,49.27
5228,2020-08-12,50.5,50.93,48.82,49.48
5227,2020-08-11,48.91,50.44,48.86,49.86
5226,2020-08-10,46.37,48.27,46.35,48.2
5225,2020-08-07,45.65,46.38,44.89,46.36
5224,2020-08-06,44.0,47.63,43.4,45.43
5223,2020-08-05,41.83,42.98,41.76,42.78
5222,2020-08-04,41.11,41.74,41.1,41.53
5221,2020-08-03,40.29,41.48,40.14,41.2
5220,2020-07-31,39.97,40.32,39.2013,39.97
5219,2020-07-30,40.59,40.6,39.92,40.12
5218,2020-07-29,40.16,41.25,40.11,41.15
5217,2020-07-28,41.04,41.11,39.95,39.97
5216,2020-07-27,40.56,41.15,40.07,41.08
5215,2020-07-24,41.34,41.34,40.54,40.68
5214,2020-07-23,40.79,41.6061,40.76,41.12
5213,2020-07-22,40.35,41.1,40.35,40.92
5212,2020-07-21,40.52,41.05,40.48,40.64
5211,2020-07-20,40.2,40.76,40.12,40.14
5210,2020-07-17,40.2,41.02,40.2,40.54
5209,2020-07-16,40.07,40.57,39.5,40.03
5208,2020-07-15,38.91,40.29,38.73,40.02
5207,2020-07-14,37.17,38.37,37.04,38.33
5206,2020-07-13,37.13,38.15,36.84,37.31
5205,2020-07-10,35.98,36.92,35.98,36.8
5204,2020-07-09,37.21,37.5,35.89,36.16
5203,2020-07-08,38.37,38.6,36.62,37.35
5202,2020-07-07,38.69,39.11,38.29,38.49
5201,2020-07-06,39.16,39.47,38.77,39.0
5200,2020-07-02,39.2,39.72,38.79,38.87
5199,2020-07-01,39.38,39.57,38.29,38.34
5198,2020-06-30,38.99,39.34,38.75,39.23
5197,2020-06-29,39.05,39.3608,38.81,39.12
5196,2020-06-26,38.71,38.83,38.03,38.64
5195,2020-06-25,37.66,38.98,37.43,38.95
5194,2020-06-24,38.98,39.17,37.96,37.96
5193,2020-06-23,40.0,40.83,39.46,39.51
5192,2020-06-22,38.31,39.33,37.85,39.23
5191,2020-06-19,39.11,39.28,38.25,38.71
5190,2020-06-18,38.5,38.99,38.29,38.36
5189,2020-06-17,39.07,39.68,38.74,38.92
5188,2020-06-16,39.96,40.5,38.5,38.76
5187,2020-06-15,35.73,38.35,35.36,38.06
5186,2020-06-12,38.31,38.43,35.98,37.05
5185,2020-06-11,38.28,38.63,36.73,36.79
5184,2020-06-10,41.49,41.49,39.62,39.67
5183,2020-06-09,42.4,42.45,41.47,41.53
5182,2020-06-08,42.77,43.51,42.69,43.31
5181,2020-06-05,41.99,42.99,41.99,42.39
5180,2020-06-04,40.09,41.02,39.74,41.02
5179,2020-06-03,40.0,40.84,39.92,40.39
5178,2020-06-02,38.36,39.72,38.3,39.6
5177,2020-06-01,36.98,38.12,36.77,37.93
5176,2020-05-29,36.16,37.13,35.88,36.93
5175,2020-05-28,37.95,37.99,36.54,36.61
5174,2020-05-27,37.17,37.69,36.51,37.28
5173,2020-05-26,35.39,36.48,35.25,36.28
5172,2020-05-22,33.82,34.28,33.82,34.25
5171,2020-05-21,33.5,34.06,33.32,33.85
5170,2020-05-20,33.62,33.97,33.31,33.54
5169,2020-05-19,33.17,33.81,32.63,33.0
5168,2020-05-18,32.74,33.67,32.41,33.39
5167,2020-05-15,30.57,31.56,30.32,31.34
5166,2020-05-14,29.7,30.96,28.71,30.91
5165,2020-05-13,31.56,31.83,29.92,30.33
5164,2020-05-12,33.09,33.51,31.83,31.91
5163,2020-05-11,33.99,34.13,32.96,32.97
5162,2020-05-08,33.66,34.5,33.63,34.36
5161,2020-05-07,34.39,35.78,33.03,33.21
5160,2020-05-06,35.08,35.36,33.87,33.91
5159,2020-05-05,35.23,35.78,34.9,34.97
5158,2020-05-04,34.5,34.75,33.85,34.73
5157,2020-05-01,35.73,36.07,34.54,34.97
5156,2020-04-30,36.11,36.53,35.6,36.36
5155,2020-04-29,38.0,38.15,36.44,36.53
5154,2020-04-28,35.94,37.2,35.87,37.12
5153,2020-04-27,34.06,35.14,33.85,34.96
5152,2020-04-24,33.68,34.12,33.34,33.98
5151,2020-04-23,33.53,34.23,33.24,33.37
5150,2020-04-22,33.29,33.41,32.6,33.09
5149,2020-04-21,33.45,34.01,32.41,32.44
5148,2020-04-20,34.0,34.69,33.4,33.64
5147,2020-04-17,33.4,34.97,33.34,34.91
5146,2020-04-16,32.53,32.8,31.65,32.65
5145,2020-04-15,32.56,33.04,32.12,32.55
5144,2020-04-14,33.18,34.14,32.69,33.7
5143,2020-04-13,33.43,33.45,32.08,32.32
5142,2020-04-09,34.18,34.97,32.74,33.55
5141,2020-04-08,33.05,34.17,32.66,33.8
5140,2020-04-07,34.01,34.32,32.49,32.58
5139,2020-04-06,31.68,33.31,31.68,33.13
5138,2020-04-03,30.86,31.0,29.86,30.56
5137,2020-04-02,30.76,32.21,30.31,30.82
5136,2020-04-01,30.28,30.97,29.52,30.79
5135,2020-03-31,30.43,32.26,30.03,31.73
5134,2020-03-30,29.86,30.89,28.73,30.51
5133,2020-03-27,30.17,30.51,29.16,29.84
5132,2020-03-26,30.85,32.33,30.41,31.49
5131,2020-03-25,27.61,31.37,27.33,30.41
5130,2020-03-24,24.8,27.8,24.77,27.6
5129,2020-03-23,25.08,25.92,23.77,23.8
5128,2020-03-20,27.42,27.57,25.04,25.13
5127,2020-03-19,27.04,29.14,26.41,26.98
5126,2020-03-18,27.98,28.61,26.3,27.16
5125,2020-03-17,29.65,31.19,29.0,29.86
5124,2020-03-16,29.12,30.9,28.56,29.15
5123,2020-03-13,31.08,32.45,29.87,32.45
5122,2020-03-12,30.44,31.16,28.95,29.61
5121,2020-03-11,33.06,33.26,31.79,32.54
5120,2020-03-10,34.12,34.29,32.22,34.14
