,Date,Open,High,Low,Close
4563,2020-12-14,8.85,8.9002,8.85,8.86
4562,2020-12-11,9.09,9.09,8.88,8.89
4561,2020-12-10,9.01,9.01,8.9,8.94
4560,2020-12-09,9.0,9.03,8.91,8.95
4559,2020-12-08,8.94,9.0,8.94,8.985
4558,2020-12-07,8.72,8.95,8.71,8.94
4557,2020-12-04,8.98,9.0,8.94,8.982
4556,2020-12-03,8.98,8.99,8.94,8.98
4555,2020-12-02,8.96,8.9901,8.92,8.935
4554,2020-12-01,9.0,9.0,8.9353,8.94
4553,2020-11-30,8.92,8.96,8.8723,8.96
4552,2020-11-27,8.9,8.92,8.74,8.91
4551,2020-11-25,8.81,8.92,8.81,8.8443
4550,2020-11-24,8.8,8.83,8.79,8.81
4549,2020-11-23,8.78,8.78,8.71,8.76
4548,2020-11-20,8.69,8.7386,8.6657,8.71
4547,2020-11-19,8.7,8.74,8.7,8.73
4546,2020-11-18,8.68,8.75,8.65,8.75
4545,2020-11-17,8.73,8.73,8.67,8.7
4544,2020-11-16,8.75,8.76,8.68,8.73
4543,2020-11-13,8.82,8.82,8.74,8.74
4542,2020-11-12,8.8,8.8,8.75,8.8
4541,2020-11-11,8.7293,8.79,8.7293,8.755
4540,2020-11-10,8.72,8.78,8.67,8.71
4539,2020-11-09,8.91,8.91,8.65,8.68
4538,2020-11-06,8.7,8.75,8.66,8.73
4537,2020-11-05,8.73,8.75,8.69,8.69
4536,2020-11-04,8.6,8.73,8.6,8.68
4535,2020-11-03,8.56,8.9499,8.55,8.71
4534,2020-11-02,8.5,8.54,8.4854,8.54
4533,2020-10-30,8.51,8.51,8.46,8.46
4532,2020-10-29,8.54,8.54,8.5,8.5094
4531,2020-10-28,8.47,8.51,8.45,8.45
4530,2020-10-27,8.62,8.65,8.34,8.43
4529,2020-10-26,8.71,8.71,8.39,8.6032
4528,2020-10-23,8.7,8.74,8.66,8.66
4527,2020-10-22,8.78,8.87,8.65,8.72
4526,2020-10-21,8.69,8.77,8.67,8.7
4525,2020-10-20,8.67,8.75,8.63,8.685
4524,2020-10-19,8.66,8.66,8.64,8.64
4523,2020-10-16,8.73,8.73,8.65,8.655
4522,2020-10-15,8.74,8.75,8.69,8.73
4521,2020-10-14,8.72,8.79,8.72,8.75
4520,2020-10-13,8.8474,8.875,8.7,8.86
4519,2020-10-12,8.92,8.95,8.8,8.8547
4518,2020-10-09,8.97,8.97,8.83,8.83
4517,2020-10-08,8.9,8.9,8.84,8.86
4516,2020-10-07,8.86,8.99,8.86,8.885
4515,2020-10-06,9.06,9.06,8.82,8.89
4514,2020-10-05,9.22,9.245,9.0,9.02
4513,2020-10-02,9.17,9.17,9.1,9.12
4512,2020-10-01,9.25,9.2879,9.02,9.19
4511,2020-09-30,9.23,9.23,9.06,9.17
4510,2020-09-29,9.34,9.34,9.09,9.2
4509,2020-09-28,9.32,9.34,9.12,9.3299
4508,2020-09-25,9.21,9.35,9.21,9.3
4507,2020-09-24,9.17,9.22,9.16,9.19
4506,2020-09-23,9.26,9.26,9.15,9.15
4505,2020-09-22,9.22,9.23,9.188,9.19
4504,2020-09-21,9.2,9.25,9.1961,9.2197
4503,2020-09-18,9.3,9.3,9.16,9.16
4502,2020-09-17,9.28,9.28,9.26,9.26
4501,2020-09-16,9.27,9.35,9.08,9.35
4500,2020-09-15,9.37,9.37,9.27,9.27
4499,2020-09-14,9.24,9.34,9.2195,9.2946
4498,2020-09-11,9.24,9.24,9.1064,9.1064
4497,2020-09-10,9.19,9.24,9.1,9.12
4496,2020-09-09,9.15,9.27,9.15,9.17
4495,2020-09-08,9.24,9.29,9.24,9.25
4494,2020-09-04,9.17,9.2695,9.06,9.06
4493,2020-09-03,9.24,9.45,9.1,9.2104
4492,2020-09-02,9.4,9.4,9.2409,9.28
4491,2020-09-01,9.34,9.365,9.22,9.35
4490,2020-08-31,9.21,9.29,9.19,9.27
4489,2020-08-28,9.05,9.12,9.05,9.12
4488,2020-08-27,9.12,9.13,9.02,9.02
4487,2020-08-26,9.09,9.14,9.09,9.14
4486,2020-08-25,9.1,9.1127,9.0,9.06
4485,2020-08-24,9.13,9.22,9.05,9.05
4484,2020-08-21,9.155,9.2,9.14,9.14
4483,2020-08-20,9.16,9.23,9.12,9.14
4482,2020-08-19,9.1,9.234,9.1,9.11
4481,2020-08-18,9.12,9.1834,9.1,9.1
4480,2020-08-17,9.11,9.2741,9.11,9.11
4479,2020-08-14,9.18,9.2456,9.12,9.12
4478,2020-08-13,9.37,9.37,9.17,9.18
4477,2020-08-12,9.34,9.395,9.311,9.37
4476,2020-08-11,9.29,9.38,9.29,9.38
4475,2020-08-10,9.2101,9.29,9.21,9.25
4474,2020-08-07,9.26,9.41,9.26,9.275
4473,2020-08-06,9.2,9.49,9.1981,9.32
4472,2020-08-05,9.14,9.21,9.14,9.1796
4471,2020-08-04,9.0,9.12,9.0,9.12
4470,2020-08-03,9.09,9.14,8.995,8.9999
4469,2020-07-31,9.05,9.05,8.9,9.0
4468,2020-07-30,9.06,9.06,8.94,9.015
4467,2020-07-29,9.04,9.07,8.985,9.0
4466,2020-07-28,8.98,9.0,8.8955,8.966
4465,2020-07-27,8.98,8.98,8.935,8.935
4464,2020-07-24,8.97,8.97,8.93,8.93
4463,2020-07-23,9.01,9.1,8.88,8.91
4462,2020-07-22,9.12,9.12,8.9,8.9216
4461,2020-07-21,9.22,9.29,8.49,8.86
4460,2020-07-20,9.2,9.25,9.15,9.21
4459,2020-07-17,9.1,9.26,9.1,9.1
4458,2020-07-16,9.15,9.15,9.15,9.15
4457,2020-07-15,9.28,9.33,9.08,9.13
4456,2020-07-14,9.24,9.3,9.24,9.28
4455,2020-07-13,9.22,9.25,9.22,9.24
4454,2020-07-10,9.33,9.33,9.22,9.22
4453,2020-07-09,9.36,9.36,9.36,9.36
4452,2020-07-08,9.3,9.3,9.22,9.22
4451,2020-07-07,9.4,9.45,9.22,9.31
4450,2020-07-06,9.51,9.51,9.21,9.4
4449,2020-07-02,9.39,9.4,9.39,9.4
4448,2020-07-01,9.4,9.4,9.13,9.38
4447,2020-06-30,9.3,9.43,9.3,9.4
4446,2020-06-29,9.44,9.45,9.11,9.25
4445,2020-06-26,9.39,9.44,9.08,9.43
4444,2020-06-25,9.33,9.33,9.32,9.32
4443,2020-06-24,9.39,9.39,9.22,9.29
4442,2020-06-23,9.21,9.45,9.21,9.43
4441,2020-06-22,9.44,9.44,9.11,9.24
