,Date,Open,High,Low,Close
5314,2020-12-14,84.71,85.95,84.43,85.64
5313,2020-12-11,83.74,85.6077,83.17,84.83
5312,2020-12-10,84.51,85.44,83.3,84.23
5311,2020-12-09,85.4,87.39,83.8,84.35
5310,2020-12-08,81.58,85.69,81.0176,85.45
5309,2020-12-07,81.0512,82.6,80.19,82.06
5308,2020-12-04,81.29,82.2292,80.06,80.86
5307,2020-12-03,80.06,82.1,79.62,81.03
5306,2020-12-02,81.26,81.26,79.85,80.47
5305,2020-12-01,80.86,81.74,79.57,81.28
5304,2020-11-30,81.53,81.58,79.67,80.36
5303,2020-11-27,80.53,81.78,80.53,81.55
5302,2020-11-25,83.32,83.32,80.08,80.21
5301,2020-11-24,81.59,83.5,80.335,83.32
5300,2020-11-23,79.37,81.58,77.96,81.24
5299,2020-11-20,78.89,79.58,77.57,79.19
5298,2020-11-19,77.09,79.48,77.04,79.17
5297,2020-11-18,78.28,78.8632,77.0,77.33
5296,2020-11-17,80.19,80.98,77.94,78.39
5295,2020-11-16,80.77,81.35,79.035,79.32
5294,2020-11-13,83.14,83.64,80.42,80.98
5293,2020-11-12,82.44,84.71,81.8372,82.71
5292,2020-11-11,80.0,83.67,80.0,83.57
5291,2020-11-10,78.18,79.8899,76.6,79.67
5290,2020-11-09,80.0,81.74,76.5,77.24
5289,2020-11-06,82.33,83.85,80.6,83.52
5288,2020-11-05,78.5,82.45,77.78,82.28
5287,2020-11-04,75.05,76.39,74.66,76.11
5286,2020-11-03,75.38,75.965,73.12,74.66
5285,2020-11-02,77.06,77.55,74.76,75.51
5284,2020-10-30,77.81,79.25,75.01,76.6
5283,2020-10-29,79.89,79.89,76.12,76.42
5282,2020-10-28,77.81,80.97,77.68,79.84
5281,2020-10-27,77.94,78.81,76.56,78.56
5280,2020-10-26,76.27,79.46,76.27,77.85
5279,2020-10-23,77.33,77.51,74.72,76.74
5278,2020-10-22,76.92,78.0,76.15,77.58
5277,2020-10-21,77.08,78.01,76.05,77.56
5276,2020-10-20,77.81,78.43,76.03,77.37
5275,2020-10-19,81.73,81.8653,77.17,77.33
5274,2020-10-16,82.51,82.81,81.02,81.5
5273,2020-10-15,81.76,82.8233,81.02,82.65
5272,2020-10-14,83.48,85.46,81.93,82.48
5271,2020-10-13,80.26,83.65,79.27,82.7
5270,2020-10-12,80.14,80.96,79.67,80.14
5269,2020-10-09,81.43,82.13,79.22,79.89
