,Date,Open,High,Low,Close
2515,2020-12-14,59.82,60.03,58.6,59.22
2514,2020-12-11,60.1,60.54,59.01,59.29
2513,2020-12-10,62.5,63.18,60.45,60.83
2512,2020-12-09,64.57,64.87,62.43,62.65
2511,2020-12-08,62.9,64.6,62.1359,64.06
2510,2020-12-07,63.16,63.69,62.31,63.51
2509,2020-12-04,61.63,63.65,60.47,63.5
2508,2020-12-03,59.22,61.59,58.87,60.74
2507,2020-12-02,57.66,59.45,57.66,59.35
2506,2020-12-01,57.35,58.46,57.34,58.03
2505,2020-11-30,56.52,57.71,56.0573,57.33
2504,2020-11-27,55.12,57.98,55.12,57.42
2503,2020-11-25,50.0,55.81,50.0,54.7
2502,2020-11-24,49.36,50.13,48.54,49.69
2501,2020-11-23,48.9139,49.245,48.82,49.12
2500,2020-11-20,48.31,49.6,47.835,49.3
2499,2020-11-19,48.03,48.93,47.7,48.71
2498,2020-11-18,48.1,48.6,47.64,48.03
2497,2020-11-17,47.0,48.56,47.0,48.03
2496,2020-11-16,47.49,48.22,47.165,47.82
2495,2020-11-13,46.98,47.445,46.17,46.67
2494,2020-11-12,47.52,48.31,46.08,46.49
2493,2020-11-11,47.24,48.2,46.78,47.97
2492,2020-11-10,46.48,47.36,45.08,47.35
2491,2020-11-09,47.5,47.96,46.19,46.3
2490,2020-11-06,45.48,45.48,44.2,44.61
2489,2020-11-05,44.6,45.92,44.1,45.3
2488,2020-11-04,44.0,44.98,43.7,44.49
2487,2020-11-03,42.7,44.305,42.66,44.22
2486,2020-11-02,42.22,42.785,41.33,42.11
2485,2020-10-30,42.37,42.37,41.495,41.84
2484,2020-10-29,42.2,43.035,42.0,42.78
2483,2020-10-28,42.76,42.76,41.64,42.05
2482,2020-10-27,43.655,44.56,43.38,43.63
2481,2020-10-26,44.73,44.82,43.06,43.68
2480,2020-10-23,44.15,45.29,44.15,45.29
2479,2020-10-22,43.65,44.16,43.22,44.15
2478,2020-10-21,43.3,44.21,43.05,43.5
2477,2020-10-20,44.0,44.03,42.66,43.57
2476,2020-10-19,44.865,45.16,43.73,43.87
2475,2020-10-16,43.81,44.43,43.55,44.2
2474,2020-10-15,42.76,44.24,41.96,44.04
2473,2020-10-14,44.69,44.69,43.51,43.68
2472,2020-10-13,45.695,45.97,44.79,44.94
2471,2020-10-12,45.25,45.54,44.65,45.46
2470,2020-10-09,44.94,45.19,43.96,44.98
2469,2020-10-08,43.99,44.58,43.23,44.46
2468,2020-10-07,43.95,43.95,43.14,43.57
2467,2020-10-06,42.8,43.83,42.73,43.095
2466,2020-10-05,42.65,42.845,42.24,42.44
2465,2020-10-02,42.19,42.99,41.99,42.12
2464,2020-10-01,42.4,43.19,42.04,42.95
2463,2020-09-30,42.31,43.1,42.17,42.2
2462,2020-09-29,42.54,42.555,41.7,42.1
2461,2020-09-28,41.72,42.81,41.72,42.64
2460,2020-09-25,41.55,41.7,41.0,41.24
2459,2020-09-24,41.5,42.24,40.975,41.7
2458,2020-09-23,41.98,42.03,40.95,41.59
2457,2020-09-22,41.87,42.135,41.08,42.01
2456,2020-09-21,41.79,42.16,40.75,41.65
2455,2020-09-18,42.56,42.73,40.98,42.64
2454,2020-09-17,42.05,42.28,41.78,42.17
2453,2020-09-16,42.29,42.925,42.02,42.55
2452,2020-09-15,41.99,42.22,41.58,41.97
2451,2020-09-14,41.28,41.78,40.89,41.68
2450,2020-09-11,41.66,41.8,40.89,41.17
2449,2020-09-10,41.6,42.71,41.58,41.71
2448,2020-09-09,41.45,42.01,41.0,41.39
2447,2020-09-08,40.72,41.515,40.31,41.05
2446,2020-09-04,43.19,43.19,40.775,41.1
2445,2020-09-03,45.44,45.44,41.68,42.67
2444,2020-09-02,44.78,45.57,44.545,45.48
2443,2020-09-01,45.24,45.24,44.6,44.99
2442,2020-08-31,47.89,47.99,45.26,45.48
2441,2020-08-28,46.56,48.16,46.56,48.14
2440,2020-08-27,45.2,46.15,43.9391,46.15
2439,2020-08-26,44.01,45.16,43.54,44.5
2438,2020-08-25,44.37,44.4,43.49,44.04
2437,2020-08-24,44.55,44.61,43.68,44.18
2436,2020-08-21,44.4,44.685,43.8,44.26
2435,2020-08-20,43.48,44.83,43.48,44.41
2434,2020-08-19,43.37,43.89,43.18,43.89
2433,2020-08-18,42.2,43.42,42.18,42.95
2432,2020-08-17,42.63,43.11,42.0,42.09
2431,2020-08-14,42.4,42.8,42.0,42.53
2430,2020-08-13,42.51,42.925,42.25,42.68
2429,2020-08-12,43.02,43.915,42.33,42.63
2428,2020-08-11,42.46,43.06,39.58,42.57
2427,2020-08-10,41.57,42.44,38.8669,42.23
2426,2020-08-07,41.71,42.37,41.2,41.56
2425,2020-08-06,41.55,42.17,41.19,41.98
2424,2020-08-05,41.18,41.61,40.805,41.47
2423,2020-08-04,39.67,41.27,38.22,41.19
2422,2020-08-03,39.88,40.18,37.0245,39.85
2421,2020-07-31,40.51,40.51,38.96,39.51
2420,2020-07-30,40.97,41.0,40.25,40.6
2419,2020-07-29,40.76,41.95,40.76,41.56
2418,2020-07-28,40.88,40.96,40.35,40.46
2417,2020-07-27,40.0,41.15,40.0,41.03
2416,2020-07-24,40.0,40.26,39.59,40.12
2415,2020-07-23,40.36,40.9358,39.5,39.94
2414,2020-07-22,41.66,42.17,40.17,40.54
2413,2020-07-21,41.84,42.71,41.5,41.91
2412,2020-07-20,40.69,42.25,40.69,41.57
2411,2020-07-17,40.49,41.47,40.36,40.95
2410,2020-07-16,41.09,41.46,40.45,40.62
2409,2020-07-15,40.77,41.69,40.77,41.2
2408,2020-07-14,39.88,40.48,39.52,39.94
2407,2020-07-13,40.46,40.91,39.62,39.67
2406,2020-07-10,40.28,40.56,39.63,40.0
2405,2020-07-09,40.74,40.86,39.7,40.27
2404,2020-07-08,39.9,40.69,39.54,40.68
2403,2020-07-07,40.61,40.97,39.47,40.07
2402,2020-07-06,42.36,42.36,40.59,41.0
2401,2020-07-02,41.99,42.62,41.43,41.74
2400,2020-07-01,41.3,41.88,40.94,41.49
2399,2020-06-30,40.26,41.77,40.26,41.28
2398,2020-06-29,39.69,40.87,39.28,40.87
2397,2020-06-26,40.9,40.9,38.48,38.98
2396,2020-06-25,40.73,41.25,40.01,41.16
2395,2020-06-24,41.6,42.1,39.92,41.08
2394,2020-06-23,41.77,42.58,41.6,42.1
2393,2020-06-22,40.82,41.67,40.77,41.16
2392,2020-06-19,42.44,42.69,41.11,41.18
2391,2020-06-18,41.74,41.95,41.5,41.83
2390,2020-06-17,42.89,43.04,41.82,42.12
2389,2020-06-16,43.3,44.46,42.78,43.0
2388,2020-06-15,40.47,42.98,40.11,42.57
2387,2020-06-12,42.69,42.69,40.59,41.75
2386,2020-06-11,43.41,43.68,40.84,40.97
2385,2020-06-10,45.27,45.68,44.54,44.73
2384,2020-06-09,44.65,45.68,44.25,45.19
2383,2020-06-08,46.78,46.82,45.44,45.56
2382,2020-06-05,46.42,47.6,46.2,46.67
2381,2020-06-04,45.17,45.85,44.87,45.29
2380,2020-06-03,46.17,46.59,45.31,45.8
2379,2020-06-02,45.45,45.69,44.38,45.25
2378,2020-06-01,45.5,45.8,44.31,44.94
2377,2020-05-29,45.35,45.93,44.34,45.67
2376,2020-05-28,46.15,48.33,44.63,45.08
2375,2020-05-27,44.49,45.11,43.5,44.99
2374,2020-05-26,44.34,44.34,43.3,43.96
2373,2020-05-22,42.19,42.71,41.92,42.63
2372,2020-05-21,42.69,42.8,41.79,41.95
2371,2020-05-20,40.88,42.34,40.28,42.14
2370,2020-05-19,40.83,41.29,40.11,40.28
2369,2020-05-18,40.86,41.4,40.49,40.99
2368,2020-05-15,38.77,39.69,38.52,39.66
2367,2020-05-14,38.11,39.86,37.38,39.07
2366,2020-05-13,40.26,40.41,38.33,39.0
