,Date,Open,High,Low,Close
63,2020-12-14,99.13,99.13,98.55,98.67
62,2020-12-11,98.89,98.96,98.705,98.89
61,2020-12-10,98.975,99.1327,98.51,98.73
60,2020-12-09,99.21,99.21,98.9,99.05
59,2020-12-08,99.0,99.18,99.0,99.05
58,2020-12-07,99.1,99.11,98.88,99.0
57,2020-12-04,99.0,99.23,98.91,99.06
56,2020-12-03,98.74,99.06,98.7,98.99
55,2020-12-02,98.53,98.74,98.38,98.65
54,2020-12-01,98.54,98.54,98.23,98.35
53,2020-11-30,98.84,98.84,98.18,98.23
52,2020-11-27,98.01,98.9,97.79,98.4
51,2020-11-25,99.21,99.97,99.21,99.73
50,2020-11-24,99.5,99.5,99.1902,99.39
49,2020-11-23,99.48,99.5,99.11,99.2
48,2020-11-20,99.1,99.4899,99.0,99.25
47,2020-11-19,99.26,99.26,99.1,99.15
46,2020-11-18,99.02,99.23,99.02,99.15
45,2020-11-17,99.25,99.38,99.02,99.11
44,2020-11-16,99.23,99.39,99.2,99.26
43,2020-11-13,99.185,99.37,98.94,99.2
42,2020-11-12,99.5,99.5,98.76,98.9
41,2020-11-11,99.39,99.48,98.67,98.97
40,2020-11-10,99.73,99.78,99.25,99.25
39,2020-11-09,99.84,99.85,99.12,99.35
38,2020-11-06,99.12,99.25,99.0,99.08
37,2020-11-05,98.56,99.171,98.41,99.05
36,2020-11-04,98.52,98.52,98.15,98.15
35,2020-11-03,98.0,98.12,97.86,98.0
34,2020-11-02,98.25,98.25,97.79,97.8
33,2020-10-30,98.0,98.4999,97.82,97.82
32,2020-10-29,98.32,98.6,98.0,98.15
31,2020-10-28,98.6,98.88,98.34,98.34
30,2020-10-27,99.1,99.1,98.8,98.91
29,2020-10-26,98.85,99.09,98.85,99.06
28,2020-10-23,99.1,99.16,99.0,99.12
27,2020-10-22,99.1,99.14,98.85,99.0
26,2020-10-21,99.08,99.08,98.67,99.05
25,2020-10-20,99.1,99.1,98.67,98.9
24,2020-10-19,99.96,99.97,98.56,98.98
23,2020-10-16,99.17,99.44,98.92,99.22
22,2020-10-15,99.05,99.1999,98.82,99.17
21,2020-10-14,98.9,99.2376,98.65,99.19
20,2020-10-13,99.36,99.36,98.5,98.88
19,2020-10-12,99.25,99.46,98.93,98.99
18,2020-10-09,99.44,99.98,98.76,98.76
17,2020-10-08,99.25,99.44,98.93,99.44
16,2020-10-07,98.13,99.0,98.0447,98.9
15,2020-10-06,99.25,99.25,98.42,98.65
14,2020-10-05,99.44,99.44,98.51,99.0
13,2020-10-02,98.62,99.0,98.0,98.97
12,2020-10-01,98.26,99.0,97.75,99.0
11,2020-09-30,99.28,99.72,96.925,98.5
10,2020-09-29,98.75,99.31,97.845,99.0
9,2020-09-28,95.81,98.54,95.0,98.2
8,2020-09-25,91.2,95.15,91.2,94.12
7,2020-09-24,89.5,92.98,89.2495,91.75
6,2020-09-23,93.61,94.15,88.63,89.2
5,2020-09-22,94.5,95.01,93.39,93.8
4,2020-09-21,95.01,95.99,94.025,94.21
3,2020-09-18,99.42,99.89,96.42,96.52
2,2020-09-17,100.67,100.67,99.37,99.56
1,2020-09-16,100.0,101.3,100.0,100.68
0,2020-09-15,101.25,104.246,99.9,99.9
