,Date,Open,High,Low,Close
1510,2020-12-14,61.31,62.48,61.25,61.29
1509,2020-12-11,61.28,61.53,60.36,60.56
1508,2020-12-10,60.88,61.73,60.53,61.63
1507,2020-12-09,60.16,61.52,59.92,61.32
1506,2020-12-08,59.98,60.22,59.18,60.0
1505,2020-12-07,60.39,60.83,59.53,59.98
1504,2020-12-04,59.34,60.56,59.11,60.5
1503,2020-12-03,58.34,59.11,57.91,58.82
1502,2020-12-02,57.32,58.25,56.95,58.19
1501,2020-12-01,57.3,57.66,56.23,57.37
1500,2020-11-30,58.0,58.28,56.835,56.96
1499,2020-11-27,59.3,59.57,58.27,58.47
1498,2020-11-25,59.8,59.865,58.7,59.28
1497,2020-11-24,59.66,60.6722,59.56,60.09
1496,2020-11-23,59.57,59.89,58.38,59.15
1495,2020-11-20,59.61,59.7883,58.95,58.98
1494,2020-11-19,58.76,59.58,58.51,59.51
1493,2020-11-18,59.5,59.64,58.82,59.0
1492,2020-11-17,59.96,60.17,58.66,59.47
1491,2020-11-16,58.95,60.0,58.45,59.92
1490,2020-11-13,57.36,58.39,57.0,58.11
1489,2020-11-12,57.15,57.62,56.19,56.8
1488,2020-11-11,58.61,58.61,57.2,57.41
1487,2020-11-10,58.07,58.68,57.43,58.43
1486,2020-11-09,57.74,60.25,56.96,58.08
1485,2020-11-06,54.18,54.25,53.27,53.82
1484,2020-11-05,54.88,54.88,53.46,54.05
1483,2020-11-04,54.03,54.59,53.3601,53.91
1482,2020-11-03,52.02,54.185,52.02,54.0
1481,2020-11-02,52.44,52.67,51.1173,51.76
1480,2020-10-30,52.54,53.1,51.65,52.0
1479,2020-10-29,52.42,53.62,52.22,53.02
1478,2020-10-28,52.32,52.88,51.16,52.7
1477,2020-10-27,55.0,55.57,53.115,53.41
1476,2020-10-26,56.4,56.4,54.66,55.41
1475,2020-10-23,57.48,57.505,56.115,56.78
1474,2020-10-22,56.38,57.3,56.06,57.08
1473,2020-10-21,56.5,56.73,55.8,56.45
1472,2020-10-20,56.67,57.125,56.18,56.69
1471,2020-10-19,57.72,57.99,56.09,56.24
