,Date,Open,High,Low,Close
1706,2020-12-14,8.74,8.88,8.67,8.78
1705,2020-12-11,8.53,8.67,8.5,8.66
1704,2020-12-10,8.56,8.635,8.46,8.6
1703,2020-12-09,8.6,8.71,8.51,8.55
1702,2020-12-08,8.34,8.61,8.3,8.57
1701,2020-12-07,8.55,8.6,8.3,8.39
1700,2020-12-04,7.96,8.56,7.9,8.53
1699,2020-12-03,7.8,7.94,7.72,7.93
1698,2020-12-02,7.69,7.83,7.58,7.67
1697,2020-12-01,7.53,7.8,7.457,7.77
1696,2020-11-30,7.54,7.555,7.35,7.45
1695,2020-11-27,7.42,7.575,7.42,7.56
1694,2020-11-25,7.52,7.64,7.36,7.41
1693,2020-11-24,7.52,7.6,7.44,7.52
1692,2020-11-23,7.56,7.6,7.37,7.5
1691,2020-11-20,7.47,7.66,7.24,7.57
1690,2020-11-19,7.4,7.6,7.22,7.51
1689,2020-11-18,7.31,7.48,7.28,7.4
1688,2020-11-17,7.36,7.36,7.2,7.31
1687,2020-11-16,7.13,7.46,7.13,7.37
1686,2020-11-13,7.14,7.24,6.96,7.14
1685,2020-11-12,7.18,7.24,6.96,7.12
1684,2020-11-11,7.32,7.43,7.12,7.21
1683,2020-11-10,7.43,7.43,7.05,7.32
1682,2020-11-09,7.81,7.86,7.34,7.37
1681,2020-11-06,7.82,8.2,7.21,7.42
1680,2020-11-05,9.3,9.88,9.21,9.5
1679,2020-11-04,8.91,9.34,8.88,9.25
1678,2020-11-03,9.2,9.22,9.01,9.09
1677,2020-11-02,8.94,9.1,8.82,9.07
1676,2020-10-30,9.13,9.16,8.8,8.9
1675,2020-10-29,8.81,9.23,8.71,9.15
1674,2020-10-28,8.55,8.92,8.45,8.81
1673,2020-10-27,8.76,8.89,8.7,8.72
1672,2020-10-26,8.71,8.94,8.63,8.75
1671,2020-10-23,8.73,8.93,8.62,8.86
1670,2020-10-22,8.49,8.755,8.43,8.72
1669,2020-10-21,8.45,8.64,8.39,8.47
1668,2020-10-20,8.37,8.62,8.28,8.43
1667,2020-10-19,8.39,8.54,8.26,8.31
1666,2020-10-16,8.36,8.61,8.3,8.35
1665,2020-10-15,8.55,8.65,8.22,8.37
1664,2020-10-14,8.49,8.79,8.405,8.7
1663,2020-10-13,8.44,8.63,8.35,8.46
1662,2020-10-12,8.61,8.7,8.438,8.49
1661,2020-10-09,8.49,8.95,8.49,8.63
1660,2020-10-08,8.22,8.42,8.17,8.34
1659,2020-10-07,7.91,8.08,7.87,8.07
1658,2020-10-06,8.26,8.26,7.73,7.75
1657,2020-10-05,7.85,8.16,7.8,8.12
1656,2020-10-02,7.5,7.8,7.48,7.78
1655,2020-10-01,7.44,7.71,7.33,7.71
1654,2020-09-30,7.64,7.645,7.36,7.38
1653,2020-09-29,7.55,7.57,7.32,7.55
1652,2020-09-28,7.49,7.63,7.43,7.5
1651,2020-09-25,6.95,7.36,6.91,7.36
1650,2020-09-24,7.07,7.26,6.92,7.03
1649,2020-09-23,7.37,7.51,7.12,7.14
1648,2020-09-22,7.24,7.4,7.13,7.38
1647,2020-09-21,7.16,7.22,7.04,7.2
1646,2020-09-18,7.23,7.35,7.125,7.29
1645,2020-09-17,7.13,7.31,7.13,7.17
1644,2020-09-16,7.45,7.48,7.255,7.29
1643,2020-09-15,7.7,7.7,7.36,7.41
1642,2020-09-14,7.42,7.67,7.28,7.63
1641,2020-09-11,7.55,7.65,7.36,7.36
1640,2020-09-10,7.76,7.82,7.51,7.51
1639,2020-09-09,7.59,7.805,7.5,7.74
1638,2020-09-08,7.81,7.86,7.53,7.54
1637,2020-09-04,8.26,8.27,7.82,7.94
1636,2020-09-03,8.85,8.85,8.16,8.23
1635,2020-09-02,9.04,9.06,8.63,8.83
1634,2020-09-01,8.7,9.11,8.59,9.07
1633,2020-08-31,9.16,9.16,8.65,8.71
1632,2020-08-28,9.31,9.31,9.0,9.18
1631,2020-08-27,9.39,9.4,9.23,9.28
1630,2020-08-26,9.24,9.32,9.19,9.31
1629,2020-08-25,9.22,9.2214,9.04,9.17
1628,2020-08-24,9.05,9.23,9.03,9.19
1627,2020-08-21,8.78,9.21,8.74,9.05
1626,2020-08-20,8.81,8.89,8.75,8.76
1625,2020-08-19,9.12,9.17,8.89,8.93
1624,2020-08-18,9.1,9.17,8.92,9.09
1623,2020-08-17,8.99,9.12,8.75,9.05
1622,2020-08-14,8.74,9.0,8.73,8.93
1621,2020-08-13,8.85,8.99,8.725,8.81
1620,2020-08-12,9.16,9.16,8.8,8.82
1619,2020-08-11,9.3,9.42,8.97,8.99
1618,2020-08-10,9.36,9.44,9.16,9.22
1617,2020-08-07,9.34,9.61,9.25,9.31
1616,2020-08-06,9.85,9.9,9.25,9.34
1615,2020-08-05,9.2,10.16,9.2,9.76
1614,2020-08-04,8.5,8.74,8.41,8.72
1613,2020-08-03,8.1,8.565,8.02,8.48
1612,2020-07-31,7.94,8.07,7.78,8.01
1611,2020-07-30,7.82,8.05,7.77,8.02
1610,2020-07-29,7.9,7.99,7.835,7.91
1609,2020-07-28,7.78,8.03,7.76,7.85
1608,2020-07-27,7.71,7.8,7.615,7.79
1607,2020-07-24,7.81,7.81,7.62,7.7
1606,2020-07-23,7.82,8.06,7.76,7.85
1605,2020-07-22,7.67,8.005,7.67,7.83
1604,2020-07-21,7.83,7.88,7.69,7.74
1603,2020-07-20,7.69,7.73,7.6,7.69
1602,2020-07-17,7.88,7.93,7.71,7.75
1601,2020-07-16,7.81,7.91,7.72,7.87
1600,2020-07-15,7.77,8.0,7.72,7.87
1599,2020-07-14,7.38,7.58,7.33,7.53
1598,2020-07-13,7.5,7.6,7.31,7.36
1597,2020-07-10,7.43,7.58,7.36,7.45
1596,2020-07-09,7.58,7.58,7.32,7.4
1595,2020-07-08,7.5,7.53,7.31,7.52
1594,2020-07-07,7.51,7.54,7.36,7.46
1593,2020-07-06,7.59,7.63,7.39,7.59
1592,2020-07-02,7.48,7.57,7.39,7.44
1591,2020-07-01,7.33,7.46,7.22,7.33
1590,2020-06-30,7.3,7.45,7.2,7.32
1589,2020-06-29,7.17,7.3,7.05,7.27
1588,2020-06-26,7.3,7.36,7.05,7.08
1587,2020-06-25,7.25,7.47,7.2355,7.4
1586,2020-06-24,7.38,7.49,7.29,7.29
1585,2020-06-23,7.49,7.56,7.365,7.5
1584,2020-06-22,7.41,7.45,7.33,7.38
1583,2020-06-19,7.61,7.84,7.44,7.44
1582,2020-06-18,7.31,7.68,7.31,7.55
1581,2020-06-17,7.49,7.49,7.263,7.4
1580,2020-06-16,7.63,7.6812,7.38,7.47
1579,2020-06-15,6.95,7.4,6.9,7.34
1578,2020-06-12,7.41,7.44,6.9,7.17
1577,2020-06-11,7.19,7.44,7.09,7.14
1576,2020-06-10,7.64,7.72,7.45,7.51
1575,2020-06-09,7.72,7.84,7.65,7.66
1574,2020-06-08,7.9,8.0,7.805,7.87
1573,2020-06-05,7.72,8.0,7.6,7.82
1572,2020-06-04,7.6,7.63,7.13,7.39
1571,2020-06-03,7.52,7.811,7.42,7.7
1570,2020-06-02,7.25,7.48,7.155,7.35
1569,2020-06-01,6.94,7.3,6.78,7.18
1568,2020-05-29,6.73,6.98,6.535,6.96
1567,2020-05-28,7.13,7.18,6.79,6.8
1566,2020-05-27,6.8,7.05,6.65,7.03
1565,2020-05-26,6.39,6.68,6.35,6.61
1564,2020-05-22,6.18,6.21,6.01,6.18
1563,2020-05-21,6.05,6.16,5.92,6.13
1562,2020-05-20,6.13,6.24,6.065,6.09
1561,2020-05-19,5.92,6.37,5.9,6.03
1560,2020-05-18,5.94,6.14,5.82,5.97
1559,2020-05-15,5.62,5.81,5.58,5.68
1558,2020-05-14,5.48,5.65,5.28,5.62
1557,2020-05-13,5.85,5.93,5.46,5.6
1556,2020-05-12,5.98,6.095,5.91,5.91
1555,2020-05-11,6.01,6.06,5.83,5.94
1554,2020-05-08,5.99,6.24,5.9609,6.09
1553,2020-05-07,6.0,6.11,5.95,5.96
1552,2020-05-06,6.25,6.28,5.6901,6.01
1551,2020-05-05,6.6,6.89,6.41,6.45
1550,2020-05-04,6.8,6.87,6.39,6.47
1549,2020-05-01,6.9,7.02,6.74,6.79
1548,2020-04-30,7.09,7.32,6.96,7.18
1547,2020-04-29,7.27,7.49,7.0801,7.28
1546,2020-04-28,7.05,7.21,6.76,7.04
1545,2020-04-27,6.56,6.98,6.56,6.87
1544,2020-04-24,6.38,6.65,6.36,6.53
1543,2020-04-23,6.1,6.55,6.03,6.4
1542,2020-04-22,6.13,6.18,6.01,6.1
1541,2020-04-21,5.97,6.11,5.84,5.99
1540,2020-04-20,6.14,6.24,6.0,6.15
1539,2020-04-17,6.22,6.365,6.2,6.22
1538,2020-04-16,6.25,6.41,5.95,6.09
1537,2020-04-15,6.32,6.47,6.115,6.26
1536,2020-04-14,6.35,6.67,6.35,6.52
1535,2020-04-13,6.27,6.47,6.09,6.29
1534,2020-04-09,6.57,6.84,6.42,6.52
1533,2020-04-08,6.31,6.5,6.16,6.38
1532,2020-04-07,6.44,6.61,6.2,6.23
1531,2020-04-06,5.95,6.32,5.95,6.22
1530,2020-04-03,5.93,6.1,5.6,5.72
1529,2020-04-02,5.92,6.13,5.815,5.98
1528,2020-04-01,6.26,6.275,5.73,6.01
1527,2020-03-31,6.69,6.98,6.4,6.5
1526,2020-03-30,7.03,7.04,6.65,6.81
1525,2020-03-27,6.78,7.38,6.6531,6.99
1524,2020-03-26,6.37,6.84,6.37,6.78
1523,2020-03-25,6.2,6.64,6.05,6.33
1522,2020-03-24,5.93,6.3066,5.88,6.23
1521,2020-03-23,5.71,6.11,5.55,5.73
1520,2020-03-20,5.94,6.11,5.68,5.76
1519,2020-03-19,5.17,6.18,5.17,6.02
1518,2020-03-18,5.69,5.84,5.09,5.26
1517,2020-03-17,5.94,6.065,5.64,5.93
1516,2020-03-16,4.55,6.175,4.55,5.9
1515,2020-03-13,6.76,6.88,6.48,6.75
1514,2020-03-12,6.65,6.775,5.69,6.5
1513,2020-03-11,7.13,7.29,6.85,7.03
1512,2020-03-10,7.45,7.45,6.92,7.28
1511,2020-03-09,7.52,7.57,7.24,7.26
1510,2020-03-06,7.98,8.3,7.805,7.98
1509,2020-03-05,8.18,8.33,7.99,8.12
1508,2020-03-04,8.59,8.6,8.19,8.32
1507,2020-03-03,8.95,9.02,8.29,8.52
1506,2020-03-02,8.97,8.995,8.68,8.87
1505,2020-02-28,9.05,9.25,8.79,8.95
1504,2020-02-27,9.25,9.5,9.01,9.05
1503,2020-02-26,9.47,9.54,9.19,9.43
1502,2020-02-25,9.51,9.62,9.425,9.47
1501,2020-02-24,9.62,9.82,9.485,9.5
1500,2020-02-21,9.89,10.03,9.76,9.93
1499,2020-02-20,9.81,9.94,9.65,9.81
1498,2020-02-19,9.61,9.975,9.57,9.79
1497,2020-02-18,9.8,9.84,9.55,9.59
1496,2020-02-14,10.04,10.16,9.65,9.78
1495,2020-02-13,9.45,10.46,9.33,10.06
1494,2020-02-12,10.8,10.9,10.73,10.85
1493,2020-02-11,10.65,10.99,10.51,10.8
1492,2020-02-10,10.61,10.715,10.45,10.67
1491,2020-02-07,10.51,10.79,10.39,10.63
1490,2020-02-06,10.52,10.71,10.42,10.51
1489,2020-02-05,10.37,10.535,10.27,10.46
1488,2020-02-04,10.21,10.325,9.98,10.28
1487,2020-02-03,10.1,10.2,9.99,10.17
1486,2020-01-31,10.14,10.24,10.0,10.07
1485,2020-01-30,10.01,10.25,10.01,10.24
1484,2020-01-29,10.07,10.18,10.02,10.12
1483,2020-01-28,10.31,10.37,10.04,10.08
1482,2020-01-27,10.1,10.41,10.07,10.31
1481,2020-01-24,10.52,10.62,10.19,10.33
1480,2020-01-23,10.46,10.62,10.36,10.57
1479,2020-01-22,10.51,10.58,10.32,10.53
1478,2020-01-21,10.45,10.54,10.3,10.43
1477,2020-01-17,10.63,10.63,10.34,10.5
1476,2020-01-16,10.45,10.6,10.35,10.49
1475,2020-01-15,10.22,10.49,10.17,10.37
1474,2020-01-14,10.1,10.36,10.1,10.29
1473,2020-01-13,9.85,10.21,9.81,10.17
1472,2020-01-10,9.91,9.91,9.75,9.87
1471,2020-01-09,9.92,9.96,9.77,9.93
1470,2020-01-08,9.94,10.22,9.85,9.88
1469,2020-01-07,9.7,10.06,9.7,9.92
1468,2020-01-06,9.55,9.81,9.53,9.75
1467,2020-01-03,9.67,9.79,9.65,9.66
1466,2020-01-02,9.92,9.95,9.665,9.77
1465,2019-12-31,9.44,9.93,9.38,9.86
1464,2019-12-30,9.75,9.77,9.5,9.52
1463,2019-12-27,10.09,10.165,9.73,9.78
1462,2019-12-26,10.12,10.198,9.5,10.0
1461,2019-12-24,10.0,10.18,10.0,10.15
1460,2019-12-23,10.2,10.23,9.9,10.04
1459,2019-12-20,9.93,10.28,9.71,10.17
1458,2019-12-19,10.62,10.62,9.51,9.91
1457,2019-12-18,11.08,11.42,11.06,11.17
1456,2019-12-17,10.95,11.16,10.84,11.15
1455,2019-12-16,11.09,11.32,10.92,10.93
1454,2019-12-13,10.86,11.05,10.78,11.0
1453,2019-12-12,10.78,10.97,10.72,10.9
1452,2019-12-11,10.97,11.0,10.83,10.85
1451,2019-12-10,10.94,11.01,10.81,10.92
1450,2019-12-09,10.59,10.93,10.495,10.9
1449,2019-12-06,10.64,10.66,10.3614,10.57
1448,2019-12-05,10.5,10.62,10.38,10.55
1447,2019-12-04,10.54,10.59,10.4237,10.46
1446,2019-12-03,10.4,10.54,10.36,10.54
1445,2019-12-02,10.45,10.59,10.36,10.58
1444,2019-11-29,10.52,10.55,10.41,10.43
1443,2019-11-27,10.75,10.75,10.54,10.58
1442,2019-11-26,10.6,10.82,10.56,10.69
1441,2019-11-25,10.48,10.85,10.395,10.65
1440,2019-11-22,10.33,10.5,10.2,10.46
1439,2019-11-21,10.36,10.3796,10.15,10.22
1438,2019-11-20,10.44,10.46,10.155,10.28
1437,2019-11-19,10.87,10.91,10.44,10.53
1436,2019-11-18,11.06,11.075,10.725,10.86
1435,2019-11-15,10.76,10.87,10.625,10.84
1434,2019-11-14,10.58,10.69,10.34,10.68
1433,2019-11-13,10.5,10.71,10.41,10.58
1432,2019-11-12,10.57,10.7,10.41,10.59
1431,2019-11-11,10.35,10.73,10.32,10.54
1430,2019-11-08,10.22,10.6,10.16,10.41
1429,2019-11-07,10.26,11.09,9.69,10.28
1428,2019-11-06,9.53,9.6,9.42,9.54
1427,2019-11-05,8.93,9.55,8.93,9.48
1426,2019-11-04,8.74,8.95,8.73,8.94
1425,2019-11-01,8.65,8.86,8.61,8.66
1424,2019-10-31,8.89,8.94,8.51,8.61
1423,2019-10-30,8.45,8.95,8.41,8.93
1422,2019-10-29,8.5,8.635,8.28,8.4
1421,2019-10-28,8.43,8.54,8.43,8.54
1420,2019-10-25,8.29,8.475,8.28,8.41
1419,2019-10-24,8.24,8.52,8.23,8.34
1418,2019-10-23,8.12,8.22,8.05,8.19
1417,2019-10-22,8.09,8.15,8.06,8.11
1416,2019-10-21,8.1,8.17,8.0,8.1
1415,2019-10-18,8.13,8.16,7.99,8.04
1414,2019-10-17,8.15,8.31,8.09,8.17
1413,2019-10-16,8.21,8.27,7.99,8.08
1412,2019-10-15,8.16,8.4,8.15,8.2
1411,2019-10-14,8.24,8.29,7.95,8.17
1410,2019-10-11,8.41,8.64,8.29,8.3
1409,2019-10-10,8.08,8.53,7.89,8.31
1408,2019-10-09,7.97,8.14,7.95,8.03
1407,2019-10-08,7.82,7.94,7.78,7.92
1406,2019-10-07,7.68,7.98,7.61,7.93
1405,2019-10-04,7.83,7.88,7.6768,7.7
1404,2019-10-03,7.63,7.88,7.51,7.83
1403,2019-10-02,7.89,7.91,7.45,7.66
1402,2019-10-01,7.85,8.22,7.84,7.99
1401,2019-09-30,7.65,7.86,7.62,7.82
1400,2019-09-27,7.61,7.73,7.52,7.62
1399,2019-09-26,7.61,7.72,7.535,7.6
1398,2019-09-25,7.86,7.87,7.51,7.62
1397,2019-09-24,7.95,8.06,7.82,7.85
1396,2019-09-23,7.9,8.02,7.77,7.96
1395,2019-09-20,8.06,8.19,7.91,7.96
1394,2019-09-19,8.2,8.31,8.05,8.08
1393,2019-09-18,8.22,8.26,8.09,8.21
1392,2019-09-17,8.34,8.34,8.02,8.22
1391,2019-09-16,8.12,8.54,8.12,8.37
1390,2019-09-13,8.17,8.28,8.1,8.18
1389,2019-09-12,8.18,8.2,7.9,8.13
1388,2019-09-11,7.96,8.28,7.86,8.11
1387,2019-09-10,7.76,7.96,7.67,7.92
1386,2019-09-09,7.4,7.81,7.3,7.8
1385,2019-09-06,7.48,7.515,7.35,7.39
1384,2019-09-05,7.09,7.51,7.09,7.46
1383,2019-09-04,7.15,7.175,6.99,7.05
1382,2019-09-03,7.25,7.32,7.05,7.1
1381,2019-08-30,7.36,7.41,7.27,7.34
1380,2019-08-29,7.31,7.455,7.28,7.38
1379,2019-08-28,7.21,7.36,7.18,7.27
1378,2019-08-27,7.42,7.44,7.23,7.25
1377,2019-08-26,7.56,7.56,7.27,7.39
1376,2019-08-23,7.48,7.595,7.45,7.49
1375,2019-08-22,7.57,7.57,7.44,7.51
1374,2019-08-21,7.62,7.75,7.52,7.55
1373,2019-08-20,7.78,7.81,7.57,7.58
1372,2019-08-19,7.92,7.97,7.75,7.79
1371,2019-08-16,7.65,7.82,7.59,7.81
1370,2019-08-15,7.52,7.64,7.495,7.63
1369,2019-08-14,7.65,7.66,7.37,7.5
1368,2019-08-13,7.47,7.91,7.47,7.59
1367,2019-08-12,7.53,7.92,7.46,7.5
1366,2019-08-09,7.6,7.66,7.35,7.47
1365,2019-08-08,7.35,7.52,7.35,7.49
1364,2019-08-07,7.8,8.16,6.92,7.27
1363,2019-08-06,10.17,10.26,10.03,10.15
1362,2019-08-05,10.3,10.32,10.15,10.17
1361,2019-08-02,10.45,10.54,10.36,10.5
1360,2019-08-01,10.6,10.7,10.38,10.48
1359,2019-07-31,10.78,10.89,10.42,10.52
1358,2019-07-30,10.83,11.03,10.64,10.78
1357,2019-07-29,10.84,10.93,10.41,10.55
1356,2019-07-26,10.99,11.12,10.89,10.89
1355,2019-07-25,11.13,11.18,10.88,10.94
1354,2019-07-24,11.02,11.18,10.98,11.13
1353,2019-07-23,11.13,11.13,10.99,11.04
1352,2019-07-22,11.13,11.16,10.98,11.06
1351,2019-07-19,11.16,11.28,11.05,11.1
1350,2019-07-18,11.23,11.26,11.09,11.16
1349,2019-07-17,11.32,11.42,11.17,11.26
1348,2019-07-16,11.34,11.46,11.27,11.33
1347,2019-07-15,11.32,11.4,11.18,11.33
1346,2019-07-12,11.79,11.815,11.24,11.32
1345,2019-07-11,11.8,11.99,11.71,11.74
1344,2019-07-10,11.77,11.88,11.69,11.85
1343,2019-07-09,11.19,11.81,11.19,11.7
1342,2019-07-08,11.48,11.48,11.16,11.26
1341,2019-07-05,11.22,11.63,11.22,11.53
1340,2019-07-03,11.0,11.44,10.92,11.32
1339,2019-07-02,10.82,11.01,10.82,10.94
1338,2019-07-01,10.9,11.04,10.84,10.85
1337,2019-06-28,10.72,10.87,10.57,10.74
1336,2019-06-27,10.52,10.82,10.24,10.73
1335,2019-06-26,10.45,10.61,10.45,10.52
1334,2019-06-25,10.67,10.67,10.35,10.43
1333,2019-06-24,10.55,10.74,10.5,10.63
1332,2019-06-21,10.86,10.95,10.44,10.55
1331,2019-06-20,11.12,11.18,10.93,10.95
1330,2019-06-19,11.08,11.1,10.94,11.05
1329,2019-06-18,11.07,11.2,10.97,11.06
1328,2019-06-17,11.01,11.11,10.93,10.97
1327,2019-06-14,10.97,11.12,10.9,11.01
1326,2019-06-13,10.9,11.06,10.85,10.99
1325,2019-06-12,10.72,10.885,10.61,10.81
1324,2019-06-11,10.93,11.11,10.68,10.73
1323,2019-06-10,10.59,10.94,10.585,10.83
1322,2019-06-07,10.64,10.65,10.46,10.55
1321,2019-06-06,10.94,10.94,10.51,10.62
1320,2019-06-05,10.98,11.0,10.8,10.88
1319,2019-06-04,10.63,11.07,10.63,10.94
1318,2019-06-03,10.59,10.61,10.42,10.53
1317,2019-05-31,10.39,10.61,10.39,10.57
1316,2019-05-30,10.4,10.55,10.35,10.51
1315,2019-05-29,10.64,10.64,10.335,10.39
1314,2019-05-28,10.59,10.86,10.59,10.72
1313,2019-05-24,10.33,10.64,10.32,10.58
1312,2019-05-23,10.41,10.48,10.18,10.29
1311,2019-05-22,10.37,10.475,10.32,10.36
1310,2019-05-21,10.43,10.62,10.41,10.47
1309,2019-05-20,10.34,10.58,10.27,10.41
1308,2019-05-17,10.4,10.6,10.375,10.44
1307,2019-05-16,10.45,10.7,10.3796,10.53
1306,2019-05-15,10.21,10.52,10.15,10.43
1305,2019-05-14,10.2,10.38,10.1,10.25
1304,2019-05-13,10.12,10.24,10.07,10.21
1303,2019-05-10,10.17,10.4,10.17,10.35
1302,2019-05-09,10.39,10.39,10.0,10.25
1301,2019-05-08,10.3,10.665,9.7,10.4
1300,2019-05-07,9.61,9.7,9.55,9.64
1299,2019-05-06,9.48,9.8,9.48,9.73
1298,2019-05-03,9.4,9.69,9.37,9.67
1297,2019-05-02,9.24,9.36,9.14,9.31
1296,2019-05-01,9.35,9.37,9.19,9.23
1295,2019-04-30,9.54,9.5865,9.21,9.29
1294,2019-04-29,9.62,9.71,9.46,9.51
1293,2019-04-26,9.37,9.64,9.31,9.59
1292,2019-04-25,9.25,9.4,9.13,9.37
1291,2019-04-24,9.33,9.4,9.24,9.28
1290,2019-04-23,9.24,9.43,9.17,9.32
1289,2019-04-22,9.5,9.5,9.145,9.26
1288,2019-04-18,9.34,9.625,9.25,9.5
1287,2019-04-17,9.51,9.64,9.15,9.37
1286,2019-04-16,9.05,9.16,8.92,9.06
