,Date,Open,High,Low,Close
262,2020-12-14,25.3,25.3,25.05,25.1
261,2020-12-11,25.15,25.28,25.07,25.24
260,2020-12-10,25.09,25.19,24.98,25.1837
259,2020-12-09,25.05,25.13,25.0444,25.06
258,2020-12-08,25.1,25.2,25.03,25.14
257,2020-12-07,25.04,25.1036,25.01,25.1
256,2020-12-04,25.02,25.1,24.98,25.1
255,2020-12-03,24.98,25.05,24.9,25.02
254,2020-12-02,25.0,25.09,24.96,24.96
253,2020-12-01,24.98,25.04,24.9,25.04
252,2020-11-30,24.78,24.99,24.686,24.9
251,2020-11-27,25.07,25.07,25.01,25.02
250,2020-11-25,25.02,25.07,25.01,25.01
249,2020-11-24,25.06,25.06,25.0,25.02
248,2020-11-23,24.95,25.06,24.9,25.05
247,2020-11-20,24.93,24.97,24.78,24.9
246,2020-11-19,24.74,24.97,24.69,24.84
245,2020-11-18,24.9,25.0,24.62,24.74
244,2020-11-17,24.89,24.99,24.75,24.85
243,2020-11-16,24.96,25.01,24.84,24.89
242,2020-11-13,24.67,24.96,24.52,24.85
241,2020-11-12,24.79,24.83,24.42,24.67
240,2020-11-11,24.64,24.77,24.59,24.72
239,2020-11-10,24.6,24.7,24.49,24.58
238,2020-11-09,24.62,24.85,24.5294,24.61
237,2020-11-06,24.45,24.5,24.35,24.4
236,2020-11-05,24.2,24.49,24.12,24.45
235,2020-11-04,23.85,24.18,23.85,24.13
234,2020-11-03,23.73,23.96,23.72,23.82
233,2020-11-02,23.64,23.8,23.54,23.67
232,2020-10-30,23.4,23.61,23.02,23.59
231,2020-10-29,23.52,23.66,23.3,23.43
230,2020-10-28,23.64,23.82,23.48,23.62
229,2020-10-27,23.93,24.09,23.83,23.93
228,2020-10-26,23.93,24.03,23.77,23.89
227,2020-10-23,23.87,24.08,23.76,24.075
226,2020-10-22,23.7,23.7899,23.5,23.77
225,2020-10-21,23.95,23.95,23.55,23.6
224,2020-10-20,23.6,23.94,23.55,23.87
223,2020-10-19,23.38,23.66,23.3799,23.6
222,2020-10-16,23.4,23.4,23.2,23.3316
221,2020-10-15,23.18,23.35,23.1421,23.33
220,2020-10-14,23.5,23.59,23.2,23.33
219,2020-10-13,23.58,23.58,23.43,23.47
218,2020-10-12,23.41,23.55,23.345,23.49
217,2020-10-09,23.32,23.36,23.1721,23.27
216,2020-10-08,23.19,23.366,23.1845,23.27
215,2020-10-07,23.07,23.185,23.06,23.1
214,2020-10-06,23.17,23.29,22.8634,22.95
213,2020-10-05,22.92,23.19,22.9,23.13
212,2020-10-02,22.48,22.86,22.48,22.76
211,2020-10-01,22.34,22.95,22.33,22.71
210,2020-09-30,22.33,22.54,22.16,22.25
209,2020-09-29,22.34,22.36,22.15,22.25
208,2020-09-28,22.5,22.66,22.27,22.27
207,2020-09-25,22.21,22.68,22.15,22.29
206,2020-09-24,22.46,22.87,21.95,22.12
205,2020-09-23,23.69,23.78,22.375,22.38
204,2020-09-22,23.79,23.97,23.6,23.69
203,2020-09-21,23.84,23.84,23.27,23.75
202,2020-09-18,23.94,23.97,23.88,23.94
201,2020-09-17,23.89,24.05,23.6502,23.8198
200,2020-09-16,24.1,24.26,23.92,23.93
199,2020-09-15,23.98,24.1269,23.58,24.04
198,2020-09-14,23.98,24.1,23.8415,23.98
197,2020-09-11,23.85,23.95,23.8,23.91
196,2020-09-10,23.72,23.85,23.71,23.74
195,2020-09-09,23.66,23.7894,23.57,23.7
194,2020-09-08,23.5,23.65,23.4023,23.57
193,2020-09-04,23.73,23.7665,23.2001,23.5
192,2020-09-03,24.15,24.3,23.7,23.74
191,2020-09-02,24.15,24.21,24.05,24.12
190,2020-09-01,24.09,24.36,24.09,24.11
189,2020-08-31,24.2,24.23,23.93,24.09
188,2020-08-28,24.47,24.488,24.33,24.44
187,2020-08-27,24.51,24.59,24.33,24.39
186,2020-08-26,24.51,24.59,24.4,24.42
185,2020-08-25,24.6,24.6,24.39,24.47
184,2020-08-24,24.27,24.46,24.27,24.46
183,2020-08-21,24.25,24.3,23.94,24.21
182,2020-08-20,24.09,24.25,24.04,24.25
181,2020-08-19,23.87,24.17,23.83,24.1
180,2020-08-18,23.72,23.924,23.6,23.74
179,2020-08-17,23.66,23.81,23.53,23.65
178,2020-08-14,23.6,23.635,23.44,23.61
177,2020-08-13,23.51,23.7063,23.51,23.59
176,2020-08-12,23.55,23.76,23.38,23.5
175,2020-08-11,23.35,23.61,23.2622,23.33
174,2020-08-10,22.95,23.47,22.91,23.18
173,2020-08-07,22.94,22.94,22.8,22.9
172,2020-08-06,22.96,23.0,22.82,22.86
171,2020-08-05,22.95,22.99,22.875,22.92
170,2020-08-04,23.0,23.17,22.73,22.85
169,2020-08-03,22.78,23.22,22.78,23.0
168,2020-07-31,22.75,22.88,22.58,22.68
167,2020-07-30,22.58,22.945,22.3,22.68
166,2020-07-29,22.01,22.65,22.0,22.65
165,2020-07-28,21.86,21.96,21.8363,21.96
164,2020-07-27,21.99,21.99,21.81,21.84
163,2020-07-24,21.88,21.96,21.77,21.88
162,2020-07-23,21.91,21.95,21.725,21.87
161,2020-07-22,21.97,22.13,21.84,21.89
160,2020-07-21,21.86,22.14,21.84,21.84
159,2020-07-20,21.83,21.922,21.75,21.84
158,2020-07-17,21.81,21.9,21.66,21.83
157,2020-07-16,21.2,21.92,21.01,21.71
156,2020-07-15,21.16,21.35,20.91,21.24
155,2020-07-14,21.25,21.25,20.86,21.15
154,2020-07-13,21.03,21.3,20.95,21.29
153,2020-07-10,20.95,21.012,20.7,20.85
152,2020-07-09,21.05,21.106,20.66,20.9
151,2020-07-08,21.05,21.29,20.802,20.95
150,2020-07-07,21.1,21.38,20.97,21.03
149,2020-07-06,20.95,21.18,20.95,21.18
148,2020-07-02,20.79,20.98,20.645,20.856
147,2020-07-01,20.58,20.905,20.52,20.63
146,2020-06-30,20.51,20.99,20.41,20.51
145,2020-06-29,20.75,20.91,20.08,20.37
144,2020-06-26,21.27,21.27,20.55,20.56
143,2020-06-25,21.53,21.61,21.13,21.23
142,2020-06-24,21.48,21.48,21.1,21.4
141,2020-06-23,21.41,21.77,21.17,21.463
140,2020-06-22,21.8,21.9,21.14,21.17
139,2020-06-19,21.68,21.95,21.61,21.63
138,2020-06-18,21.2,21.5,21.11,21.45
137,2020-06-17,21.65,22.06,21.0,21.09
136,2020-06-16,21.93,22.35,21.47,21.47
135,2020-06-15,21.11,21.85,20.55,21.771
134,2020-06-12,21.63,22.0,21.02,21.15
133,2020-06-11,22.2,22.211,21.0,21.22
132,2020-06-10,22.17,22.579,22.04,22.52
131,2020-06-09,22.0,22.26,21.81,22.1
130,2020-06-08,22.49,22.7,22.0,22.19
129,2020-06-05,22.52,22.62,22.2,22.2
128,2020-06-04,22.13,22.31,22.03,22.21
127,2020-06-03,22.1,22.59,22.0,22.13
126,2020-06-02,21.54,21.98,21.54,21.89
125,2020-06-01,21.06,21.54,21.06,21.54
124,2020-05-29,21.16,21.28,20.93,20.95
123,2020-05-28,21.79,22.12,21.28,21.4
122,2020-05-27,21.11,21.81,20.99,21.73
121,2020-05-26,20.23,20.9,20.23,20.9
120,2020-05-22,19.91,19.97,19.8,19.97
119,2020-05-21,19.78,20.005,19.73,19.77
118,2020-05-20,19.8,20.04,19.63,19.73
117,2020-05-19,19.71,19.86,19.6,19.62
116,2020-05-18,19.81,19.93,19.58,19.66
115,2020-05-15,19.47,19.78,19.35,19.4
114,2020-05-14,19.7,19.93,18.96,19.33
113,2020-05-13,20.43,20.43,19.54,19.75
112,2020-05-12,20.5,20.57,20.36,20.36
111,2020-05-11,20.61,20.77,20.14,20.43
110,2020-05-08,20.3,20.6,20.15,20.5
109,2020-05-07,20.06,20.43,20.06,20.18
108,2020-05-06,20.15,20.19,19.85,20.01
107,2020-05-05,19.87,20.195,19.76,20.104
106,2020-05-04,19.85,19.89,19.5,19.7
105,2020-05-01,19.59,20.0,19.4,19.811
104,2020-04-30,20.55,20.63,19.57,19.71
103,2020-04-29,20.34,20.55,20.28,20.42
102,2020-04-28,20.58,20.69,20.01,20.01
101,2020-04-27,20.41,20.66,20.2,20.5
100,2020-04-24,20.4,20.4,20.2,20.35
99,2020-04-23,19.44,20.29,19.29,20.19
98,2020-04-22,19.04,19.6,19.04,19.15
97,2020-04-21,19.6,19.6,18.5,18.813
96,2020-04-20,20.42,20.42,19.56,19.624
95,2020-04-17,20.55,20.803,20.16,20.42
94,2020-04-16,20.6,20.6,20.02,20.102
93,2020-04-15,20.2,20.39,19.02,20.09
92,2020-04-14,19.65,20.289,18.98,20.2
91,2020-04-13,19.53,19.7,18.4,19.4
90,2020-04-09,17.79,20.37,17.79,19.18
89,2020-04-08,17.4,18.281,17.0,17.56
88,2020-04-07,17.36,17.99,16.75,17.23
87,2020-04-06,16.02,17.36,16.02,16.69
86,2020-04-03,15.99,15.99,14.87,15.35
85,2020-04-02,16.0,16.1,15.13,15.7
84,2020-04-01,17.7,17.839,15.54,16.06
83,2020-03-31,18.38,18.84,17.98,17.98
82,2020-03-30,18.67,18.67,17.37,18.04
81,2020-03-27,19.18,19.18,17.876,17.9
80,2020-03-26,18.3,20.7,18.2,19.02
79,2020-03-25,15.26,19.5,15.26,18.83
78,2020-03-24,14.9,16.54,14.51,15.13
77,2020-03-23,15.44,15.44,13.65,14.4
76,2020-03-20,15.73,17.715,14.3,14.94
75,2020-03-19,11.32,15.43,10.82,15.27
74,2020-03-18,17.42,17.457,8.07,10.82
73,2020-03-17,20.05,20.57,17.886,17.92
72,2020-03-16,19.29,20.84,17.95,19.77
71,2020-03-13,18.21,20.0,17.8,19.76
70,2020-03-12,22.28,22.28,17.05,17.07
69,2020-03-11,23.8,23.8,22.33,22.77
68,2020-03-10,23.98,24.19,23.46,23.8
67,2020-03-09,23.67,23.67,21.872,23.18
66,2020-03-06,24.64,24.72,24.252,24.43
65,2020-03-05,24.98,25.11,24.8,24.8
64,2020-03-04,24.86,25.32,24.7,25.12
63,2020-03-03,24.7,25.076,24.301,24.59
62,2020-03-02,24.39,24.75,24.0,24.59
61,2020-02-28,24.08,24.25,23.91,23.92
60,2020-02-27,24.48,24.8,23.79,24.21
59,2020-02-26,25.22,25.302,24.6,24.92
58,2020-02-25,25.64,25.75,24.99,25.01
57,2020-02-24,25.75,25.85,25.54,25.54
