,Date,Open,High,Low,Close
564,2020-12-14,25.54,25.75,25.5,25.6
563,2020-12-11,25.54,25.555,25.5174,25.54
562,2020-12-10,25.45,25.6,25.385,25.5
561,2020-12-09,25.54,25.6,25.42,25.4684
560,2020-12-08,25.77,25.77,25.51,25.52
559,2020-12-07,25.53,25.8,25.53,25.72
558,2020-12-04,25.63,25.71,25.52,25.63
557,2020-12-03,25.8,25.8,25.52,25.66
556,2020-12-02,26.02,26.03,25.785,25.89
555,2020-12-01,25.84,25.93,25.72,25.93
554,2020-11-30,25.61,25.7,25.51,25.7
553,2020-11-27,25.68,25.78,25.67,25.74
552,2020-11-25,25.93,25.93,25.71,25.71
551,2020-11-24,26.0,26.0,25.91,25.92
550,2020-11-23,25.87,26.05,25.8131,25.91
549,2020-11-20,25.8,25.98,25.8,25.88
548,2020-11-19,25.5,26.03,25.5,25.8
547,2020-11-18,25.61,25.7937,25.59,25.6
546,2020-11-17,25.74,26.01,25.69,25.69
545,2020-11-16,26.05,26.1,25.859,26.03
544,2020-11-13,25.58,26.48,25.5393,26.48
543,2020-11-12,25.73,25.73,25.3,25.58
542,2020-11-11,25.55,25.6112,25.55,25.57
541,2020-11-10,25.38,25.46,25.31,25.43
540,2020-11-09,25.6,25.6,25.27,25.27
539,2020-11-06,25.4,25.57,25.4,25.41
538,2020-11-05,25.4,25.45,25.29,25.29
537,2020-11-04,25.47,25.55,25.15,25.43
536,2020-11-03,25.21,25.53,25.21,25.23
535,2020-11-02,24.95,25.24,24.8901,25.18
534,2020-10-30,24.79,24.97,24.4,24.93
533,2020-10-29,24.84,25.0705,24.62,24.67
532,2020-10-28,25.02,25.1,24.8504,24.88
531,2020-10-27,25.19,25.26,25.07,25.07
530,2020-10-26,25.38,25.38,25.06,25.06
529,2020-10-23,25.31,25.55,25.12,25.5
528,2020-10-22,25.045,25.2582,25.03,25.25
527,2020-10-21,25.26,25.2965,25.02,25.02
526,2020-10-20,25.25,25.4,25.25,25.3058
525,2020-10-19,25.29,25.31,25.25,25.31
524,2020-10-16,25.36,25.38,25.27,25.3
523,2020-10-15,25.0,25.27,25.0,25.27
522,2020-10-14,25.4,25.4,25.0,25.045
521,2020-10-13,25.28,25.4,25.27,25.4
520,2020-10-12,25.26,25.3,25.17,25.2999
519,2020-10-09,25.22,25.32,25.0,25.32
518,2020-10-08,25.17,25.2,24.9409,25.11
517,2020-10-07,25.07,25.25,25.0301,25.07
516,2020-10-06,25.05,25.22,24.91,25.02
515,2020-10-05,25.01,25.17,25.0,25.0
514,2020-10-02,24.84,24.95,24.76,24.915
513,2020-10-01,24.59,25.095,24.59,24.98
512,2020-09-30,24.65,24.795,24.52,24.52
511,2020-09-29,24.31,24.6035,24.22,24.6035
510,2020-09-28,24.1,24.67,24.1,24.56
509,2020-09-25,23.11,24.0999,23.11,24.01
508,2020-09-24,23.56,23.825,23.02,23.02
507,2020-09-23,24.75,24.96,23.61,23.61
506,2020-09-22,24.89,24.99,24.71,24.83
505,2020-09-21,24.88,24.99,24.493,24.99
504,2020-09-18,24.99,25.09,24.9,24.96
503,2020-09-17,24.94,25.05,24.9,24.93
502,2020-09-16,25.21,25.3975,24.95,25.02
501,2020-09-15,25.05,25.23,24.36,25.23
500,2020-09-14,25.15,25.3,25.05,25.05
499,2020-09-11,25.4,25.4,25.05,25.05
498,2020-09-10,25.15,25.3,25.15,25.3
497,2020-09-09,25.07,25.2603,25.07,25.15
496,2020-09-08,24.99,25.02,24.85,24.86
495,2020-09-04,24.99,25.2,24.52,25.18
494,2020-09-03,25.0,25.0707,24.7873,25.0
493,2020-09-02,25.11,25.11,25.0,25.1
492,2020-09-01,25.21,25.24,25.05,25.11
491,2020-08-31,24.94,25.05,24.78,25.05
490,2020-08-28,25.29,25.29,25.0,25.066
489,2020-08-27,25.2,25.31,25.125,25.27
488,2020-08-26,25.13,25.4,25.13,25.4
487,2020-08-25,25.06,25.14,25.0,25.13
486,2020-08-24,25.04,25.1,25.0,25.06
485,2020-08-21,25.0,25.01,24.73,24.94
484,2020-08-20,25.0,25.23,24.9,24.9
483,2020-08-19,25.0,25.31,24.97,25.07
482,2020-08-18,24.5,24.93,24.5,24.93
481,2020-08-17,24.6,24.7,24.41,24.64
480,2020-08-14,24.4,24.73,24.4,24.73
479,2020-08-13,24.09,24.3,24.09,24.28
478,2020-08-12,24.1,24.21,24.05,24.08
477,2020-08-11,24.2,24.29,23.86,24.08
476,2020-08-10,24.12,24.16,23.91,24.04
475,2020-08-07,23.79,23.92,23.79,23.83
474,2020-08-06,24.0,24.0,23.72,23.79
473,2020-08-05,24.4,24.4,24.07,24.12
472,2020-08-04,24.45,24.48,24.06,24.43
471,2020-08-03,24.32,24.47,24.2501,24.33
470,2020-07-31,24.0,24.3293,23.9,24.06
