,Date,Open,High,Low,Close
693,2020-12-14,30.57,32.37,30.18,32.11
692,2020-12-11,29.27,31.46,29.14,30.82
691,2020-12-10,29.36,30.295,28.93,29.56
690,2020-12-09,30.25,30.97,28.6,29.36
689,2020-12-08,27.0,29.97,27.0,29.93
688,2020-12-07,29.05,29.81,26.79,27.04
687,2020-12-04,28.01,29.11,27.92,29.05
686,2020-12-03,27.23,28.24,27.11,28.02
685,2020-12-02,26.65,27.26,26.38,27.17
684,2020-12-01,27.64,27.86,26.89,26.98
683,2020-11-30,25.68,27.36,25.48,27.23
682,2020-11-27,24.39,25.905,24.39,25.71
681,2020-11-25,25.37,25.815,24.26,24.37
680,2020-11-24,26.38,26.57,25.33,25.37
679,2020-11-23,24.74,25.97,24.16,25.76
678,2020-11-20,24.08,24.74,23.55,24.38
677,2020-11-19,23.29,24.37,23.1937,24.3
676,2020-11-18,23.4,24.2,23.0,23.28
675,2020-11-17,22.5,23.6,22.2783,23.31
674,2020-11-16,23.01,23.63,21.7,22.68
673,2020-11-13,23.07,23.26,22.19,22.6
672,2020-11-12,22.73,23.39,22.0,22.6
671,2020-11-11,22.97,23.19,22.06,22.88
670,2020-11-10,21.51,22.75,21.38,22.65
669,2020-11-09,20.62,22.16,19.86,21.53
668,2020-11-06,21.09,21.72,19.83,20.27
667,2020-11-05,21.97,22.23,19.7,20.92
666,2020-11-04,20.51,23.285,20.51,21.83
665,2020-11-03,21.13,21.49,19.48,20.78
664,2020-11-02,21.84,21.91,20.47,21.03
663,2020-10-30,23.03,23.12,21.32,21.8
662,2020-10-29,20.48,23.84,20.4,23.42
661,2020-10-28,20.26,21.08,19.55,20.5
660,2020-10-27,19.73,20.99,19.55,20.73
659,2020-10-26,19.83,20.51,19.33,19.84
658,2020-10-23,20.51,20.57,19.7206,20.14
657,2020-10-22,19.67,20.5,19.53,20.33
656,2020-10-21,19.4,19.72,19.0101,19.5
655,2020-10-20,19.36,19.49,18.51,19.34
654,2020-10-19,21.15,21.15,19.09,19.33
653,2020-10-16,20.31,21.09,20.258,21.01
652,2020-10-15,19.17,20.41,19.07,20.31
