,Date,Open,High,Low,Close
41,2020-12-14,25.375,25.375,25.375,25.375
40,2020-12-11,25.3632,25.3632,25.3632,25.3632
39,2020-12-10,25.35,25.35,25.35,25.35
38,2020-12-09,25.34,25.34,25.315,25.315
37,2020-12-08,25.4,25.4,25.395,25.395
36,2020-12-07,25.39,25.39,25.39,25.39
35,2020-12-04,25.35,25.35,25.34,25.34
34,2020-12-03,25.395,25.43,25.395,25.42
33,2020-12-02,25.33,25.3445,25.33,25.3445
32,2020-12-01,25.28,25.335,25.27,25.335
31,2020-11-30,25.33,25.33,25.33,25.33
30,2020-11-27,25.3,25.3,25.3,25.3
29,2020-11-25,25.2638,25.2638,25.2638,25.2638
28,2020-11-24,25.255,25.255,25.255,25.255
27,2020-11-23,25.27,25.27,25.21,25.225
26,2020-11-20,25.26,25.26,25.26,25.26
25,2020-11-19,25.235,25.235,25.235,25.235
24,2020-11-18,25.22,25.22,25.22,25.22
23,2020-11-17,25.19,25.19,25.19,25.19
22,2020-11-16,25.16,25.16,25.1,25.135
21,2020-11-13,25.11,25.11,25.11,25.11
20,2020-11-12,25.14,25.14,25.12,25.125
19,2020-11-11,25.11,25.11,25.11,25.11
18,2020-11-10,25.11,25.11,25.11,25.11
17,2020-11-09,25.15,25.15,25.125,25.125
16,2020-11-06,25.095,25.095,25.095,25.095
15,2020-11-05,25.11,25.1214,25.11,25.1214
14,2020-11-04,25.0,25.065,25.0,25.065
13,2020-11-03,24.8,24.84,24.8,24.84
12,2020-11-02,24.81,24.81,24.81,24.81
11,2020-10-30,24.79,24.8,24.77,24.77
10,2020-10-29,24.83,24.83,24.8,24.8
9,2020-10-28,24.8492,24.8492,24.8492,24.8492
8,2020-10-27,24.915,24.915,24.915,24.915
7,2020-10-26,24.86,24.92,24.86,24.895
6,2020-10-23,24.88,24.895,24.87,24.895
5,2020-10-22,24.87,24.87,24.87,24.87
4,2020-10-21,24.89,24.91,24.89,24.91
3,2020-10-20,24.89,24.91,24.89,24.9
2,2020-10-19,24.93,24.93,24.89,24.89
1,2020-10-16,24.945,24.945,24.945,24.945
0,2020-10-15,24.92,24.94,24.91,24.91
