,Date,Open,High,Low,Close
5313,2020-12-14,3.73,3.73,3.697,3.73
5312,2020-12-11,3.7,3.73,3.7,3.73
5311,2020-12-10,3.72,3.74,3.7,3.7
5310,2020-12-09,3.69,3.7001,3.68,3.7
5309,2020-12-08,3.68,3.695,3.66,3.6822
5308,2020-12-07,3.7,3.7,3.67,3.7
5307,2020-12-04,3.66,3.69,3.575,3.685
5306,2020-12-03,3.65,3.6825,3.65,3.65
5305,2020-12-02,3.69,3.7,3.62,3.7
5304,2020-12-01,3.69,3.74,3.65,3.702
5303,2020-11-30,3.72,3.73,3.68,3.73
5302,2020-11-27,3.71,3.73,3.7,3.72
5301,2020-11-25,3.67,3.71,3.6,3.7
5300,2020-11-24,3.72,4.02,3.5304,3.6501
5299,2020-11-23,3.66,3.74,3.66,3.69
5298,2020-11-20,3.68,3.69,3.66,3.68
5297,2020-11-19,3.675,3.7,3.65,3.69
5296,2020-11-18,3.685,3.69,3.67,3.69
5295,2020-11-17,3.67,3.7,3.64,3.65
5294,2020-11-16,3.65,3.7,3.65,3.65
5293,2020-11-13,3.7,3.7,3.63,3.65
5292,2020-11-12,3.6575,3.6784,3.6385,3.67
5291,2020-11-11,3.65,3.7,3.62,3.62
5290,2020-11-10,3.66,3.66,3.61,3.61
5289,2020-11-09,3.66,3.73,3.62,3.6405
5288,2020-11-06,3.64,3.69,3.64,3.669
5287,2020-11-05,3.65,3.67,3.59,3.6
5286,2020-11-04,3.66,3.66,3.6,3.6
5285,2020-11-03,3.59,3.66,3.59,3.6
5284,2020-11-02,3.6,3.67,3.6,3.6103
5283,2020-10-30,3.6299,3.66,3.59,3.59
5282,2020-10-29,3.6,3.66,3.58,3.66
5281,2020-10-28,3.63,3.67,3.59,3.6
5280,2020-10-27,3.6871,3.6871,3.6,3.63
5279,2020-10-26,3.7,3.73,3.59,3.59
5278,2020-10-23,3.63,3.67,3.63,3.63
5277,2020-10-22,3.65,3.69,3.62,3.63
5276,2020-10-21,3.63,3.669,3.58,3.62
5275,2020-10-20,3.65,3.69,3.5501,3.5501
5274,2020-10-19,3.5,3.74,3.5,3.57
5273,2020-10-16,3.91,3.93,3.8094,3.8094
5272,2020-10-15,3.55,3.935,3.55,3.935
5271,2020-10-14,3.79,3.79,3.79,3.79
5270,2020-10-13,3.651,3.7775,3.6001,3.6674
5269,2020-10-12,3.5,3.97,3.45,3.755
5268,2020-10-09,3.3974,3.3974,3.3974,3.3974
5267,2020-10-08,3.41,3.441,3.35,3.3974
5266,2020-10-07,3.25,3.25,3.25,3.25
5265,2020-10-06,3.25,3.25,3.25,3.25
5264,2020-10-05,3.365,3.365,3.365,3.365
5263,2020-10-02,3.365,3.365,3.365,3.365
5262,2020-10-01,3.33,3.33,3.33,3.33
5261,2020-09-30,3.39,3.42,3.39,3.42
5260,2020-09-29,3.3,3.48,3.16,3.32
5259,2020-09-28,3.25,3.25,3.25,3.25
5258,2020-09-25,3.25,3.25,3.25,3.25
5257,2020-09-24,3.25,3.25,3.25,3.25
5256,2020-09-23,3.4,3.4,3.4,3.4
5255,2020-09-22,3.39,3.4,3.39,3.4
5254,2020-09-21,3.3,3.3,3.3,3.3
5253,2020-09-18,3.16,3.16,3.16,3.16
5252,2020-09-17,3.1373,3.4,3.1373,3.3999
5251,2020-09-16,3.37,3.37,3.29,3.3
5250,2020-09-15,3.13,3.1973,3.1,3.12
5249,2020-09-14,3.1825,3.31,3.11,3.11
5248,2020-09-11,3.31,3.31,3.31,3.31
5247,2020-09-10,3.4,3.42,3.18,3.18
5246,2020-09-09,3.36,3.39,3.12,3.12
5245,2020-09-08,3.14,3.38,3.1,3.12
5244,2020-09-04,3.3899,3.3899,3.3899,3.3899
5243,2020-09-03,3.1,3.4,3.1,3.32
5242,2020-09-02,3.06,3.24,3.06,3.09
5241,2020-09-01,3.2,3.2,3.1,3.16
5240,2020-08-31,3.28,3.28,3.2,3.2
5239,2020-08-28,3.33,3.33,3.2797,3.2797
5238,2020-08-27,3.41,3.41,3.2,3.2
5237,2020-08-26,3.3663,3.3663,3.2101,3.27
5236,2020-08-25,3.41,3.42,3.335,3.3372
5235,2020-08-24,3.37,3.43,3.25,3.32
5234,2020-08-21,3.37,3.48,3.37,3.44
5233,2020-08-20,3.5019,3.5305,3.4498,3.4838
5232,2020-08-19,3.505,3.505,3.37,3.38
5231,2020-08-18,3.6,3.6,3.25,3.41
5230,2020-08-17,3.75,3.895,3.75,3.75
5229,2020-08-14,3.7,3.7202,3.51,3.65
5228,2020-08-13,3.9785,3.9785,3.8101,3.9091
5227,2020-08-12,3.9755,4.24,3.91,3.91
5226,2020-08-11,4.4,4.4,4.0,4.0001
5225,2020-08-10,3.9,4.5399,3.9,4.3213
5224,2020-08-07,4.21,4.21,3.9,3.91
5223,2020-08-06,4.025,4.0317,3.9,4.0075
5222,2020-08-05,3.775,4.2,3.7,3.9295
5221,2020-08-04,3.68,3.7633,3.68,3.7633
5220,2020-08-03,3.68,3.785,3.68,3.6827
5219,2020-07-31,3.81,3.81,3.69,3.69
5218,2020-07-30,3.8,3.8426,3.68,3.69
5217,2020-07-29,3.9799,3.9799,3.687,3.775
5216,2020-07-28,3.8433,3.8433,3.8433,3.8433
5215,2020-07-27,3.85,3.85,3.67,3.7
5214,2020-07-24,3.71,3.71,3.64,3.67
5213,2020-07-23,4.0,4.0,3.63,3.8
5212,2020-07-22,3.7029,4.0,3.58,4.0
5211,2020-07-21,3.55,3.63,3.52,3.63
5210,2020-07-20,3.54,3.55,3.52,3.52
5209,2020-07-17,3.62,3.62,3.55,3.55
5208,2020-07-16,3.55,3.62,3.55,3.57
5207,2020-07-15,3.51,3.61,3.51,3.6
5206,2020-07-14,3.68,3.69,3.55,3.61
5205,2020-07-13,3.56,3.65,3.51,3.65
5204,2020-07-10,3.76,3.76,3.51,3.63
5203,2020-07-09,3.63,3.63,3.5,3.53
5202,2020-07-08,3.7,3.72,3.58,3.62
5201,2020-07-07,3.77,3.77,3.65,3.65
5200,2020-07-06,3.85,3.89,3.75,3.75
5199,2020-07-02,3.88,3.95,3.66,3.68
5198,2020-07-01,3.67,3.73,3.62,3.66
5197,2020-06-30,3.78,3.78,3.6,3.6
5196,2020-06-29,3.78,3.78,3.56,3.67
5195,2020-06-26,3.6482,3.8,3.56,3.58
5194,2020-06-25,3.77,3.77,3.56,3.56
5193,2020-06-24,3.69,3.75,3.53,3.72
5192,2020-06-23,3.7208,3.7208,3.7208,3.7208
5191,2020-06-22,3.99,3.99,3.63,3.84
5190,2020-06-19,3.65,4.01,3.64,3.765
5189,2020-06-18,4.25,4.25,3.5201,3.65
5188,2020-06-17,3.6417,4.35,3.6,4.05
5187,2020-06-16,3.6,3.64,3.48,3.64
5186,2020-06-15,3.64,3.64,3.46,3.63
5185,2020-06-12,3.45,3.72,3.45,3.5001
5184,2020-06-11,3.45,3.58,3.45,3.45
5183,2020-06-10,3.5998,3.6074,3.4,3.54
5182,2020-06-09,3.7,3.75,3.55,3.595
5181,2020-06-08,3.55,3.6673,3.55,3.6334
5180,2020-06-05,3.46,3.5893,3.46,3.58
5179,2020-06-04,3.5482,3.7899,3.53,3.58
5178,2020-06-03,3.4362,3.551,3.4,3.47
5177,2020-06-02,3.53,3.65,3.52,3.52
5176,2020-06-01,3.7,3.77,3.5,3.5
5175,2020-05-29,3.52,3.99,3.52,3.7
5174,2020-05-28,4.01,4.12,3.45,3.513
5173,2020-05-27,4.25,4.275,3.97,4.1201
5172,2020-05-26,4.75,4.75,3.98,4.3403
5171,2020-05-22,4.2,4.7,4.0201,4.32
5170,2020-05-21,4.6,5.27,4.17,4.185
5169,2020-05-20,3.71,3.71,3.375,3.71
5168,2020-05-19,3.66,3.66,3.45,3.45
5167,2020-05-18,3.49,3.84,3.45,3.69
5166,2020-05-15,4.4,4.5,3.24,3.7
5165,2020-05-14,3.0001,3.0001,3.0001,3.0001
5164,2020-05-13,3.16,3.16,3.0001,3.0001
5163,2020-05-12,3.16,3.1758,3.16,3.1758
5162,2020-05-11,3.31,3.31,3.1,3.1
5161,2020-05-08,2.66,3.23,2.66,3.23
5160,2020-05-07,3.15,3.15,3.15,3.15
5159,2020-05-06,3.18,3.1805,3.18,3.1805
5158,2020-05-05,3.01,3.01,3.01,3.01
5157,2020-05-04,2.94,2.94,2.94,2.94
5156,2020-05-01,2.94,2.96,2.94,2.94
5155,2020-04-30,3.17,3.17,2.65,2.8
5154,2020-04-29,2.78,3.27,2.75,3.094
5153,2020-04-28,3.01,3.22,3.01,3.207
5152,2020-04-27,3.1267,3.1267,3.1267,3.1267
5151,2020-04-24,3.1267,3.1267,3.1267,3.1267
5150,2020-04-23,3.02,3.1267,3.02,3.1267
5149,2020-04-22,3.3,3.32,3.29,3.3
