,Date,Open,High,Low,Close
1649,2020-12-14,2.2,2.2162,2.125,2.14
1648,2020-12-11,2.13,2.21,2.11,2.15
1647,2020-12-10,2.16,2.2055,2.09,2.12
1646,2020-12-09,2.2154,2.22,2.13,2.16
1645,2020-12-08,2.21,2.22,2.14,2.22
1644,2020-12-07,2.22,2.24,2.18,2.21
1643,2020-12-04,2.24,2.285,2.14,2.19
1642,2020-12-03,2.21,2.27,2.14,2.26
1641,2020-12-02,2.21,2.23,2.115,2.19
1640,2020-12-01,2.2271,2.28,2.19,2.23
1639,2020-11-30,2.28,2.31,2.2,2.22
1638,2020-11-27,2.23,2.31,2.22,2.28
1637,2020-11-25,2.17,2.24,2.17,2.21
1636,2020-11-24,2.24,2.25,2.17,2.17
1635,2020-11-23,2.29,2.3203,2.21,2.23
1634,2020-11-20,2.3,2.32,2.265,2.29
1633,2020-11-19,2.32,2.34,2.24,2.33
1632,2020-11-18,2.27,2.37,2.26,2.32
1631,2020-11-17,2.3,2.31,2.25,2.27
1630,2020-11-16,2.3,2.3383,2.29,2.31
1629,2020-11-13,2.39,2.475,2.3,2.33
1628,2020-11-12,2.38,2.425,2.34,2.4
1627,2020-11-11,2.38,2.41,2.2701,2.37
1626,2020-11-10,2.4,2.44,2.33,2.38
1625,2020-11-09,2.37,2.41,2.29,2.33
1624,2020-11-06,2.34,2.35,2.24,2.31
1623,2020-11-05,2.37,2.45,2.32,2.37
1622,2020-11-04,2.4,2.42,2.31,2.37
1621,2020-11-03,2.28,2.42,2.28,2.39
1620,2020-11-02,2.35,2.36,2.25,2.26
1619,2020-10-30,2.32,2.34,2.22,2.29
1618,2020-10-29,2.22,2.38,2.17,2.36
1617,2020-10-28,2.23,2.24,2.13,2.17
1616,2020-10-27,2.38,2.4,2.22,2.28
1615,2020-10-26,2.33,2.395,2.26,2.35
1614,2020-10-23,2.38,2.41,2.32,2.34
1613,2020-10-22,2.43,2.445,2.32,2.35
1612,2020-10-21,2.44,2.48,2.35,2.4
1611,2020-10-20,2.47,2.485,2.37,2.45
1610,2020-10-19,2.49,2.5,2.39,2.45
1609,2020-10-16,2.48,2.5,2.4,2.43
1608,2020-10-15,2.5,2.51,2.375,2.51
1607,2020-10-14,2.7,2.73,2.47,2.49
1606,2020-10-13,2.71,2.77,2.67,2.7
1605,2020-10-12,2.64,2.8,2.63,2.68
1604,2020-10-09,2.63,2.71,2.58,2.61
1603,2020-10-08,2.6,2.69,2.53,2.59
