,Date,Open,High,Low,Close
5314,2020-12-14,3.88,3.94,3.55,3.61
5313,2020-12-11,3.85,3.871,3.66,3.84
5312,2020-12-10,3.6,3.91,3.53,3.88
5311,2020-12-09,3.73,3.77,3.56,3.61
5310,2020-12-08,3.5,3.68,3.5,3.65
5309,2020-12-07,3.53,3.595,3.455,3.55
5308,2020-12-04,3.33,3.6,3.33,3.58
5307,2020-12-03,3.34,3.4116,3.2601,3.34
5306,2020-12-02,3.2,3.465,3.17,3.31
5305,2020-12-01,3.2,3.25,3.115,3.21
5304,2020-11-30,3.36,3.39,3.07,3.1
5303,2020-11-27,3.51,3.56,3.37,3.4
5302,2020-11-25,3.6,3.63,3.5,3.61
5301,2020-11-24,3.55,3.7982,3.5404,3.65
5300,2020-11-23,3.11,3.48,3.05,3.46
5299,2020-11-20,3.12,3.18,3.0,3.04
5298,2020-11-19,3.05,3.215,2.99,3.15
5297,2020-11-18,3.05,3.31,3.02,3.08
5296,2020-11-17,2.9,3.11,2.81,3.05
5295,2020-11-16,2.8,3.04,2.79,2.97
5294,2020-11-13,2.62,2.69,2.56,2.67
5293,2020-11-12,2.62,2.6884,2.55,2.59
5292,2020-11-11,2.77,2.77,2.605,2.67
5291,2020-11-10,2.71,2.79,2.61,2.73
5290,2020-11-09,2.59,2.89,2.57,2.79
5289,2020-11-06,2.38,2.43,2.32,2.33
5288,2020-11-05,2.42,2.49,2.34,2.36
5287,2020-11-04,2.51,2.6,2.35,2.4
5286,2020-11-03,2.6,2.73,2.5,2.56
5285,2020-11-02,2.48,2.56,2.4,2.55
5284,2020-10-30,2.35,2.39,2.28,2.38
5283,2020-10-29,2.35,2.38,2.23,2.34
5282,2020-10-28,2.71,2.71,2.34,2.34
5281,2020-10-27,2.64,2.69,2.57,2.65
5280,2020-10-26,2.72,2.72,2.59,2.64
5279,2020-10-23,2.77,2.86,2.72,2.76
5278,2020-10-22,2.67,2.77,2.62,2.75
5277,2020-10-21,2.68,2.72,2.625,2.67
5276,2020-10-20,2.62,2.7,2.62,2.68
5275,2020-10-19,2.64,2.7,2.56,2.59
5274,2020-10-16,2.69,2.705,2.59,2.6
5273,2020-10-15,2.62,2.76,2.575,2.74
5272,2020-10-14,2.63,2.75,2.63,2.67
5271,2020-10-13,2.69,2.71,2.56,2.62
5270,2020-10-12,2.8,2.825,2.65,2.75
5269,2020-10-09,2.96,2.98,2.81,2.82
5268,2020-10-08,2.87,2.94,2.86,2.88
5267,2020-10-07,2.81,2.855,2.75,2.82
5266,2020-10-06,2.89,2.95,2.745,2.79
5265,2020-10-05,2.8,2.89,2.79,2.85
5264,2020-10-02,2.6,2.84,2.6,2.78
5263,2020-10-01,2.6,2.72,2.56,2.71
5262,2020-09-30,2.69,2.77,2.59,2.64
5261,2020-09-29,2.64,2.7,2.51,2.69
5260,2020-09-28,2.58,2.73,2.56,2.66
5259,2020-09-25,2.5,2.56,2.42,2.52
5258,2020-09-24,2.49,2.58,2.4,2.55
5257,2020-09-23,3.01,3.01,2.52,2.52
5256,2020-09-22,2.94,3.0,2.94,2.99
5255,2020-09-21,3.1,3.13,2.895,2.95
5254,2020-09-18,3.2,3.43,3.17,3.22
5253,2020-09-17,3.08,3.205,3.065,3.19
5252,2020-09-16,3.09,3.195,3.0,3.15
5251,2020-09-15,3.03,3.18,3.025,3.07
5250,2020-09-14,2.97,3.04,2.9,3.04
5249,2020-09-11,3.09,3.1,2.95,2.99
5248,2020-09-10,3.2,3.25,3.07,3.07
5247,2020-09-09,3.32,3.35,3.15,3.19
5246,2020-09-08,3.3,3.37,3.17,3.28
5245,2020-09-04,3.29,3.37,3.2601,3.36
