,Date,Open,High,Low,Close
5314,2020-12-14,9.72,9.7323,8.94,9.06
5313,2020-12-11,9.6,9.87,9.4,9.44
5312,2020-12-10,9.48,9.82,9.33,9.75
5311,2020-12-09,9.46,9.72,9.35,9.57
5310,2020-12-08,9.2,9.44,9.025,9.3
5309,2020-12-07,10.17,10.2122,9.1742,9.22
5308,2020-12-04,9.92,10.42,9.92,10.16
5307,2020-12-03,9.21,9.88,9.05,9.8
5306,2020-12-02,8.78,9.2,8.776,9.1
5305,2020-12-01,8.85,9.42,8.7,8.78
5304,2020-11-30,9.04,9.5599,8.47,8.49
5303,2020-11-27,8.63,8.81,8.18,8.43
5302,2020-11-25,8.89,8.94,8.28,8.64
5301,2020-11-24,8.38,9.06,8.2501,9.0
5300,2020-11-23,7.49,8.2,7.46,8.11
5299,2020-11-20,7.09,7.41,7.02,7.32
5298,2020-11-19,6.9,7.41,6.83,7.2
5297,2020-11-18,7.01,7.3,6.84,6.89
5296,2020-11-17,6.61,6.96,6.5,6.87
5295,2020-11-16,6.67,6.81,6.45,6.72
5294,2020-11-13,6.15,6.3788,6.09,6.28
5293,2020-11-12,6.28,6.48,6.0,6.09
5292,2020-11-11,6.57,6.9,6.31,6.44
5291,2020-11-10,6.53,6.55,6.08,6.48
5290,2020-11-09,6.77,6.94,6.2,6.48
5289,2020-11-06,5.54,5.58,5.25,5.41
5288,2020-11-05,5.27,5.53,5.27,5.49
5287,2020-11-04,5.1,5.4,4.99,5.26
5286,2020-11-03,5.2,5.78,5.2,5.26
5285,2020-11-02,5.19,5.8,4.8,5.12
5284,2020-10-30,5.67,5.76,5.36,5.54
5283,2020-10-29,5.5,5.81,5.3894,5.67
5282,2020-10-28,5.5,5.76,5.44,5.44
5281,2020-10-27,5.97,6.07,5.73,5.74
5280,2020-10-26,6.39,6.39,5.94,5.96
5279,2020-10-23,6.76,6.89,6.51,6.51
5278,2020-10-22,6.26,6.73,6.17,6.69
5277,2020-10-21,6.62,6.8,6.52,6.65
5276,2020-10-20,7.06,7.17,6.65,6.67
5275,2020-10-19,7.24,7.43,6.96,7.0
5274,2020-10-16,7.15,7.33,7.0999,7.23
5273,2020-10-15,6.89,7.2,6.89,7.09
5272,2020-10-14,7.07,7.31,7.03,7.06
5271,2020-10-13,7.15,7.3,6.98,7.11
5270,2020-10-12,6.96,7.33,6.92,7.25
5269,2020-10-09,7.29,7.34,6.8201,7.0
5268,2020-10-08,7.04,7.38,7.04,7.17
5267,2020-10-07,6.72,7.04,6.68,6.96
5266,2020-10-06,6.63,7.24,6.5835,6.72
5265,2020-10-05,6.38,6.59,6.32,6.53
5264,2020-10-02,5.99,6.44,5.89,6.38
5263,2020-10-01,6.14,6.25,5.97,6.23
5262,2020-09-30,6.05,6.34,6.0,6.14
5261,2020-09-29,5.74,6.01,5.51,6.0
5260,2020-09-28,5.58,5.845,5.58,5.76
5259,2020-09-25,5.32,5.601,5.32,5.46
5258,2020-09-24,5.43,5.47,5.23,5.35
5257,2020-09-23,6.0,6.22,5.4,5.42
5256,2020-09-22,5.52,6.04,5.52,5.98
5255,2020-09-21,5.3,5.58,5.06,5.51
5254,2020-09-18,5.55,5.56,5.24,5.5
5253,2020-09-17,5.75,5.9,5.47,5.51
5252,2020-09-16,5.86,6.055,5.79,5.8
5251,2020-09-15,6.09,6.147,5.77,5.78
5250,2020-09-14,6.08,6.22,5.925,6.02
5249,2020-09-11,6.4,6.43,5.98,6.05
5248,2020-09-10,6.4,6.55,6.3,6.35
5247,2020-09-09,6.59,6.66,6.1872,6.34
5246,2020-09-08,6.91,6.91,6.43,6.46
5245,2020-09-04,7.15,7.34,6.87,6.97
5244,2020-09-03,7.37,7.62,7.05,7.09
5243,2020-09-02,7.47,7.74,7.31,7.33
5242,2020-09-01,7.51,7.59,7.3,7.52
5241,2020-08-31,7.91,8.33,7.25,7.39
5240,2020-08-28,8.68,9.1,8.44,9.08
5239,2020-08-27,8.44,9.0,8.4098,8.54
5238,2020-08-26,8.62,8.74,8.29,8.32
5237,2020-08-25,8.81,8.875,8.51,8.66
5236,2020-08-24,8.62,8.77,8.4,8.73
5235,2020-08-21,8.77,8.85,8.46,8.53
5234,2020-08-20,8.88,8.98,8.58,8.78
5233,2020-08-19,8.94,9.5,8.82,9.04
5232,2020-08-18,9.1,9.1925,8.81,8.92
5231,2020-08-17,9.31,9.31,8.83,9.03
5230,2020-08-14,9.22,9.67,9.08,9.31
5229,2020-08-13,9.1,9.62,9.04,9.31
5228,2020-08-12,9.34,9.47,8.935,9.14
5227,2020-08-11,9.25,9.39,8.8,9.13
5226,2020-08-10,8.58,9.24,8.52,9.06
5225,2020-08-07,8.23,8.54,8.0801,8.48
5224,2020-08-06,8.27,8.4799,8.11,8.27
5223,2020-08-05,8.13,8.3,7.91,8.29
5222,2020-08-04,7.37,8.13,7.37,8.0
5221,2020-08-03,7.7,7.7,7.315,7.41
5220,2020-07-31,7.73,7.9,7.61,7.68
5219,2020-07-30,7.77,7.92,7.53,7.84
5218,2020-07-29,7.8,7.96,7.7356,7.82
5217,2020-07-28,7.79,8.08,7.68,7.72
5216,2020-07-27,7.78,7.86,7.54,7.83
5215,2020-07-24,8.21,8.3,7.7,7.81
5214,2020-07-23,7.81,8.26,7.81,8.17
5213,2020-07-22,7.93,8.11,7.82,7.89
5212,2020-07-21,7.94,8.15,7.83,7.99
5211,2020-07-20,8.0,8.09,7.78,7.79
5210,2020-07-17,8.23,8.4,8.01,8.07
5209,2020-07-16,7.79,8.26,7.77,8.23
5208,2020-07-15,7.87,8.27,7.71,7.95
5207,2020-07-14,7.54,7.72,7.47,7.55
5206,2020-07-13,7.75,7.85,7.5,7.65
5205,2020-07-10,7.2,7.75,7.15,7.61
5204,2020-07-09,7.74,7.82,7.08,7.26
5203,2020-07-08,7.68,7.98,7.43,7.77
5202,2020-07-07,8.09,8.09,7.64,7.69
5201,2020-07-06,8.34,8.48,7.69,8.29
5200,2020-07-02,8.54,8.69,8.06,8.09
5199,2020-07-01,8.22,8.55,7.96,8.1
5198,2020-06-30,8.21,8.44,7.9,8.18
5197,2020-06-29,7.74,8.37,7.64,8.35
5196,2020-06-26,8.05,8.2,7.51,7.57
5195,2020-06-25,8.0,8.44,7.92,8.07
5194,2020-06-24,8.41,8.59,7.76,8.3
5193,2020-06-23,8.54,8.79,8.13,8.72
5192,2020-06-22,8.53,8.6,8.11,8.37
5191,2020-06-19,9.41,9.465,8.605,8.62
5190,2020-06-18,9.83,10.65,8.845,9.29
5189,2020-06-17,10.16,10.16,9.27,9.35
5188,2020-06-16,10.49,10.71,9.7348,10.15
5187,2020-06-15,8.56,10.38,8.18,9.87
5186,2020-06-12,10.1,10.14,8.945,9.14
5185,2020-06-11,10.13,10.38,9.15,9.21
5184,2020-06-10,11.67,11.72,10.82,11.11
5183,2020-06-09,12.62,12.96,11.1006,11.66
5182,2020-06-08,12.36,13.53,12.01,13.19
5181,2020-06-05,11.1,12.23,10.89,11.76
5180,2020-06-04,10.41,10.99,10.36,10.43
5179,2020-06-03,10.55,10.68,10.31,10.63
5178,2020-06-02,10.66,10.69,10.16,10.25
5177,2020-06-01,10.69,10.84,10.19,10.55
