,Date,Open,High,Low,Close
1808,2020-12-14,15.18,15.27,15.18,15.21
1807,2020-12-11,15.05,15.1,15.03,15.07
1806,2020-12-10,15.11,15.2,15.1098,15.16
1805,2020-12-09,15.19,15.2892,15.06,15.15
1804,2020-12-08,15.08,15.22,15.08,15.18
1803,2020-12-07,15.1,15.14,15.04,15.1
1802,2020-12-04,14.7,14.82,14.7,14.8
1801,2020-12-03,14.65,14.805,14.65,14.7
1800,2020-12-02,14.59,14.67,14.55,14.65
1799,2020-12-01,14.59,14.72,14.59,14.63
1798,2020-11-30,14.66,14.73,14.48,14.5
1797,2020-11-27,14.59,14.74,14.56,14.7
1796,2020-11-25,14.42,14.51,14.41,14.51
1795,2020-11-24,14.44,14.46,14.33,14.44
1794,2020-11-23,14.25,14.34,14.21,14.31
1793,2020-11-20,14.12,14.2,14.12,14.16
1792,2020-11-19,14.115,14.15,14.04,14.15
1791,2020-11-18,14.1,14.22,14.07,14.14
1790,2020-11-17,14.02,14.18,14.0148,14.13
1789,2020-11-16,13.92,14.085,13.92,14.05
1788,2020-11-13,13.77,13.95,13.7,13.86
1787,2020-11-12,13.77,13.83,13.67,13.69
1786,2020-11-11,13.84,13.91,13.78,13.81
1785,2020-11-10,13.99,13.99,13.81,13.87
1784,2020-11-09,13.94,14.19,13.81,13.94
1783,2020-11-06,13.5,13.6528,13.4993,13.62
1782,2020-11-05,13.5,13.64,13.45,13.57
1781,2020-11-04,12.99,13.305,12.99,13.22
1780,2020-11-03,12.92,13.04,12.85,12.99
1779,2020-11-02,12.79,12.79,12.58,12.73
1778,2020-10-30,12.68,12.6842,12.51,12.57
1777,2020-10-29,12.82,12.85,12.7,12.72
1776,2020-10-28,12.72,12.8884,12.63,12.65
1775,2020-10-27,13.1,13.79,12.96,12.96
1774,2020-10-26,13.24,13.2886,13.02,13.12
1773,2020-10-23,13.49,13.51,13.15,13.385
1772,2020-10-22,13.46,13.54,13.42,13.51
1771,2020-10-21,13.48,13.5,13.17,13.41
1770,2020-10-20,13.47,13.51,13.42,13.42
1769,2020-10-19,13.51,13.51,13.37,13.37
1768,2020-10-16,13.55,13.55,13.47,13.48
1767,2020-10-15,13.41,13.55,13.41,13.48
1766,2020-10-14,13.57,13.63,13.475,13.6
1765,2020-10-13,13.5,13.6582,13.4727,13.61
1764,2020-10-12,13.26,13.6,13.25,13.57
1763,2020-10-09,12.53,12.68,12.53,12.65
1762,2020-10-08,12.4,12.5,12.235,12.5
1761,2020-10-07,12.37,12.5673,12.3401,12.36
1760,2020-10-06,12.58,12.64,12.22,12.27
1759,2020-10-05,12.45,12.58,12.45,12.5
1758,2020-10-02,12.33,12.48,12.33,12.48
1757,2020-10-01,12.3,12.46,12.3,12.45
1756,2020-09-30,12.2,12.28,12.16,12.28
1755,2020-09-29,12.03,12.25,12.03,12.25
1754,2020-09-28,11.9,12.08,11.8268,12.08
1753,2020-09-25,11.86,12.0,11.71,11.78
1752,2020-09-24,11.93,12.08,11.82,11.9
1751,2020-09-23,11.96,12.03,11.9,11.935
1750,2020-09-22,11.88,12.03,11.8027,11.9
1749,2020-09-21,12.04,12.04,11.75,11.93
1748,2020-09-18,12.38,12.38,12.1473,12.1473
1747,2020-09-17,12.48,12.48,12.35,12.35
1746,2020-09-16,12.46,12.63,12.409,12.58
1745,2020-09-15,12.53,12.53,12.44,12.465
1744,2020-09-14,12.52,12.52,12.41,12.41
1743,2020-09-11,12.44,12.44,12.3005,12.38
1742,2020-09-10,12.58,12.58,12.31,12.31
1741,2020-09-09,12.58,12.615,12.48,12.5099
1740,2020-09-08,12.47,12.52,12.07,12.4115
1739,2020-09-04,12.9,12.9,12.51,12.51
1738,2020-09-03,13.1,13.1,12.7801,12.8615
1737,2020-09-02,13.0,13.19,12.87,13.19
1736,2020-09-01,12.96,13.02,12.92,13.02
1735,2020-08-31,13.0,13.035,12.93,13.0
1734,2020-08-28,12.84,13.01,12.84,13.0
1733,2020-08-27,12.9,12.92,12.8,12.83
1732,2020-08-26,12.8,13.03,12.8,12.87
1731,2020-08-25,12.88,12.88,12.7105,12.83
1730,2020-08-24,12.97,13.09,12.65,12.71
1729,2020-08-21,12.91,12.94,12.81,12.89
1728,2020-08-20,12.88,13.08,12.84,13.08
1727,2020-08-19,13.12,13.16,13.01,13.01
1726,2020-08-18,12.88,13.205,12.88,13.2
1725,2020-08-17,13.15,13.2194,13.025,13.14
1724,2020-08-14,13.11,13.12,12.89,13.0364
1723,2020-08-13,13.05,13.175,13.05,13.09
1722,2020-08-12,13.02,13.21,13.02,13.12
1721,2020-08-11,12.98,13.1203,12.88,12.9867
1720,2020-08-10,12.97,12.98,12.905,12.96
1719,2020-08-07,12.97,12.97,12.87,12.94
1718,2020-08-06,12.78,13.06,12.7714,12.96
1717,2020-08-05,12.84,12.84,12.69,12.78
1716,2020-08-04,12.75,12.8799,12.7,12.77
1715,2020-08-03,12.71,12.835,12.5574,12.71
1714,2020-07-31,12.84,12.84,12.6111,12.66
1713,2020-07-30,12.74,12.89,12.25,12.89
1712,2020-07-29,12.685,12.92,12.6471,12.92
1711,2020-07-28,12.6,12.73,12.54,12.54
1710,2020-07-27,12.49,12.6824,12.49,12.62
1709,2020-07-24,12.42,12.4821,12.3515,12.41
1708,2020-07-23,12.54,12.6831,12.3901,12.5292
1707,2020-07-22,12.56,12.6546,12.5,12.59
1706,2020-07-21,12.37,12.59,12.37,12.46
1705,2020-07-20,12.18,12.35,12.17,12.35
1704,2020-07-17,12.12,12.12,12.1,12.12
1703,2020-07-16,12.13,12.21,12.06,12.11
