,Date,Open,High,Low,Close
5314,2020-12-14,1.15,1.15,1.12,1.13
5313,2020-12-11,1.1604,1.19,1.11,1.12
5312,2020-12-10,1.17,1.19,1.1,1.19
5311,2020-12-09,1.23,1.25,1.17,1.19
5310,2020-12-08,1.25,1.26,1.16,1.21
5309,2020-12-07,1.18,1.24,1.17,1.21
5308,2020-12-04,1.09,1.2,1.0801,1.17
5307,2020-12-03,1.05,1.1,1.05,1.08
5306,2020-12-02,1.05,1.06,1.02,1.04
5305,2020-12-01,1.08,1.09,1.05,1.07
5304,2020-11-30,1.07,1.07,1.03,1.05
5303,2020-11-27,1.0,1.07,1.0,1.05
5302,2020-11-25,1.05,1.06,0.965,0.995
5301,2020-11-24,0.955,1.04,0.95,1.02
5300,2020-11-23,0.93,0.9946,0.92,0.9439
5299,2020-11-20,0.941,0.998,0.912,0.9585
5298,2020-11-19,0.98,0.9932,0.9375,0.9908
5297,2020-11-18,0.9686,0.9951,0.9678,0.9761
5296,2020-11-17,1.01,1.01,0.9617,0.9686
5295,2020-11-16,0.9411,1.01,0.9331,1.01
5294,2020-11-13,0.9518,0.9599,0.925,0.9428
5293,2020-11-12,0.925,0.96,0.9,0.9425
5292,2020-11-11,0.8855,0.938,0.8843,0.9344
5291,2020-11-10,0.87,0.9,0.8611,0.9
5290,2020-11-09,0.9381,0.9522,0.9,0.92
5289,2020-11-06,0.909,0.9173,0.8813,0.885
5288,2020-11-05,0.89,0.9288,0.8818,0.9172
5287,2020-11-04,0.905,0.919,0.88,0.8886
5286,2020-11-03,0.8585,0.9121,0.8313,0.9078
5285,2020-11-02,0.87,0.875,0.83,0.85
5284,2020-10-30,0.88,0.8857,0.84,0.8524
5283,2020-10-29,0.85,0.884,0.8318,0.8698
5282,2020-10-28,0.87,0.87,0.8393,0.8413
5281,2020-10-27,0.92,0.929,0.8746,0.8852
5280,2020-10-26,0.969,0.969,0.9036,0.923
5279,2020-10-23,0.995,0.995,0.9402,0.96
5278,2020-10-22,1.01,1.0142,0.9549,0.9909
5277,2020-10-21,1.04,1.045,1.0,1.01
5276,2020-10-20,1.08,1.08,1.04,1.05
5275,2020-10-19,1.08,1.1,1.06,1.06
5274,2020-10-16,1.08,1.1,1.08,1.1
5273,2020-10-15,1.08,1.1,1.06,1.09
5272,2020-10-14,1.09,1.11,1.08,1.09
5271,2020-10-13,1.09,1.1,1.07,1.1
5270,2020-10-12,1.11,1.12,1.07,1.09
5269,2020-10-09,1.12,1.13,1.1,1.11
5268,2020-10-08,1.1,1.12,1.09,1.11
5267,2020-10-07,1.09,1.13,1.07,1.1
5266,2020-10-06,1.11,1.12,1.07,1.08
