,Date,Open,High,Low,Close
128,2020-12-14,31.43,34.11,30.6154,32.88
127,2020-12-11,31.89,32.93,31.68,32.17
126,2020-12-10,32.97,33.275,31.32,32.5
125,2020-12-09,35.6,36.02,31.34,33.32
124,2020-12-08,33.24,35.87,32.63,35.12
123,2020-12-07,32.52,34.17,31.6,33.61
122,2020-12-04,30.42,32.7099,30.06,32.52
121,2020-12-03,29.87,32.2384,29.73,30.03
120,2020-12-02,30.97,31.52,29.702,29.89
119,2020-12-01,30.08,32.6,29.95,30.86
118,2020-11-30,31.2,31.2,29.74,29.94
117,2020-11-27,29.95,32.25,29.95,30.73
116,2020-11-25,28.92,30.99,28.82,30.03
115,2020-11-24,31.22,32.44,28.7206,29.2
114,2020-11-23,29.7,31.49,29.59,30.88
113,2020-11-20,29.53,30.25,28.69,29.66
112,2020-11-19,28.19,30.51,28.19,29.9
111,2020-11-18,28.44,28.97,27.85,28.4
110,2020-11-17,28.68,29.145,27.805,28.22
109,2020-11-16,29.91,29.91,28.415,28.81
108,2020-11-13,29.98,29.98,29.16,29.2
107,2020-11-12,28.84,29.78,28.77,29.5
106,2020-11-11,30.05,30.05,28.56,29.04
105,2020-11-10,29.49,30.18,28.61,29.78
104,2020-11-09,30.07,30.99,28.69,29.34
103,2020-11-06,28.13,28.43,26.25,27.98
102,2020-11-05,28.6,29.03,27.31,28.05
101,2020-11-04,26.72,30.14,26.72,28.48
100,2020-11-03,26.56,27.7,25.03,27.0
99,2020-11-02,25.02,26.87,23.8,26.19
98,2020-10-30,26.4,26.4,24.49,24.73
97,2020-10-29,26.32,26.82,25.33,26.25
96,2020-10-28,27.48,27.48,25.52,26.49
95,2020-10-27,27.09,28.19,26.51,27.3
94,2020-10-26,27.53,28.44,26.42,27.32
93,2020-10-23,29.08,29.08,27.5,27.96
92,2020-10-22,27.66,29.17,27.0,28.84
91,2020-10-21,27.05,30.6,26.05,27.56
90,2020-10-20,27.64,28.3,25.3,27.13
89,2020-10-19,28.47,29.39,27.17,27.38
88,2020-10-16,27.54,28.73,26.62,28.5
87,2020-10-15,27.47,29.24,25.75,27.82
86,2020-10-14,29.64,30.35,27.5,27.55
85,2020-10-13,27.7,29.94,27.4614,29.38
84,2020-10-12,27.73,28.41,26.92,27.85
83,2020-10-09,28.64,28.958,26.25,27.67
82,2020-10-08,30.34,31.005,28.505,28.63
81,2020-10-07,30.16,30.27,28.865,29.99
80,2020-10-06,30.04,30.485,29.15,29.81
79,2020-10-05,28.75,30.12,28.02,29.925
78,2020-10-02,28.0,29.01,27.67,28.62
77,2020-10-01,28.54,29.59,28.01,28.51
76,2020-09-30,29.03,29.305,26.77,28.15
75,2020-09-29,29.83,30.12,28.52,28.89
74,2020-09-28,29.15,30.04,29.06,29.83
73,2020-09-25,29.52,30.285,27.83,29.15
72,2020-09-24,29.91,30.41,29.2501,29.56
71,2020-09-23,33.13,35.45,29.76,29.87
70,2020-09-22,33.69,36.04,30.97,33.95
69,2020-09-21,33.54,34.09,32.43,33.18
68,2020-09-18,33.04,35.815,31.7701,34.31
67,2020-09-17,34.31,34.99,32.18,33.37
66,2020-09-16,35.37,37.4,33.1094,34.39
65,2020-09-15,35.79,37.46,34.06,34.67
64,2020-09-14,33.22,37.1883,32.17,35.94
63,2020-09-11,32.16,34.96,31.31,33.49
62,2020-09-10,32.87,36.4,31.47,32.32
61,2020-09-09,30.78,34.9899,30.68,32.94
60,2020-09-08,28.59,30.74,28.59,30.35
59,2020-09-04,28.89,29.115,28.42,28.7
58,2020-09-03,29.07,29.235,28.0601,28.89
57,2020-09-02,28.81,29.35,28.675,29.0
56,2020-09-01,28.8,29.12,28.48,28.9
55,2020-08-31,29.0,29.22,28.265,28.8
54,2020-08-28,28.8,28.99,28.13,28.52
53,2020-08-27,28.5,28.7518,27.9313,28.53
52,2020-08-26,28.47,29.33,27.89,28.61
51,2020-08-25,29.1,30.0,27.88,28.59
50,2020-08-24,30.65,30.65,28.185,29.0
49,2020-08-21,31.97,32.53,29.455,30.45
48,2020-08-20,30.87,32.33,30.0001,32.28
