,Date,Open,High,Low,Close
155,2020-12-14,15.27,15.7,14.65,14.9268
154,2020-12-11,17.1,17.1,16.54,17.1
153,2020-12-10,16.76,17.07,16.6,16.905
152,2020-12-09,16.0,17.4,15.62,16.3
151,2020-12-08,15.43,15.84,15.15,15.8
150,2020-12-07,14.09,14.2,14.09,14.2
149,2020-12-04,13.94,14.59,13.94,14.59
148,2020-12-03,13.0,13.55,13.0,13.55
147,2020-12-02,12.56,12.86,12.2513,12.85
146,2020-12-01,12.68,12.73,12.68,12.73
145,2020-11-30,12.88,13.3591,12.55,12.64
144,2020-11-27,11.9,12.55,11.9,12.39
143,2020-11-25,11.61,11.89,11.61,11.89
142,2020-11-24,11.61,11.8802,11.61,11.8
141,2020-11-23,11.44,11.5834,11.44,11.5834
140,2020-11-20,11.5,11.6518,11.205,11.6
139,2020-11-19,11.23,11.85,10.835,11.69
138,2020-11-18,11.72,11.88,11.72,11.88
137,2020-11-17,11.88,11.98,11.635,11.635
136,2020-11-16,11.6,11.99,11.02,11.99
135,2020-11-13,11.2308,11.2308,11.2308,11.2308
134,2020-11-12,10.5431,11.29,10.488,10.6834
133,2020-11-11,10.6228,10.6228,10.6228,10.6228
132,2020-11-10,10.4411,10.4411,10.4411,10.4411
131,2020-11-09,10.6,10.6,10.6,10.6
130,2020-11-06,10.6,10.6,10.6,10.6
129,2020-11-05,10.65,10.7,10.65,10.65
128,2020-11-04,10.6974,10.6974,10.6974,10.6974
127,2020-11-03,10.6974,10.6974,10.6974,10.6974
126,2020-11-02,10.49,10.7,10.49,10.6974
125,2020-10-30,10.45,10.45,10.45,10.45
124,2020-10-29,10.2607,10.2607,10.2607,10.2607
123,2020-10-28,10.2607,10.2607,10.2607,10.2607
122,2020-10-27,10.505,10.505,10.505,10.505
121,2020-10-26,10.505,10.505,10.505,10.505
120,2020-10-23,10.505,10.505,10.505,10.505
119,2020-10-22,10.63,10.63,10.63,10.63
118,2020-10-21,10.63,10.63,10.63,10.63
117,2020-10-20,10.63,10.63,10.63,10.63
116,2020-10-19,10.65,10.65,10.65,10.65
115,2020-10-16,10.65,10.65,10.65,10.65
114,2020-10-15,10.65,10.65,10.65,10.65
113,2020-10-14,10.53,10.53,10.53,10.53
112,2020-10-13,10.53,10.53,10.53,10.53
111,2020-10-12,10.53,10.53,10.53,10.53
110,2020-10-09,10.53,10.53,10.53,10.53
109,2020-10-08,10.53,10.53,10.53,10.53
108,2020-10-07,10.53,10.53,10.53,10.53
107,2020-10-06,10.53,10.53,10.53,10.53
106,2020-10-05,10.53,10.53,10.53,10.53
105,2020-10-02,10.51,10.53,10.49,10.53
104,2020-10-01,10.65,10.65,10.65,10.65
103,2020-09-30,10.65,10.66,10.61,10.66
102,2020-09-29,10.65,10.65,10.65,10.65
101,2020-09-28,10.65,10.65,10.65,10.65
100,2020-09-25,10.65,10.65,10.65,10.65
99,2020-09-24,10.15,10.65,10.15,10.65
98,2020-09-23,10.6,10.64,10.6,10.64
97,2020-09-22,10.65,10.65,10.6,10.6
96,2020-09-21,10.65,10.66,10.6,10.6
95,2020-09-18,10.7,10.7,10.7,10.7
94,2020-09-17,10.675,10.675,10.675,10.675
93,2020-09-16,10.65,10.65,10.6234,10.65
92,2020-09-15,10.65,10.65,10.6,10.6
91,2020-09-14,10.6,10.625,10.6,10.625
90,2020-09-11,10.6,10.7,10.5492,10.65
89,2020-09-10,10.55,10.55,10.54,10.55
88,2020-09-09,10.52,10.55,10.5,10.51
87,2020-09-08,10.5,10.5,10.45,10.45
86,2020-09-04,10.5,10.5,10.315,10.5
85,2020-09-03,10.5,10.6,10.475,10.5
84,2020-09-02,10.5,10.5,10.49,10.5
83,2020-09-01,10.1552,10.5,10.15,10.5
82,2020-08-31,10.4965,10.4998,10.4492,10.4492
81,2020-08-28,10.35,10.35,10.35,10.35
80,2020-08-27,10.35,10.35,10.35,10.35
79,2020-08-26,10.35,10.35,10.35,10.35
78,2020-08-25,10.3118,10.35,10.3118,10.35
77,2020-08-24,10.59,10.59,10.59,10.59
