,Date,Open,High,Low,Close
5314,2020-12-14,69.14,69.98,68.56,69.04
5313,2020-12-11,67.99,69.45,67.99,68.73
5312,2020-12-10,67.9,69.08,66.585,68.85
5311,2020-12-09,65.84,68.59,65.84,68.38
5310,2020-12-08,64.57,65.68,63.75,65.58
5309,2020-12-07,64.93,65.42,64.09,65.18
5308,2020-12-04,64.72,66.105,64.18,64.68
5307,2020-12-03,64.07,65.49,63.82,64.57
5306,2020-12-02,64.99,65.01,63.77,64.14
5305,2020-12-01,66.29,66.37,64.95,65.04
5304,2020-11-30,66.05,66.49,64.915,65.46
5303,2020-11-27,66.21,66.73,65.23,66.4
5302,2020-11-25,68.51,68.51,65.63,66.16
5301,2020-11-24,67.13,68.675,65.66,68.5
5300,2020-11-23,65.97,66.94,65.42,66.33
5299,2020-11-20,64.84,65.33,64.07,65.26
5298,2020-11-19,64.83,65.52,64.04,65.46
5297,2020-11-18,65.68,65.98,64.49,64.88
5296,2020-11-17,64.25,65.715,61.2577,65.42
5295,2020-11-16,63.39,65.09,63.0,65.0
5294,2020-11-13,61.68,62.77,61.61,62.51
5293,2020-11-12,61.78,61.9,60.43,61.44
5292,2020-11-11,62.6,63.25,60.835,61.8
5291,2020-11-10,62.53,62.87,61.6,62.71
5290,2020-11-09,64.7,65.68,61.58,61.82
5289,2020-11-06,61.54,62.19,60.07,60.29
5288,2020-11-05,61.13,62.52,60.88,61.08
5287,2020-11-04,60.49,61.49,59.35,60.63
5286,2020-11-03,60.38,61.37,59.765,61.27
5285,2020-11-02,58.34,60.2,58.24,59.64
5284,2020-10-30,58.64,59.77,56.97,57.45
5283,2020-10-29,63.61,63.85,58.81,59.01
5282,2020-10-28,61.09,64.04,60.5,63.5
5281,2020-10-27,62.71,63.45,61.89,62.29
5280,2020-10-26,66.23,66.345,62.625,62.97
5279,2020-10-23,67.49,68.39,66.98,66.98
5278,2020-10-22,67.31,67.59,66.02,67.16
5277,2020-10-21,67.72,68.01,66.5,66.82
5276,2020-10-20,67.76,68.21,66.75,67.46
5275,2020-10-19,68.92,68.92,66.54,67.1
5274,2020-10-16,69.65,69.915,67.2,68.44
5273,2020-10-15,67.71,70.0,66.89,69.82
5272,2020-10-14,70.91,71.05,68.14,68.6
