,Date,Open,High,Low,Close
4641,2020-12-14,41.78,41.97,41.09,41.09
4640,2020-12-11,40.35,41.55,40.35,41.27
4639,2020-12-10,40.52,41.0,40.15,40.77
4638,2020-12-09,40.54,41.115,39.795,40.68
4637,2020-12-08,38.63,40.06,38.497,40.0
4636,2020-12-07,40.0,40.0,39.14,39.41
4635,2020-12-04,39.13,40.33,39.035,40.16
4634,2020-12-03,38.49,39.075,38.12,38.8
4633,2020-12-02,38.2,39.15,37.68,38.46
4632,2020-12-01,38.72,39.28,38.25,38.45
4631,2020-11-30,38.6,38.93,38.0475,38.33
4630,2020-11-27,39.3,39.86,38.68,38.74
4629,2020-11-25,39.81,40.395,38.985,39.42
4628,2020-11-24,38.8,40.46,38.36,39.81
4627,2020-11-23,38.47,39.02,38.3,38.6
4626,2020-11-20,37.74,38.49,37.46,38.4
4625,2020-11-19,38.03,38.24,37.27,38.18
4624,2020-11-18,37.91,38.7,37.74,38.2
4623,2020-11-17,37.55,38.22,36.87,37.65
4622,2020-11-16,38.03,38.475,37.67,38.06
4621,2020-11-13,37.85,38.195,37.19,37.29
4620,2020-11-12,38.14,39.25,37.1,37.46
4619,2020-11-11,39.18,39.4,37.91,38.48
4618,2020-11-10,37.82,39.71,37.82,39.01
4617,2020-11-09,37.57,39.33,37.23,37.6
4616,2020-11-06,38.07,38.07,36.03,36.34
4615,2020-11-05,37.79,38.65,37.71,37.89
4614,2020-11-04,37.48,38.1,36.76,37.71
4613,2020-11-03,38.0,38.57,37.28,38.23
4612,2020-11-02,36.21,37.39,35.73,37.27
4611,2020-10-30,36.22,36.64,35.51,35.84
4610,2020-10-29,36.38,36.56,35.44,36.3
4609,2020-10-28,37.99,37.99,35.06,36.46
4608,2020-10-27,37.09,37.35,36.49,36.63
4607,2020-10-26,37.95,38.37,36.4,37.34
4606,2020-10-23,37.87,38.89,37.42,38.65
4605,2020-10-22,37.77,38.0,35.79,37.17
4604,2020-10-21,36.33,36.86,35.36,35.89
4603,2020-10-20,37.17,37.17,35.81,36.165
4602,2020-10-19,37.34,37.395,36.12,36.37
4601,2020-10-16,36.33,37.395,36.06,37.1
4600,2020-10-15,35.88,36.63,35.08,36.47
4599,2020-10-14,37.03,37.19,36.26,36.28
4598,2020-10-13,37.57,38.3,36.68,37.16
4597,2020-10-12,55.76,56.81,55.635,56.55
4596,2020-10-09,57.24,57.265,55.57,55.8
4595,2020-10-08,57.75,57.75,55.98,56.73
4594,2020-10-07,56.2,57.15,55.5,57.0
4593,2020-10-06,54.91,56.54,53.05,55.4
4592,2020-10-05,52.72,54.72,52.5,54.69
4591,2020-10-02,50.24,52.43,50.24,52.24
4590,2020-10-01,50.78,51.06,50.05,51.02
4589,2020-09-30,50.29,51.47,50.22,50.54
4588,2020-09-29,50.34,50.93,50.14,50.28
4587,2020-09-28,49.05,50.66,49.05,50.34
4586,2020-09-25,48.1,48.58,47.2779,48.41
4585,2020-09-24,48.62,49.67,47.77,48.44
4584,2020-09-23,49.94,51.98,48.72,48.82
4583,2020-09-22,48.73,49.79,48.31,49.68
4582,2020-09-21,50.02,50.37,47.8,48.51
4581,2020-09-18,51.25,51.79,50.61,50.97
4580,2020-09-17,49.84,51.15,49.605,50.86
4579,2020-09-16,49.99,50.99,49.615,50.3
4578,2020-09-15,49.98,50.31,49.125,49.49
4577,2020-09-14,49.07,49.73,48.97,49.61
4576,2020-09-11,48.67,49.19,48.31,48.75
4575,2020-09-10,49.68,50.01,48.11,48.3
4574,2020-09-09,49.71,49.97,48.97,49.58
4573,2020-09-08,49.14,50.36,48.515,49.28
4572,2020-09-04,48.85,49.77,48.43,49.4
4571,2020-09-03,49.4,49.48,48.03,48.25
4570,2020-09-02,49.54,49.725,48.92,49.5
4569,2020-09-01,48.17,49.77,48.17,49.5
4568,2020-08-31,49.39,49.71,48.32,48.32
4567,2020-08-28,49.16,49.74,49.1,49.38
4566,2020-08-27,49.42,49.495,48.84,48.98
4565,2020-08-26,49.3,49.555,48.92,49.2
4564,2020-08-25,50.41,50.41,48.98,49.28
4563,2020-08-24,50.62,51.09,49.55,49.97
4562,2020-08-21,49.22,50.43,49.05,50.37
4561,2020-08-20,49.27,49.9,48.56,49.41
4560,2020-08-19,49.75,50.65,49.61,49.9
4559,2020-08-18,50.22,50.75,49.62,49.7
4558,2020-08-17,50.49,50.99,50.25,50.51
4557,2020-08-14,50.19,50.665,50.03,50.44
4556,2020-08-13,50.59,50.9032,50.26,50.48
4555,2020-08-12,51.0,51.23,50.315,50.58
4554,2020-08-11,50.56,50.92,49.83,50.27
4553,2020-08-10,49.0,50.85,48.47,49.87
4552,2020-08-07,48.04,49.0,47.95,48.95
4551,2020-08-06,48.21,48.37,47.76,48.03
4550,2020-08-05,48.74,48.77,47.69,48.52
4549,2020-08-04,48.33,48.86,47.63,48.15
4548,2020-08-03,47.96,48.83,47.96,48.62
4547,2020-07-31,47.98,48.01,46.7,47.58
4546,2020-07-30,47.9,48.68,47.62,48.46
4545,2020-07-29,48.41,49.26,48.1,48.65
4544,2020-07-28,48.48,49.54,48.25,48.43
4543,2020-07-27,48.41,49.16,46.9,49.08
4542,2020-07-24,48.0,49.4,47.61,48.5
4541,2020-07-23,46.0,49.785,45.795,48.55
4540,2020-07-22,44.85,45.4,44.245,44.69
4539,2020-07-21,44.33,45.2,44.1,44.95
4538,2020-07-20,44.55,44.55,43.43,43.84
4537,2020-07-17,44.68,45.46,44.26,44.61
4536,2020-07-16,44.35,45.27,43.79,44.66
4535,2020-07-15,44.17,45.32,43.71,45.11
4534,2020-07-14,41.87,43.04,41.32,43.02
4533,2020-07-13,41.6,42.43,41.45,41.83
4532,2020-07-10,40.84,41.9,40.45,41.69
4531,2020-07-09,41.43,41.43,40.42,40.66
4530,2020-07-08,41.34,41.87,40.88,41.37
4529,2020-07-07,41.76,42.11,39.68,41.32
4528,2020-07-06,42.04,42.64,41.41,42.36
4527,2020-07-02,41.61,42.49,40.99,41.08
4526,2020-07-01,41.5,41.79,40.64,40.72
4525,2020-06-30,40.32,41.55,40.03,41.46
4524,2020-06-29,39.93,40.94,39.09,40.37
4523,2020-06-26,38.78,39.53,38.39,39.2
4522,2020-06-25,37.74,39.06,37.4,39.02
4521,2020-06-24,38.31,38.42,37.12,37.86
4520,2020-06-23,39.4,39.4,38.43,38.73
4519,2020-06-22,38.01,38.87,37.28,38.7
4518,2020-06-19,40.14,40.14,37.98,38.16
4517,2020-06-18,39.77,40.33,38.94,39.68
4516,2020-06-17,41.36,41.36,40.05,40.22
4515,2020-06-16,42.22,42.6,40.59,41.24
4514,2020-06-15,38.23,40.8,38.23,40.35
4513,2020-06-12,39.28,40.53,37.69,39.67
4512,2020-06-11,41.03,42.07,38.49,38.6
4511,2020-06-10,44.61,44.86,42.7,42.75
4510,2020-06-09,45.33,45.34,44.32,44.8
4509,2020-06-08,45.64,46.84,45.18,46.08
4508,2020-06-05,45.0,46.3,44.71,45.14
4507,2020-06-04,42.68,44.34,42.39,44.09
4506,2020-06-03,42.19,43.14,41.94,42.91
4505,2020-06-02,41.21,42.0,40.94,41.51
4504,2020-06-01,41.74,42.19,40.82,41.0
4503,2020-05-29,41.14,42.17,40.78,41.62
4502,2020-05-28,43.0,43.39,41.46,41.68
4501,2020-05-27,41.17,42.78,40.9,42.49
4500,2020-05-26,39.0,40.75,38.95,40.4
4499,2020-05-22,39.89,39.89,37.53,38.43
4498,2020-05-21,39.34,39.81,38.74,39.6
4497,2020-05-20,38.93,40.35,38.63,39.59
4496,2020-05-19,38.79,39.09,38.07,38.18
4495,2020-05-18,37.21,38.88,37.21,38.76
4494,2020-05-15,34.89,35.85,34.89,35.75
4493,2020-05-14,34.49,35.1,33.21,35.05
4492,2020-05-13,35.68,35.9,34.76,35.16
4491,2020-05-12,37.94,38.18,35.71,35.81
4490,2020-05-11,37.91,38.5,37.06,37.88
4489,2020-05-08,37.74,38.58,37.26,38.37
4488,2020-05-07,36.53,37.36,36.26,36.8
4487,2020-05-06,37.08,37.22,35.87,35.95
4486,2020-05-05,37.17,37.9,36.46,36.77
4485,2020-05-04,35.82,36.78,34.97,36.67
4484,2020-05-01,36.62,37.67,35.6,36.35
4483,2020-04-30,37.96,38.27,37.07,37.5
4482,2020-04-29,38.06,39.57,37.81,38.82
4481,2020-04-28,36.84,37.85,36.41,36.54
4480,2020-04-27,34.8,36.01,34.02,35.85
4479,2020-04-24,34.47,35.25,33.98,34.75
4478,2020-04-23,34.94,35.37,31.61,34.07
4477,2020-04-22,32.61,32.96,31.41,31.87
