,Date,Open,High,Low,Close
3864,2020-12-14,16.6,16.8633,15.96,16.1
3863,2020-12-11,16.17,16.42,15.98,16.28
3862,2020-12-10,16.29,16.73,16.26,16.57
3861,2020-12-09,16.69,16.82,16.19,16.6
3860,2020-12-08,16.15,16.59,16.05,16.54
3859,2020-12-07,16.71,16.8,16.05,16.29
3858,2020-12-04,16.89,17.11,16.64,16.83
3857,2020-12-03,16.92,17.22,16.65,16.75
3856,2020-12-02,16.55,17.01,16.03,16.76
3855,2020-12-01,15.95,16.47,15.59,16.39
3854,2020-11-30,16.16,16.27,15.24,15.57
3853,2020-11-27,16.26,16.8427,16.12,16.37
3852,2020-11-25,16.24,16.36,15.75,16.13
3851,2020-11-24,15.43,16.86,15.25,16.55
3850,2020-11-23,14.7852,15.11,14.58,14.93
3849,2020-11-20,14.59,14.75,14.03,14.36
3848,2020-11-19,14.56,15.0,14.49,14.78
3847,2020-11-18,14.9,15.28,14.835,14.86
3846,2020-11-17,14.68,14.8223,14.3256,14.74
3845,2020-11-16,14.76,15.46,14.38,15.05
3844,2020-11-13,13.34,13.945,13.12,13.85
3843,2020-11-12,13.02,13.6,12.92,13.22
3842,2020-11-11,13.86,13.875,13.03,13.27
3841,2020-11-10,14.56,14.99,13.57,13.88
3840,2020-11-09,14.03,15.73,13.82,14.51
3839,2020-11-06,11.86,11.99,11.64,11.92
3838,2020-11-05,11.93,12.29,11.84,11.89
3837,2020-11-04,11.46,12.0,11.11,11.82
3836,2020-11-03,10.91,11.63,10.85,11.4
3835,2020-11-02,11.8,11.8,10.62,10.73
3834,2020-10-30,11.96,12.16,9.95,11.18
3833,2020-10-29,10.98,11.64,10.6798,11.62
3832,2020-10-28,10.81,11.0,10.6,10.68
3831,2020-10-27,11.22,11.485,11.16,11.29
3830,2020-10-26,11.89,11.97,11.02,11.33
3829,2020-10-23,12.31,12.33,11.7,12.12
3828,2020-10-22,11.73,12.38,11.69,12.31
3827,2020-10-21,11.485,11.845,11.3715,11.74
3826,2020-10-20,11.73,12.04,11.65,11.73
3825,2020-10-19,11.34,11.83,11.2893,11.65
3824,2020-10-16,11.41,11.66,11.15,11.25
3823,2020-10-15,11.17,11.4,11.09,11.36
3822,2020-10-14,11.4,11.54,11.18,11.3
3821,2020-10-13,11.52,11.55,11.11,11.35
3820,2020-10-12,11.86,12.18,11.47,11.73
3819,2020-10-09,11.365,11.58,11.25,11.34
3818,2020-10-08,10.93,11.39,10.835,11.35
3817,2020-10-07,11.19,11.3,10.78,10.88
3816,2020-10-06,10.84,11.33,10.72,10.9
3815,2020-10-05,11.27,11.44,10.71,10.71
3814,2020-10-02,10.52,11.19,10.4872,11.08
3813,2020-10-01,11.2,11.33,10.87,11.05
3812,2020-09-30,11.38,11.81,10.99,11.06
3811,2020-09-29,11.35,11.35,10.7222,11.25
3810,2020-09-28,11.35,11.55,11.14,11.43
3809,2020-09-25,10.72,11.06,10.67,11.05
3808,2020-09-24,10.5,11.105,10.3799,10.78
3807,2020-09-23,11.42,11.6,10.53,10.6
3806,2020-09-22,10.8,11.47,10.6701,11.37
