,Date,Open,High,Low,Close
1135,2020-12-14,28.68,28.7395,28.62,28.66
1134,2020-12-11,28.64,28.67,28.5,28.59
1133,2020-12-10,28.65,28.785,28.585,28.585
1132,2020-12-09,28.77,28.77,28.62,28.63
1131,2020-12-08,28.6,28.765,28.6,28.75
1130,2020-12-07,28.68,28.68,28.4085,28.54
1129,2020-12-04,28.55,28.55,28.45,28.5
1128,2020-12-03,28.57,28.57,28.4,28.4
1127,2020-12-02,28.35,28.5667,28.26,28.4
1126,2020-12-01,28.47,28.47,28.22,28.265
1125,2020-11-30,28.65,28.71,28.13,28.22
1124,2020-11-27,28.7,28.94,28.69,28.89
1123,2020-11-25,28.63,28.65,28.4598,28.55
1122,2020-11-24,28.84,29.0,28.44,28.5
1121,2020-11-23,28.88,28.915,28.67,28.71
1120,2020-11-20,28.82,28.95,28.64,28.72
1119,2020-11-19,28.66,28.82,28.6,28.73
1118,2020-11-18,28.62,28.89,28.445,28.445
1117,2020-11-17,28.67,28.93,28.445,28.75
1116,2020-11-16,28.43,28.65,28.2,28.65
1115,2020-11-13,28.37,28.45,28.15,28.43
1114,2020-11-12,28.45,28.45,28.15,28.27
1113,2020-11-11,28.72,28.72,28.31,28.31
1112,2020-11-10,28.89,28.89,28.11,28.47
1111,2020-11-09,28.69,29.16,28.0,28.81
1110,2020-11-06,28.36,28.36,28.0,28.09
1109,2020-11-05,28.22,28.3599,28.03,28.2
1108,2020-11-04,27.79,28.25,27.53,28.19
1107,2020-11-03,27.83,28.15,27.15,27.51
1106,2020-11-02,27.31,27.96,27.31,27.64
1105,2020-10-30,27.19,27.22,27.06,27.22
1104,2020-10-29,27.46,27.545,27.11,27.11
1103,2020-10-28,27.88,28.1359,27.1139,27.27
1102,2020-10-27,28.21,28.2276,27.67,28.13
1101,2020-10-26,28.32,28.32,27.8901,28.1
1100,2020-10-23,28.0,28.43,27.8026,28.36
1099,2020-10-22,27.97,28.0,27.6479,28.0
1098,2020-10-21,27.92,28.07,27.61,27.84
1097,2020-10-20,27.54,28.17,27.4569,28.17
1096,2020-10-19,27.75,27.75,27.41,27.49
1095,2020-10-16,27.49,27.73,27.405,27.73
1094,2020-10-15,27.47,27.54,27.25,27.53
1093,2020-10-14,27.59,27.6337,27.4427,27.54
1092,2020-10-13,27.83,28.0,27.41,27.58
1091,2020-10-12,28.5,28.5,27.65,27.77
1090,2020-10-09,28.4,28.67,28.2091,28.5
1089,2020-10-08,28.45,28.7399,28.25,28.39
1088,2020-10-07,28.29,28.5,27.46,28.31
1087,2020-10-06,28.19,28.29,28.05,28.23
1086,2020-10-05,27.94,28.1,27.8441,27.96
1085,2020-10-02,27.71,27.99,27.71,27.94
1084,2020-10-01,27.45,28.0,27.45,27.97
1083,2020-09-30,27.84,27.93,27.1,27.4
1082,2020-09-29,28.15,28.15,27.4815,27.83
1081,2020-09-28,28.09,28.28,27.69,27.99
1080,2020-09-25,27.1,27.95,27.1,27.95
1079,2020-09-24,27.22,27.34,26.94,27.05
1078,2020-09-23,27.72,27.72,26.98,27.2556
1077,2020-09-22,27.51,27.79,27.5,27.79
1076,2020-09-21,27.54,27.645,27.2,27.49
1075,2020-09-18,27.79,27.79,27.5001,27.64
1074,2020-09-17,27.71,27.78,27.482,27.67
1073,2020-09-16,28.2,28.25,27.78,27.78
1072,2020-09-15,28.11,28.3,27.83,28.0
1071,2020-09-14,27.73,28.39,27.73,28.0
1070,2020-09-11,27.85,27.85,27.5601,27.74
1069,2020-09-10,27.8,28.0398,27.67,27.86
1068,2020-09-09,27.13,27.79,27.13,27.79
1067,2020-09-08,27.45,27.45,27.01,27.18
1066,2020-09-04,27.82,27.84,27.2,27.45
1065,2020-09-03,27.85,27.85,27.59,27.72
1064,2020-09-02,27.74,27.8793,27.52,27.76
1063,2020-09-01,27.47,27.66,27.3842,27.66
1062,2020-08-31,27.49,27.49,27.34,27.34
1061,2020-08-28,27.94,27.94,27.51,27.51
1060,2020-08-27,28.0,28.09,27.79,27.86
1059,2020-08-26,27.88,28.13,27.75,28.05
1058,2020-08-25,27.9,27.9,27.63,27.7
1057,2020-08-24,27.44,27.89,27.4,27.89
1056,2020-08-21,27.37,27.395,27.18,27.342
1055,2020-08-20,27.13,27.346,27.1,27.25
1054,2020-08-19,27.14,27.43,27.14,27.2
1053,2020-08-18,27.0,27.45,26.99,27.06
1052,2020-08-17,27.13,27.21,27.0,27.0
1051,2020-08-14,27.15,27.2,26.96,27.01
1050,2020-08-13,27.04,27.1399,26.94,27.0
1049,2020-08-12,27.0,27.13,26.98,27.02
1048,2020-08-11,26.99,27.45,26.76,26.96
1047,2020-08-10,26.61,26.99,26.5663,26.98
1046,2020-08-07,26.62,27.0,26.455,26.56
1045,2020-08-06,27.3,27.3,26.26,26.42
1044,2020-08-05,27.42,27.45,27.1318,27.34
1043,2020-08-04,27.54,27.54,27.2228,27.49
1042,2020-08-03,27.5,27.55,27.345,27.54
1041,2020-07-31,27.22,27.43,27.155,27.4
1040,2020-07-30,27.06,27.35,26.8755,27.15
1039,2020-07-29,26.2,27.19,26.16,27.19
1038,2020-07-28,26.37,26.37,26.0301,26.18
1037,2020-07-27,26.07,26.45,25.9501,26.43
1036,2020-07-24,25.86,25.95,25.85,25.9201
1035,2020-07-23,25.86,25.9,25.78,25.84
1034,2020-07-22,25.7,25.76,25.57,25.69
1033,2020-07-21,25.64,25.74,25.584,25.73
1032,2020-07-20,25.35,25.55,25.275,25.55
1031,2020-07-17,25.4,25.4,25.31,25.35
1030,2020-07-16,25.2,25.43,25.1,25.33
1029,2020-07-15,24.73,25.29,24.73,25.25
1028,2020-07-14,24.54,24.71,24.5,24.71
1027,2020-07-13,24.69,24.73,24.56,24.56
1026,2020-07-10,24.45,24.6,24.42,24.57
