,Date,Open,High,Low,Close
5314,2020-12-14,143.72,145.005,138.25,138.4
5313,2020-12-11,142.74,146.81,142.39,143.52
5312,2020-12-10,142.96,145.04,141.6909,144.83
5311,2020-12-09,143.86,144.85,142.04,143.54
5310,2020-12-08,145.82,146.85,141.85,142.95
5309,2020-12-07,148.38,148.89,146.24,146.91
5308,2020-12-04,145.95,149.27,143.95,148.89
5307,2020-12-03,142.16,146.35,141.58,145.21
5306,2020-12-02,139.3,142.66,139.3,142.08
5305,2020-12-01,137.45,140.99,136.44,140.27
5304,2020-11-30,137.12,138.16,135.54,136.73
5303,2020-11-27,138.42,139.36,135.5473,137.57
5302,2020-11-25,138.675,139.82,137.245,137.65
5301,2020-11-24,140.0,140.35,135.44,137.99
5300,2020-11-23,135.47,139.555,135.16,139.23
5299,2020-11-20,135.21,136.87,133.69,135.57
5298,2020-11-19,133.63,136.01,132.0,135.85
5297,2020-11-18,139.1,140.0,133.84,134.52
5296,2020-11-17,136.87,139.58,134.77,138.72
5295,2020-11-16,133.86,139.89,133.85,138.62
5294,2020-11-13,128.37,132.44,126.93,132.09
5293,2020-11-12,130.0,130.125,126.84,127.69
5292,2020-11-11,131.36,135.17,129.18,129.7
5291,2020-11-10,129.2,132.77,127.73,130.28
5290,2020-11-09,133.0,137.0,127.67,127.69
5289,2020-11-06,130.85,130.85,127.99,128.5
5288,2020-11-05,128.12,131.3652,125.19,129.89
5287,2020-11-04,129.51,130.435,126.73,127.56
5286,2020-11-03,131.02,132.7,127.11,129.24
5285,2020-11-02,129.38,131.24,126.895,130.36
5284,2020-10-30,126.19,128.45,125.0,127.97
5283,2020-10-29,123.43,136.1659,122.0084,126.91
5282,2020-10-28,126.57,127.89,122.5,122.7
5281,2020-10-27,125.33,129.26,125.33,128.44
5280,2020-10-26,129.6,130.7,124.52,125.73
5279,2020-10-23,126.99,131.07,124.86,130.96
5278,2020-10-22,122.58,126.41,120.57,126.04
5277,2020-10-21,118.18,122.463,117.22,121.83
5276,2020-10-20,122.55,123.61,117.7,118.16
5275,2020-10-19,124.02,126.27,120.8,121.51
5274,2020-10-16,128.26,130.18,123.96,125.36
5273,2020-10-15,126.24,129.72,125.37,129.16
5272,2020-10-14,128.76,129.68,127.255,128.09
5271,2020-10-13,125.1,128.32,122.97,128.15
5270,2020-10-12,118.37,123.06,117.65,122.42
5269,2020-10-09,122.08,124.7118,118.0,118.48
5268,2020-10-08,124.98,126.13,121.505,122.24
5267,2020-10-07,123.69,125.62,122.19,123.83
5266,2020-10-06,122.49,125.565,120.66,123.71
5265,2020-10-05,121.32,122.8,119.99,121.81
5264,2020-10-02,118.04,121.43,117.43,120.77
5263,2020-10-01,118.03,119.65,116.65,119.5
5262,2020-09-30,119.85,121.355,117.63,117.97
5261,2020-09-29,119.85,122.485,119.01,119.24
5260,2020-09-28,119.31,121.0,118.71,119.97
5259,2020-09-25,115.45,118.3,114.87,118.01
5258,2020-09-24,113.81,116.46,112.73,115.99
5257,2020-09-23,117.05,118.3475,113.56,113.88
5256,2020-09-22,117.27,119.0,115.8,116.77
5255,2020-09-21,119.14,120.32,116.15,117.26
5254,2020-09-18,124.14,124.62,120.01,120.45
5253,2020-09-17,124.88,124.88,122.88,123.21
5252,2020-09-16,126.78,127.88,125.07,125.44
5251,2020-09-15,127.12,127.88,124.7,126.51
5250,2020-09-14,122.93,127.615,122.93,126.54
5249,2020-09-11,126.8,126.8,120.76,122.58
5248,2020-09-10,124.6,129.22,124.01,126.75
5247,2020-09-09,123.12,123.27,120.44,121.62
5246,2020-09-08,122.06,123.75,119.53,122.21
5245,2020-09-04,122.01,123.68,118.64,123.47
5244,2020-09-03,120.43,124.31,120.28,120.96
5243,2020-09-02,118.89,120.64,117.78,120.01
5242,2020-09-01,116.5,119.63,115.2,118.64
5241,2020-08-31,117.99,120.4779,116.835,116.96
5240,2020-08-28,120.69,122.29,115.94,117.09
5239,2020-08-27,124.99,126.0,119.86,122.73
5238,2020-08-26,114.25,116.58,114.25,116.02
5237,2020-08-25,114.87,116.23,113.66,114.99
5236,2020-08-24,114.69,115.63,113.49,114.5
5235,2020-08-21,114.77,115.21,113.91,114.49
5234,2020-08-20,114.51,115.03,113.81,114.77
5233,2020-08-19,115.54,116.05,114.52,114.95
5232,2020-08-18,114.26,115.87,112.75,115.14
5231,2020-08-17,117.54,117.54,114.43,114.79
5230,2020-08-14,117.01,117.74,115.34,117.15
5229,2020-08-13,117.4,118.95,116.34,117.21
5228,2020-08-12,119.11,119.8,116.8,118.35
5227,2020-08-11,117.44,119.31,116.995,118.0
5226,2020-08-10,112.3,116.68,112.3,116.2
5225,2020-08-07,111.68,113.94,111.68,112.55
5224,2020-08-06,112.98,113.75,111.69,111.86
5223,2020-08-05,111.52,114.21,109.48,113.26
5222,2020-08-04,111.2,115.1,110.47,114.92
5221,2020-08-03,111.33,111.71,109.51,110.46
